listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
187635,Private Country Home with Pool on 300+ acre ranch in Napa/San Francisco Bay Area,38.20633615,-122.16014206,"Fairfield, CA, USA",64,,395,395,,,250,13.0%,1,4,2,2,house,Yes,2008,Within 2 days,90%,"June 6, 2017",house,,2100,4,,Fairfield
501665,Magical Estate In Wine Country,38.2976912,-122.1345057,"Fairfield, CA, USA",14,4.4,190,70,95,,275,5.0%,,30,6,3,estate,Yes,2013,Within a day,100%,"June 3, 2017",estate,,4850,30,,Fairfield
4209936ha,Suisun Valley Inn At Monroe Ranch.  Located In The Heart Of Rustic Wine Country,38.2581483,-122.1172737,"Fairfield, CA, USA",7,,939,998,1,,200,5.0%,1,12,6,4,estate,Yes,2016,Within an hour,100%,"June 5, 2017",estate,,3500,,,Fairfield
724065,"Luxury, Comfort, And Style With Sweeping Valley Views",38.29806482,-122.15205632,"Fairfield, CA, USA",4,,714,725,,,,8.63%,3,6,3,2,estate,Yes,2015,Within a day,100%,"May 31, 2017",estate,,,6,,Fairfield
700860,Chateau in the Vineyard,38.2973719,-122.0974891,"Fairfield, CA, USA",3,,969,1,,,200,8.38%,3,10,5,5,chateau / country house,Yes,2015,Within a few days,90%,"May 22, 2017",chateau / country house,,2800,10,,Fairfield
4238167ha,"5BR, 3000 S FT  HOME CLOSE TO NAPA WINE COUNTRY, SACRAMENTO &  SAN FRANCISCO",38.1642451,-122.1300648,"Fairfield, CA, USA",0,,389,299,599,,150,12.0%,,14,5,3,house,Yes,2017,Within a few hours,100%,"June 1, 2017",house,,2956,14,,Fairfield
4436239ha,Private Home Perfect for Vacation,38.251352,-122.106156,"Fairfield, CA, USA",1,,,1,,,,8.38%,2,9,4,4,house,No,2017,Within an hour,100%,"June 5, 2017",house,,,,,Fairfield
1066807,Private Estate with 360 degree views | Perfect Location | Concierge Services,38.25499,-122.1309887,"Fairfield, CA, USA",0,,,,,,,,3,16,7,7,house,Yes,2007,Within an hour,,"June 6, 2017",house,,8300,16,,Fairfield
4146987ha,"Silverado Trail Vacation House: Stroll To Dining, Nightlife, Wine Tasting & more",,,"Alta Heights, Napa, CA, USA",25,4.9,295,295,,,150,12.0%,2,4,2,1,house,Yes,2007,Within a few hours,100%,"June 5, 2017",house,,1000,,,Fairfield
151803,Casa Alta with Hot Tub ~ OPEN 1 NIGHT SATURDAY 6/3 NO CLEANING FEE!!!!!,38.3032341,-122.27362061,"Alta Heights, Napa, CA, USA",80,4.8,295,,,,125,12.0%,2,6,3,2,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,1260,6,,Fairfield
511073,Beautiful Benicia! Hidden Treasure Of The San Francisco Bay Area!,38.052768,-122.14793,"Benicia, CA, USA",31,4.9,207,205,,,,8.0%,4,6,2,2,house,Yes,2014,Within 12 hours,90%,"April 17, 2017",house,,1400,6,,Fairfield
108750,Spanish Bungalow with Hot Tub ~ Close to downtown!,38.30225754,-122.29486084,"Napa, CA, USA",56,4.8,225,,,,125,12.0%,2,6,2,1,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,800,6,,Fairfield
