listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
444090,"Great Location! Cozy, Clean & Close to Downtown FW, Will Rogers, Museums, TCU +",32.737232,-97.372631,"Arlington Heights, Fort Worth, TX, USA",149,,186,200,,,75,15.0%,2,8,3,2,house,Yes,2012,Within an hour,100%,"June 2, 2017",house,,1200,8,,Fort Worth
856407,Historic 20's Bungalow steps from Fort Worth's Cultural District,32.749903,-97.374301,"North Hi Mount, Fort Worth, TX, USA",28,,310,300,350,,150,,3,6,3,3,bungalow,Yes,2016,Within 12 hours,100%,"June 6, 2017",bungalow,,1700,6,,Fort Worth
4053065ha,Family / Pet Friendly Country Cabin Within Minutes To DFW & Texas Motor,32.995868,-97.277196,"Fort Worth, TX, USA",34,,150,150,,,,,2,5,1,1,cabin,Yes,2015,Within a few hours,100%,"June 6, 2017",cabin,,,5,,Fort Worth
801184,"1950's Bungalow in Historical Grapevine ""Corner Cottage""",32.93759,-97.084607,"Grapevine, TX, USA",5,4.4,138,135,150,,,,2,5,Studio,1,house,Yes,2016,Within 12 hours,100%,"May 27, 2017",house,,200,5,,Fort Worth
324565,Spectacular Lake House 8 Miles Nw of Downtown Fort Worth,32.8093605,-97.45160675,"Fort Worth, TX, USA",73,4.6,375,350,550,,,,2,18,4,3,house,Yes,2010,Within 12 hours,100%,"May 31, 2017",house,,,18,,Fort Worth
860316,"Luxurious, Spacious Home Near Gaylord/Main Street, 6 Bedrooms, Pool And Grill",32.949732,-97.077634,"Grapevine, TX, USA",21,,655,655,685,,235,15.0%,3,20,6,4,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,3500,,,Fort Worth
746543,"The Vine House, half mile to Historic Main St., near shops, Gaylord",32.9495129,-97.07102683,"Grapevine, TX, USA",17,4.9,171,195,,,,,2,5,2,1,house,Yes,2011,Within 12 hours,100%,"June 6, 2017",house,,1050,5,,Fort Worth
833785,Come Unwind At Oak Mill Estate,32.829395,-97.516064,"Fort Worth, TX, USA",9,,165,195,,,40,,3,4,1,1,house,Yes,2016,Within a day,100%,"June 5, 2017",house,,1500,4,,Fort Worth
576886,Your Home Away From Home!!,32.881899,-97.303861,"Summerfields, Fort Worth, TX, USA",75,4.9,143,160,,,90,,2,6,3,2,house,Yes,2014,Within a few hours,100%,"June 5, 2017",house,,1532,6,,Fort Worth
715743,Best Location - Walk to Attractions!!  Completely Renovated Home!!!,,,"North Arlington, Arlington, TX, USA",42,,179,170,220,,,15.0%,2,6,3,2,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,1375,6,,Fort Worth
