listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
656617,Designed for Entertaining! Fully Remodeled 3 BR/2 BA Bungalow w/Fireplace!,37.536064,-121.949067,"Mission Valley, Fremont, CA, USA",10,,249,249,,,150,10.0%,2,6,3,2,house,Yes,2008,Within a few hours,100%,"June 6, 2017",house,,1500,6,,Fremont
724567,"Impressive Executive Luxury Home. Beautiful, Spacious, Clean & Convenient",37.586007,-122.07396,"Union City, CA, USA",23,,395,325,365,,195,,3,10,4,3,house,Yes,2015,Within a few hours,100%,"June 7, 2017",house,,2335,10,,Fremont
4015661ha,"“Perfect Life Sunny & Elegant Villa”,4 Bdrm,King&Sea&Flower&Garden Room",37.520536,-122.007497,"Newark, CA, USA",15,4.7,347,299,,,200,,3,10,4,3,house,Yes,2014,Within 12 hours,80%,"June 6, 2017",house,,2580,10,,Fremont
4208069ha,"5-Star Rated 3Bed/2Bath, Prime San Francisco Bay Area Location",37.5294531,-121.9319732,"Mission San Jose, Fremont, CA, USA",2,,184,205,,,,,5,8,3,2,house,Yes,2016,Within a few hours,100%,"May 3, 2017",house,,1522,8,,Fremont
3837535ha,Gorgeous 4 Bedroom with Deck and BBQ,37.584862,-122.081888,"Union City, CA, USA",1,,220,,,,,,30,6,4,3,house,Yes,2011,Within 2 days,80%,"June 4, 2017",house,,,6,,Fremont
4011712ha,"Sunny & Elegant Villa in Newark, CA.",37.5200996,-122.00784624,"Newark, CA, USA",0,,470,,,,,,2,10,4,3,villa,Yes,2013,,,"April 9, 2017",villa,,2500,10,,Fremont
4328154ha,*Newly Remodeled* cozy home located close to freeway and shopping,,,"Vineyards - Avalon, Fremont, CA, USA",1,,213,190,275,,150,9.5%,2,7,3,2,house,Yes,2016,Within a few days,60%,"June 5, 2017",house,,,7,,Fremont
4050354ha,Comfy Single House Sweet Home in Fremont Great Location,,,"Centerville, Fremont, CA, USA",1,,219,199,220,,120,,1,16,2,2,house,Yes,2015,Within a few days,60%,"June 6, 2017",house,,1200,16,,Fremont
963262,3BR/2BA Cozy Fremont House in San Francisco Bay Area/Silicon Valley,37.5761631,-122.0564137,"Ardenwood, Fremont, CA, USA",1,,229,199,219,,119,,5,6,3,2,house,Yes,2017,Within an hour,100%,"May 27, 2017",house,,1480,6,,Fremont
4483639ha,Soak in the Culture of Silicon Valley!,,,"Fremont, CA, USA",0,,180,180,,,150,10.0%,3,7,3,2,house,No,2017,Within a day,85%,"April 7, 2017",house,,,,,Fremont
4275734ha,Flower House New Remodeled Quiet Neighborhood,37.5943183,-122.0679048,"Union City, CA, USA",0,,429,500,,,,8.0%,5,12,6,4,house,No,2016,Within a few days,50%,"May 4, 2017",house,,,12,,Fremont
4542582ha,Large Custom Luxury Home at Bay and major freeways,,,"Union City, CA, USA",0,,339,325,,,150,,2,12,6,2,house,Yes,2017,,,"May 31, 2017",house,,2400,,,Fremont
766226,Sunny Single House Sweet Home In Fremont Great Location,,,"Centerville, Fremont, CA, USA",0,,219,199,220,,120,,1,16,2,2,house,Yes,2015,Within 2 days,90%,"June 6, 2017",house,,1200,16,,Fremont
4355413ha,Nice cozy clean home in safe neighborhood.,37.531639,-122.045517,"Newark, CA, USA",0,,65,60,,,,,,1,3,1,house,Yes,2016,Within a few days,90%,"June 5, 2017",house,,,1,,Fremont
4208456ha,Grand Executive Luxury Home,37.586007,-122.07396,"Union City, CA, USA",0,,457,,,,,,3,10,4,3,house,Yes,2013,,,"June 6, 2017",house,,2350,10,,Fremont
479764,AVAIL Aug 12-Sept 24!  A Peaceful Modern Creekfront Cottage In Silicon Valley,,,"Country Club, Los Altos Hills, CA, USA",17,4.9,121,,,,,,14,2,1,1,cottage,Yes,2013,Within an hour,100%,"June 6, 2017",cottage,,350,2,,Fremont
912244,Silicon Valley Central: Westgate Area (Non-Smokers ONLY),37.29331235,-121.98565968,"West San Jose, San Jose, CA, USA",2,,137,135,,,,10.0%,3,3,1,1,apartment,Yes,2015,Within an hour,100%,"June 6, 2017",apartment,1,700,3,building,Fremont
359071ha,Charming house located in the heart of the San Francisco peninsula,37.515913,-122.296944,"Sugarloaf, San Mateo, CA, USA",37,4.8,200,200,,,150,10.0%,5,6,3,2,house,Yes,2008,Within 12 hours,90%,"June 2, 2017",house,,1362,6,,Fremont
869577,West San Jose Luxury Apartment (Non-Smokers ONLY),37.29404799,-121.98680337,"West San Jose, San Jose, CA, USA",6,,136,135,160,,150,10.0%,3,3,1,1,apartment,Yes,2015,Within a few hours,100%,"June 6, 2017",apartment,1,608,3,building,Fremont
829518,"Quiet Location /Pool, parking",37.402084,-122.119105,"North Los Altos, Los Altos, CA, USA",0,,179,185,,,,8.0%,,2,1,1,house,Yes,2016,Within a few hours,100%,"May 21, 2017",house,,180,2,,Fremont
509091,Lovely Cottage With Views Near Stanford/Palo Alto,37.397468,-122.204751,"Ladera, CA, USA",26,4.9,171,200,,,75,,3,3,1,1,cottage,Yes,2013,Within an hour,100%,"June 2, 2017",cottage,,800,3,,Fremont
446506,Family-friendly 3BR home on quiet vineyard near Stanford & Palo Alto,37.389172,-122.202814,"Central Portola Valley, Portola Valley, CA, USA",9,4.6,324,345,,,150,,3,8,3,1,house,Yes,2012,Within a few hours,100%,"May 30, 2017",house,,900,8,,Fremont
679108,Remodeled 1bd/1ba Westgate Gem (Non-Smokers ONLY),37.29330559,-121.98581783,"West San Jose, San Jose, CA, USA",21,4.9,141,140,170,,,10.0%,3,3,1,1,apartment,Yes,2015,Within 12 hours,100%,"June 6, 2017",apartment,1,608,3,building,Fremont
