listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
656617,10,1,Greg K.,"Quiet, clean, comfortable",5,2017-05-03T00:00:00.000+0000,VRBO,2017-05-12T03:01:00.000+0000
656617,10,2,Rich,A sweet little house,5,2017-04-26T00:00:00.000+0000,VRBO,2017-05-02T22:22:00.000+0000
656617,10,3,Sherri T.,Gorgeous house!,5,2017-04-07T00:00:00.000+0000,VRBO,2017-04-13T04:11:00.000+0000
656617,10,4,Jeffrey S.,Great place in a sleepy little subdivision,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-27T15:52:00.000+0000
656617,10,5,Anonymous,Five stars are not enough!,5,2017-03-16T00:00:00.000+0000,VRBO,2017-03-26T23:55:00.000+0000
656617,10,6,David S.,Awesome property and great hosts!,5,2017-02-17T00:00:00.000+0000,VRBO,2017-02-20T20:29:00.000+0000
656617,10,7,jacob w.,"Beautiful,High End ,New renovation!!!",5,2016-12-13T00:00:00.000+0000,VRBO,2016-12-19T14:21:00.000+0000
656617,10,8,sunwestyh,"Nice home, clean and quiet.",5,2016-10-05T00:00:00.000+0000,VRBO,2016-10-22T20:23:00.000+0000
656617,10,9,Greg M.,Fantastic,5,2016-08-21T00:00:00.000+0000,VRBO,2016-10-04T21:27:03.053+0000
656617,10,10,Jeff G.,Our week of fun in Northern California,5,2016-08-15T00:00:00.000+0000,VRBO,2016-09-06T19:50:00.000+0000
724567,23,1,George T.,WONDERFUL HOUSE and MOST GRACIOUS OWNERS!,5,2017-02-09T00:00:00.000+0000,VRBO,2017-02-24T05:13:00.000+0000
724567,23,2,Frank W.,Very very Nice.,5,2016-11-21T00:00:00.000+0000,VRBO,2016-12-02T13:50:23.687+0000
724567,23,3,Martin R.,Oakland trip,5,2016-11-04T00:00:00.000+0000,VRBO,2016-11-10T16:24:00.000+0000
724567,23,4,Kimberly B.,Cozy roomy house in a perfect location,5,2016-09-01T00:00:00.000+0000,VRBO,2016-10-18T17:14:00.000+0000
724567,23,5,Bill B.,"A beautiful home, with everything you need to be comfortable and more.",5,2016-08-10T00:00:00.000+0000,VRBO,2016-08-18T16:22:00.000+0000
724567,23,6,Daniel B.,Wonderful stay,5,2016-06-18T00:00:00.000+0000,VRBO,2016-07-07T00:33:00.000+0000
724567,23,7,Nancy W.,Beautiful and conveniently located,5,2016-05-29T00:00:00.000+0000,VRBO,2016-06-08T15:36:00.000+0000
724567,23,8,Jennifer S.,"Beautiful home, unbeatable price, and excellent owners!",5,2016-03-19T00:00:00.000+0000,VRBO,2016-04-13T03:11:00.000+0000
724567,23,9,Lyn A.,BEAUTIFUL relaxing home ❤️,5,2016-04-02T00:00:00.000+0000,VRBO,2016-04-11T04:07:44.613+0000
724567,23,10,Feven G.,"Great home, excellent location, awesome host - Highly Recommended!",5,2016-03-23T00:00:00.000+0000,VRBO,2016-04-01T23:34:00.000+0000
