listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4148424ha,Near Medical Center/Museum District/NRG stadium. Designer furnishings.,29.791886,-95.401517,"Northside, Houston, TX, USA",9,4.9,150,150,,,65,,3,4,2,1,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,1200,4,,Houston
4023698ha,Outstanding Fully Furnished Apartment in Briarforest,29.75204405,-95.5759975,"Briarforest, Houston, TX, USA",4,3.8,57,70,,,120,,4,2,1,1,apartment,Yes,2013,Within a few days,20%,"May 1, 2017",apartment,12,893,2,building,Houston
610515,Corporate Condo - Apartment/*All Bills Paid* In the Heart of the Galleria,29.742884,-95.46476,"Uptown, Houston, TX, USA",7,,89,89,,,,,8,4,1,1,condo,Yes,2014,Within an hour,100%,"June 4, 2017",condo,4,771,4,building,Houston
585760,"CLOSE TO EVERYTHING!! Just Minutes to Downtown, Conv Center, Astros, NRG Stadium",29.795538,-95.380836,"Northside, Houston, TX, USA",3,,105,240,,,150,,10,4,2,2,condo,Yes,2013,Within a few hours,100%,"June 3, 2017",condo,2,1100,4,,Houston
3947317ha,"NW Houston - Perfect place to await a new home, visit family or rest after work.",29.95996466,-95.65764948,"Cypress Pass Estates, Cypress, TX, USA",11,4.9,93,95,,,,,6,5,2,1,house,Yes,2015,Within 12 hours,100%,"May 14, 2017",house,,,5,,Houston
791450,"Quiet, clean home with a perfect location!  Close to EVERYTHING!",30.075423,-95.4478199,"Houston, TX, USA",6,4.2,108,,,,100,,7,8,3,2,house,Yes,2012,Within a few days,70%,"June 5, 2017",house,,1700,8,,Houston
909405,"Delightful, Relaxing 1915 Restored Apartment in Eccentric, Diverse Montrose",29.747882,-95.388313,"Montrose, Houston, TX, USA",4,4.8,84,108,,,50,,4,4,1,1,apartment,Yes,2014,Within a few hours,100%,"June 6, 2017",apartment,2,530,4,house,Houston
705661,Central Renovated Townhome - 10 min from Downtown/Galleria/MedCenter/NRG stadium,29.72902287,-95.425962,"Greenway/Upper Kirby, Houston, TX, USA",11,4.9,143,200,,,,2.5%,3,5,2,1,townhome,Yes,2013,Within a few days,90%,"May 2, 2017",townhome,1,,5,building,Houston
3586501ha,"A Very Comfortable 4 Bedrooms Furnished, High Speed WiFi,cableTV,Phone , ADT.",29.863293,-95.700474,"Bear Creek Plantation, TX, USA",10,3.4,150,180,,,200,,4,8,4,2,house,Yes,2013,Within a few days,40%,"May 21, 2017",house,,2390,8,,Houston
507483,"Med Center, Downtown, NRG, Conv Center within minutes. Newly Remodeled!",29.711298,-95.4712739,"Gulfton, Houston, TX, USA",25,4.8,157,175,,,150,,,4,2,2,townhome,Yes,2013,Within a few hours,100%,"June 4, 2017",townhome,1,1300,4,house,Houston
359909,Charming 6/4 Baths/2 Masters Near the Woodlands Creekside & Exxon,30.1018121,-95.5168282,"Northampton, TX, USA",9,4.6,343,400,,,300,,3,12,6,4,house,Yes,2011,Within a day,100%,"June 3, 2017",house,,4200,12,,Houston
864881,3/2 Environmetally Conscious Mid Century Home and Neighborhood; Safe & Serene,29.830186,-95.475129,"Northside, Houston, TX, USA",8,4.8,92,95,114,,130,,4,6,3,2,house,Yes,2016,Within a few hours,100%,"June 3, 2017",house,,1700,6,,Houston
840713,Quaint 1920's home w/ unique charm.,29.7681555,-95.40729749,"Washington Ave./ Memorial Park, Houston, TX, USA",9,4.8,154,135,175,,75,17.0%,2,6,2,1,house,Yes,2016,Within a few hours,100%,"June 6, 2017",house,,1200,6,,Houston
922220,Comfortable 3 Bedroom Home in Excellent Neighborhood in Katy,29.722058,-95.788767,"Cinco Ranch West, TX, USA",7,4.6,92,109,,,99,,5,6,3,2,townhome,Yes,2016,Within a few days,100%,"June 1, 2017",townhome,,1560,6,house,Houston
483637,Renovated Townhome in Energy Corridor/City Center -Access to Galleria & Downtown,29.780543,-95.564473,"Memorial City, Houston, TX, USA",23,4.7,243,300,325,,,,3,8,3,2,townhome,Yes,2013,Within a day,100%,"May 1, 2017",townhome,1,2200,8,,Houston
470267,4/3.5/2 home w/large yard. The Woodlands Creekside Subd & Willowcreek Golfcourse,,,"Northampton, TX, USA",0,,120,350,,,200,,3,11,4,3,house,Yes,2011,Within a day,90%,"June 6, 2017",house,,3000,11,,Houston
3897340ha,Comfortable Single-story 3/2 Katy Home With Easy Access To Energy Corridor,29.81775889,-95.78362755,"Houston, TX, USA",19,4.7,112,129,139,,95,,3,8,3,2,house,Yes,2015,Within a few hours,100%,"June 6, 2017",house,,1826,8,,Houston
409701,"NRG 3.5miles, 5.5 miles from Medical Center, 8 miles to Galleria",29.65914726,-95.4519043,"Willow Meadows/ Willowbend Area, Houston, TX, USA",33,4.8,233,300,350,,130,,2,9,3,2,house,Yes,2011,Within 12 hours,80%,"June 3, 2017",house,,,9,,Houston
154413,"Luxury Vacation Rental Condo in Kemah, ~TX~",29.54110718,-95.01795197,"Kemah, TX, USA",18,4.9,167,225,,,,13.0%,2,4,1,1,condo,Yes,2006,Within 12 hours,100%,"June 1, 2017",condo,2,850,4,,Houston
893088,Luxury Unit In Uptown Galleria,29.74779174,-95.4599864,"Uptown, Houston, TX, USA",0,,,,,,45,,180,2,1,1,condo,Yes,2016,Within a day,100%,"October 14, 2016",condo,1,869,2,building,Houston
