listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4233491ha,Walk to shops & restaurants in the historic artistic Rondout waterfront district,41.9173487,-73.9868948,"Kingston, NY, USA",7,4.9,167,195,,,,,,4,2,1,house,Yes,2016,Within 12 hours,100%,"June 2, 2017",house,,1200,4,,Kingston
855036,Quiet lakefront retreat with private dock- a peaceful getaway 2 hours from NYC,41.8734143,-74.0813677,"Kingston, NY, USA",11,4.8,200,200,,,100,,3,6,2,2,house,Yes,2016,Within a few days,70%,"May 30, 2017",house,,,6,,Kingston
3764616ha,"Secluded, Family-friendly House With Heated Pool On 10 Acres, Deep In Woods",41.9277299,-74.18782,"Kingston, NY, USA",10,4.8,419,400,475,,100,,2,8,3,3,house,Yes,2014,Within an hour,100%,"May 29, 2017",house,,3100,8,,Kingston
3534873ha,"WOODSTOCK 4 -5 Br., 3-4 Bath, Cozy Woodstove, Pond/Pool, Private, Sleeps 7 - 11",,,"Kingston, NY, USA",23,,405,275,,,150,,2,11,4,3,house,Yes,2013,Within a few hours,100%,"May 5, 2017",house,,3100,11,,Kingston
488561,Center Of The Hudson Valley - Walk To Food And Nightlife,41.9306787,-74.015432,"Kingston, NY, USA",19,4.9,270,270,350,,200,8.0%,2,8,4,2,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,2000,8,,Kingston
3942828ha,"Woodstock, Saugerties, HITS, Kingston,  Catskills Wooded Escape",41.991687,-74.045393,"Kingston, NY, USA",14,4.9,286,275,300,,,,2,5,2,1,cabin,Yes,2013,Within a few hours,100%,"June 4, 2017",cabin,,1400,5,,Kingston
812905,1890 Kingston Victorian - Cozy and Comfortable with Modern Amenities!,41.921655,-73.991364,"Kingston, NY, USA",9,4.4,211,250,,,50,,,6,3,2,house,Yes,2016,Within an hour,100%,"June 2, 2017",house,,2900,6,,Kingston
3842358ha,"Home on scenic country road, easy access to town, Belleyre & Hunter Mountains.",42.000483,-74.055973,"Kingston, NY, USA",7,4.4,125,125,150,,,,,6,2,1,house,Yes,2014,Within 2 days,100%,"June 2, 2017",house,,,6,,Kingston
709055,"Country Hideaway Villa, Upstate, Hudson Valley, Private Chef",41.889479,-74.046403,"Kingston, NY, USA",14,4.9,125,125,150,,25,,,2,Studio,1,villa,Yes,2012,Within 12 hours,100%,"May 29, 2017",villa,,400,2,,Kingston
4238218ha,"Catskills, HITS, Saugerties, Woodstock, Kingston, Hudson Valley, Hunter Mtn",42.018892,-74.059015,"Kingston, NY, USA",11,,260,250,,,,,2,7,3,2,chateau / country house,Yes,2013,Within a few hours,100%,"June 2, 2017",chateau / country house,,2350,7,,Kingston
