listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
728056,Lovely Apartment  Steps From The Beach.,33.756291,-118.137174,"Belmont Shore, Long Beach, CA, USA",51,4.9,325,325,,,200,,3,6,3,2,apartment,Yes,2015,Within 12 hours,100%,"June 5, 2017",apartment,,1500,6,,Long Beach
891015,Beautifully Remodeled Unit Right In The Heart Of Belmont Shore!!!,33.7613405,-118.1386904,"Belmont Shore, Long Beach, CA, USA",23,4.9,140,135,,,,12.0%,3,4,1,1,apartment,Yes,2014,Within 12 hours,100%,"June 6, 2017",apartment,2,650,4,house,Long Beach
693632,SPECTACULAR OCEAN VIEW LIVING,33.76712028,-118.18700917,"East Village, Long Beach, CA, USA",4,,100,,,,195,,30,4,1,1,condo,Yes,2015,Within a day,90%,"May 18, 2017",condo,6,600,4,building,Long Beach
469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 2 days,100%,"June 1, 2017",condo,2,750,3,building,Long Beach
3621803ha,"Modern Apt, Ocean Views, No Shared Walls, Steps to Beach, Bay and Shops",33.754487,-118.1336101,"Belmont Shore, Long Beach, CA, USA",45,4.6,130,125,150,,100,,3,4,1,1,apartment,Yes,2013,Within an hour,100%,"June 6, 2017",apartment,2,500,4,,Long Beach
4315556ha,Contemporary Condo Steps to the Sand and Ocean,33.759339,-118.147489,"Belmont Shore, Long Beach, CA, USA",0,,98,,,,200,,90,4,2,1,condo,No,2013,Within a day,100%,"June 6, 2017",condo,2,,4,building,Long Beach
695761,"Completely private 1 bedroom apartment, steps from the beach",33.76069564,-118.14651866,"Belmont Heights, Long Beach, CA, USA",14,4.3,125,125,150,,,,3,4,1,1,apartment,Yes,2015,Within a day,100%,"June 7, 2017",apartment,1,625,4,building,Long Beach
809570,Relaxing Waterfront Condo Overlooking Marina and Southren California Mountains,33.7601654,-118.1177406,"Marina Pacifica, Long Beach, CA, USA",3,,104,99,,,200,,3,4,1,1,condo,Yes,2016,Within an hour,90%,"May 25, 2017",condo,2,1171,4,building,Long Beach
843093,"Home w/hot tub on the Alamitos bay! Bay views, near local beaches.",33.761828,-118.124381,"Belmont Park, Long Beach, CA, USA",2,,150,,,,,,4,8,3,2,house,Yes,2008,Within an hour,,"June 7, 2017",house,,,8,,Long Beach
974596,"Completely private 1 bedroom apartment, steps from the beach",,,"Belmont Heights, Long Beach, CA, USA",0,,120,125,,,50,,3,4,1,1,apartment,No,2015,Within a day,100%,"June 7, 2017",apartment,,,,,Long Beach
161891ha,Fabulous Beachfront Vacation--On the Sand!,33.76505017,-118.1760157,"Alamitos Beach, Long Beach, CA, USA",45,4.8,253,295,,,150,,3,5,2,2,condo,Yes,2006,Within 12 hours,90%,"June 6, 2017",condo,,950,5,,Long Beach
559400,Last Minute June Sale! 6/1-6/22 -  1 house to beach with rooftop ocean views!,33.7552346,-118.1346694,"Belmont Shore, Long Beach, CA, USA",28,4.9,389,,,,,,2,6,3,2,house,Yes,2008,Within an hour,,"June 7, 2017",house,,2154,6,,Long Beach
662534,"Beachfront, Belmont Shore, Great Views, Walk to Restaurants, Near Disneyland",33.75930746,-118.14748364,"Belmont Shore, Long Beach, CA, USA",9,4.3,117,,,,100,,30,4,2,1,condo,Yes,2014,Within a day,90%,"May 11, 2017",condo,2,1000,4,building,Long Beach
479860,Beachfront with Wide Open Beach and Harbor Views,33.764847,-118.1759631,"Alamitos Beach, Long Beach, CA, USA",26,4.8,253,295,,,150,,3,4,2,2,condo,Yes,2006,Within a day,90%,"June 6, 2017",condo,3,950,4,,Long Beach
272074,Bungalow Style Beach House,33.76819611,-118.1548996,"Bluff Heights, Long Beach, CA, USA",81,4.6,155,155,,,,7.0%,2,7,3,1,house,Yes,2009,Within a few hours,100%,"June 5, 2017",house,,,7,,Long Beach
787656,"Relaxing Water View Condo- It's not just a vacation rental, it's an EXPERIENCE!",33.7601786,-118.117755,"Marina Pacifica, Long Beach, CA, USA",2,4.5,110,,,,150,,30,2,1,1,condo,Yes,2015,Within a day,90%,"May 26, 2017",condo,2,1250,2,building,Long Beach
93542,Casa Blanca Oceanfront Duplex Belmont Shore,33.75992203,-118.14878082,"Belmont Shore, Long Beach, CA, USA",32,4.6,429,350,,,175,,3,15,3,2,apartment,Yes,2006,Within an hour,100%,"May 24, 2017",apartment,3,1750,15,,Long Beach
