listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
728056,51,1,Alison S.,Wish we could have stayed longer,5,2017-05-24T00:00:00.000+0000,VRBO,2017-06-03T20:32:00.000+0000
728056,51,2,Alyssa M.,"BEAUTIFUL!!! Clean, wonderful hosts, amazing location!",5,2017-05-18T00:00:00.000+0000,VRBO,2017-05-23T17:07:00.000+0000
728056,51,3,Brock P.,A Real Gem,5,2017-05-04T00:00:00.000+0000,VRBO,2017-05-14T19:37:00.000+0000
728056,51,4,Jenny S.,Great find! Excellent in every way!,5,2017-04-22T00:00:00.000+0000,VRBO,2017-05-05T05:28:00.000+0000
728056,51,5,Maryanne M.,"Great location, fabulous roof deck, lovely apartment.",5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-04T06:10:00.000+0000
728056,51,6,Kim H.,One word! Incredible!!!!,5,2017-04-14T00:00:00.000+0000,VRBO,2017-05-03T23:29:00.000+0000
728056,51,7,Jeffrey B.,"The suite is AWESOME:) Very spacious and Very roomy, with all the bells and whistles. A+++",5,2017-04-09T00:00:00.000+0000,VRBO,2017-04-18T05:07:00.000+0000
728056,51,8,Joe,"A truly great place to stay, very clean, close to beach, shopping, restaurants",5,2017-04-06T00:00:00.000+0000,VRBO,2017-04-13T18:31:00.000+0000
728056,51,9,rachel E.,Perfect Weekend by the Beach,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-09T21:38:00.000+0000
728056,51,10,Lee V.,A great place!,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-30T22:11:00.000+0000
728056,51,11,Huldah M.,Beautiful and Relaxing,5,2017-03-16T00:00:00.000+0000,VRBO,2017-03-26T23:16:00.000+0000
728056,51,12,Peter N.,An Excellent and Wonderful Find!,5,2017-03-11T00:00:00.000+0000,VRBO,2017-03-18T01:25:00.000+0000
728056,51,13,Lanaya F.,Spectacular Place Great Location,5,2017-03-03T00:00:00.000+0000,VRBO,2017-03-15T00:22:00.000+0000
728056,51,14,Anonymous,Comfort and Enjoyment,5,2017-02-11T00:00:00.000+0000,VRBO,2017-03-05T20:21:00.000+0000
728056,51,15,Kelly S.,Wonderful Experience!!,5,2017-02-06T00:00:00.000+0000,VRBO,2017-02-14T16:33:00.000+0000
