listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
3878881ha,Beautiful - 20 Minutes From Manhattan (2 Bedroom House),40.7041135,-74.2130629,"Weequahic, Newark, NJ, USA",3,4.7,87,90,95,,30,,4,5,2,1,house,Yes,2014,Within 2 days,100%,"June 6, 2017",house,,700,5,,Newark
4360486ha,Beautiful Large House 25 Minutes from New York with easy access to malls & parks,,,"Weequahic, Newark, NJ, USA",2,,185,133,,,,,4,10,4,2,house,Yes,2014,Within 12 hours,100%,"June 6, 2017",house,,,10,,Newark
103858,Colbyco Metro-New York City Lights & Jersey Sights,,,"Hillside, NJ, USA",17,4.4,375,375,,,,,3,12,4,2,house,Yes,2001,Within a few hours,100%,"May 30, 2017",house,,3000,12,,Newark
1018090,Double Queen Private Room,,,"Forest Hill, Newark, NJ, USA",0,,47,37,,,25,,,4,1,2,apartment,No,2016,Within a few hours,100%,"June 4, 2017",apartment,,,,house,Newark
3952959ha,Entire Luxary Apartment Near Manhattan NYC.,40.742297,-74.219239,"Lower Vailsburg, Newark, NJ, USA",10,3.7,94,70,75,,35,,3,7,3,2,apartment,Yes,2015,Within an hour,100%,"June 6, 2017",apartment,2,1200,7,house,Newark
1010934,Big 3 Bedroom Apartment 30 Min to NYC,,,"Newark, NJ, USA",0,,80,70,,,100,,,12,3,1,apartment,Yes,2016,Within an hour,100%,"June 2, 2017",apartment,2,1000,12,house,Newark
892350,VIP 2 Rooms Close To NYC!,40.7594275,-74.1700869,"Forest Hill, Newark, NJ, USA",0,,47,37,,,,,,6,2,1,apartment,Yes,2016,Within 12 hours,100%,"June 2, 2017",apartment,2,300,6,house,Newark
905391,"Cozy Bedroom ,Close To NYC",40.7594206,-74.170063,"Forest Hill, Newark, NJ, USA",1,,47,37,,,,,,2,1,2,apartment,Yes,2016,Within 12 hours,100%,"June 2, 2017",apartment,,,2,,Newark
4247681ha,Chateau Louis Awaits You,40.73183184,-74.19559115,"Newark, NJ, USA",1,,54,55,,,,3.5%,,2,1,1,apartment,No,2016,Within 12 hours,80%,"June 7, 2017",apartment,,,2,,Newark
904167,Best Choice To Visit Nyc!! Just One Bus Stop Away From Times Square!!!,40.6792099,-74.197637,"Elizabeth, NJ, USA",2,,59,59,,,30,10.0%,1,2,1,1,apartment,No,2015,Within a few hours,100%,"June 6, 2017",apartment,,,,,Newark
