listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
654636,31,1,Olivia M.,Very cute and cozy. The location is perfect.,4,2017-05-18T00:00:00.000+0000,VRBO,2017-05-22T15:06:00.000+0000
654636,31,2,Anonymous,Wonderful beach house!,5,2017-04-29T00:00:00.000+0000,VRBO,2017-05-07T18:04:00.000+0000
654636,31,3,Anonymous,A lovely cottage!,4,2017-04-13T00:00:00.000+0000,VRBO,2017-04-16T18:07:00.000+0000
654636,31,4,John R.,Once inside and from the beach nice,4,2017-04-01T00:00:00.000+0000,VRBO,2017-04-06T11:47:00.000+0000
654636,31,5,Elena C.,"Would love to go back, however...",4,2017-03-11T00:00:00.000+0000,VRBO,2017-03-29T13:40:00.000+0000
654636,31,6,Hong Y.,Charming view,5,2017-02-22T00:00:00.000+0000,VRBO,2017-02-26T21:03:00.000+0000
654636,31,7,poco,GREAT,5,2016-10-01T00:00:00.000+0000,VRBO,2016-11-25T10:42:46.847+0000
654636,31,8,Brian,Thanks for making our 2016 Vacation Happen!,5,2016-09-24T00:00:00.000+0000,VRBO,2016-11-07T14:58:08.590+0000
654636,31,9,R M.,Property needs updating,2,2016-10-02T00:00:00.000+0000,VRBO,2016-10-17T16:17:00.000+0000
654636,31,10,Pamela F.,Beach Lovers' Dream,5,2016-07-17T00:00:00.000+0000,VRBO,2016-07-24T19:14:00.000+0000
654636,31,11,Richard D.,"Outstanding. Great location, peaceful and quiet.",5,2016-07-09T00:00:00.000+0000,VRBO,2016-07-16T02:57:00.000+0000
654636,31,12,GayeDoreen,Great Vacation Stay!,5,2016-03-07T00:00:00.000+0000,VRBO,2016-04-01T21:22:17.713+0000
654636,31,13,Peter,Pleasant and Relaxing!!,5,2016-03-21T00:00:00.000+0000,VRBO,2016-03-21T12:00:39.190+0000
654636,31,14,eric f.,beach retreat,5,2016-02-28T00:00:00.000+0000,VRBO,2016-02-29T01:45:26.960+0000
654636,31,15,Betsy,Winter on the Beach,5,2016-02-01T00:00:00.000+0000,VRBO,2016-02-18T14:12:32.873+0000
654636,31,16,ocean,Little Beach House,5,2015-10-09T00:00:00.000+0000,VRBO,2016-02-01T19:03:30.143+0000
654636,31,17,Lee and Terri,Fall beach trip - best time of year - house was perfect - beach was too,5,2015-10-16T00:00:00.000+0000,VRBO,2015-11-02T20:32:49.807+0000
654636,31,18,Erica,Memorable!  Mesmerizing! Magnificent!,5,2015-10-03T00:00:00.000+0000,VRBO,2015-11-01T14:03:17.747+0000
654636,31,19,poco,everything we expected and more,5,2015-08-24T00:00:00.000+0000,VRBO,2015-09-04T22:20:32.643+0000
654636,31,20,Mike I,Disappointed!!,2,2015-08-16T00:00:00.000+0000,VRBO,2015-08-31T20:43:00.820+0000
654636,31,21,Debbie,"Clean, Cozy, Comfortable, Close to everything!",5,2015-07-09T00:00:00.000+0000,VRBO,2015-08-19T14:20:28.707+0000
654636,31,22,Emily M.,Great Family Get-Away!,5,2015-08-01T00:00:00.000+0000,VRBO,2015-08-19T14:15:30.970+0000
654636,31,23,Tara S.,Peaceful!,5,2015-06-19T00:00:00.000+0000,VRBO,2015-06-29T22:06:30.417+0000
654636,31,24,Betsy,"Dolphins Every Day!  Sunburn, Salt, Sand, FUN!",5,2015-06-04T00:00:00.000+0000,VRBO,2015-06-22T15:09:37.267+0000
654636,31,25,eric f.,sailorman,5,2015-05-31T00:00:00.000+0000,VRBO,2015-06-15T16:37:57.223+0000
654636,31,26,Will and Crissy S.,Smoking mirrors on the beach!!!,2,2015-05-22T00:00:00.000+0000,VRBO,2015-06-08T21:30:24.590+0000
654636,31,27,Michelle H.,Great Location,4,2015-05-14T00:00:00.000+0000,VRBO,2015-05-27T19:13:41.833+0000
654636,31,28,ocean,Willoughby,5,2015-04-30T00:00:00.000+0000,VRBO,2015-05-08T19:12:26.503+0000
654636,31,29,Betsy,"Great summer get away.  Plenty of room, spacious deck, A/C worked GREAT!",5,2014-08-17T00:00:00.000+0000,VRBO,2015-01-30T21:58:25.747+0000
654636,31,30,Lee and Terri,All I can say is THANK YOU!  Christmas on the BEACH!  ,5,2014-12-21T00:00:00.000+0000,VRBO,2015-01-30T21:53:10.253+0000
654636,31,31,Mary Greblunas,Met all expectations - well worth the money - will visit again,5,2014-11-16T00:00:00.000+0000,VRBO,2015-01-30T21:50:00.070+0000
564139,24,1,Debbi M.,Spacious retreat,5,2017-05-19T00:00:00.000+0000,VRBO,2017-06-06T10:54:00.000+0000
564139,24,2,Melinda A.,One of the best days ever,5,2017-04-21T00:00:00.000+0000,VRBO,2017-05-09T10:35:00.000+0000
564139,24,3,patrick k.,big beach house,4,2017-02-25T00:00:00.000+0000,VRBO,2017-03-04T15:38:00.000+0000
564139,24,4,Joyce M.,Wonderful home!,5,2017-02-15T00:00:00.000+0000,VRBO,2017-03-01T03:16:00.000+0000
564139,24,5,Mark E.,Beautiful home!,5,2016-12-16T00:00:00.000+0000,VRBO,2016-12-21T00:10:00.000+0000
564139,24,6,Frances a D.,Amazing! The house was perfec t for a Ladies retreat. plenty of room and space for 11 of us.,5,2016-12-02T00:00:00.000+0000,VRBO,2016-12-05T22:37:00.000+0000
