listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
452177,Gorgeous 3 Bedroom Ocean Front Condo/Monthly rates available,33.8074749,-78.7003812,"Crescent Beach, North Myrtle Beach, SC, USA",23,4.9,236,,,,,,7,10,3,3,condo,Yes,2013,Within a few days,70%,"June 6, 2017",condo,9,1650,10,,North Myrtle Beach
455709,Waterway & Golf Course View! Shuttle to Beach*!  LINENS INCLUDED,33.79564343,-78.77066374,"North Myrtle Beach, SC, USA",64,4.9,75,69,,,,12.0%,3,6,2,2,condo,Yes,2013,Within an hour,100%,"June 7, 2017",condo,3,1050,,building,North Myrtle Beach
274854,Urban Contemporary Myrtle Beach Condo in Barefoot Resort,33.79683685,-78.7768631,"North Myrtle Beach, SC, USA",33,,145,150,,,,,3,6,2,2,condo,Yes,2009,Within a few hours,100%,"June 2, 2017",condo,,1100,6,,North Myrtle Beach
590761,Beautiful Efficiency Condo Across The Street from Beach. Great Pool & Deck Area.,33.82921507,-78.63898893,"Cherry Grove Beach, North Myrtle Beach, SC, USA",28,4.5,60,59,,,,,3,4,Studio,1,condo,Yes,2014,Within an hour,90%,"May 19, 2017",condo,2,400,4,building,North Myrtle Beach
404663,Updated Corner Condo with Amazing View,33.8016949,-78.7129209,"Crescent Beach, North Myrtle Beach, SC, USA",59,4.8,138,,,,,,3,8,2,2,condo,Yes,2012,Within a day,100%,"June 5, 2017",condo,17,,8,building,North Myrtle Beach
816555,Oceanfront condo in beautiful beach resort - Bay Watch Unit 634,33.8016484,-78.7128867,"Crescent Beach, North Myrtle Beach, SC, USA",18,4.7,96,110,,,,12.0%,1,6,1,1,hotel,Yes,2016,Within a day,100%,"June 7, 2017",hotel,6,700,6,building,North Myrtle Beach
83987,WINDY HILL DUNES 701 4BR,33.7968131,-78.7228417,"Windy Hill, North Myrtle Beach, SC, USA",2,4.5,100,,,,,,2,12,4,3,condo,Yes,2005,Within 2 days,,"June 7, 2017",condo,7,,12,building,North Myrtle Beach
788532,Great Condo for your Summer Vacation!,33.8015169,-78.7672376,"North Myrtle Beach, SC, USA",6,,80,100,,,,12.0%,3,6,2,2,condo,Yes,2015,Within an hour,100%,"June 7, 2017",condo,2,1050,6,villa,North Myrtle Beach
853236,Beautiful 3 Bedroom & 3 Bath Raised Vacation Beach Home On The Water!!,33.830484,-78.636792,"Cherry Grove Beach, North Myrtle Beach, SC, USA",6,4.7,179,150,,,170,,3,8,3,3,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,1550,8,,North Myrtle Beach
475213,Beautiful Corner Penthouse 1 BR Oceanfront *** Panoramic View ***,33.83216,-78.628611,"Cherry Grove Beach, North Myrtle Beach, SC, USA",91,4.8,96,100,,,50,12.0%,4,4,1,1,condo,Yes,2013,Within an hour,100%,"June 7, 2017",condo,,560,4,,North Myrtle Beach
