listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
900103,"2 Bed/ 2 Bath, Lake Merritt Condo,  washer and dryer in unit",37.797579,-122.253869,"Produce and Waterfront, Oakland, CA, USA",0,,,,,,75,16.0%,90,2,2,2,condo,Yes,2016,Within 2 days,100%,"June 5, 2017",condo,3,1000,2,building,Oakland
264663,Newly Renovated Artist Loft in Historic Building Near ~BART~,37.8125161,-122.269178,"Northgate - Waverly, Oakland, CA, USA",48,4.4,120,120,,,50,,3,4,Studio,1,condo,Yes,2009,Within a day,100%,"May 28, 2017",condo,2,,4,,Oakland
3630074ha,Quaint Berkeley Craftsman House & Centrally Located,37.86008,-122.2835135,"Southwest Berkeley, Berkeley, CA, USA",19,4.5,157,155,165,,80,,3,5,2,1,house,Yes,2012,Within an hour,100%,"June 5, 2017",house,,1000,5,,Oakland
136969,Berkeley Elegant Short Term Rental - Gorgeous Yard with Deck,37.86687851,-122.27690887,"Central Berkeley, Berkeley, CA, USA",7,4.7,118,,,,,,21,4,1,1,condo,Yes,2007,Within 12 hours,100%,"June 3, 2017",condo,,750,4,,Oakland
627914,Berkeley Charmer in coveted Elmwood. Close to UCB and transportation,37.854434,-122.255177,"Elmwood, Berkeley, CA, USA",64,4.7,105,120,,,,,2,2,Studio,1,apartment,Yes,2014,Within a day,100%,"June 5, 2017",apartment,1,,2,house,Oakland
430123,Stunning 1 Bedroom Near the North Berkeley Bart,37.871648,-122.285801,"Northwest Berkeley, Berkeley, CA, USA",55,,146,170,,,85,,3,3,1,1,apartment,Yes,2012,Within a few hours,100%,"May 24, 2017",apartment,,,3,,Oakland
758790,Brand New Cottage In Great Berkeley Neighborhood.,37.854434,-122.255177,"Elmwood, Berkeley, CA, USA",27,,220,220,,,,,3,4,2,1,cottage,Yes,2014,Within 12 hours,100%,"June 6, 2017",cottage,,640,4,,Oakland
493340,Upper-Rockridge Hilltop Gem!,37.845805,-122.231629,"Upper Rockridge, Oakland, CA, USA",42,,229,250,,,100,,3,6,2,1,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1100,6,,Oakland
305266,"Panoramic Views of San Francisco and Bay, Beautiful Garden, Hot Tub",,,"Maxwell Park, Oakland, CA, USA",97,,159,159,,,,14.0%,3,4,2,1,apartment,Yes,2010,Within 12 hours,100%,"June 6, 2017",apartment,1,1100,4,house,Oakland
875270,Alameda Victorian 2 bedroom  many restuarants.,37.761577,-122.247928,"Alameda, CA, USA",2,4.5,150,150,,,130,,7,4,2,1,apartment,Yes,2009,Within an hour,100%,"April 8, 2017",apartment,1,900,4,building,Oakland
592622,"Modern 2BR  in Rockridge / Berkeley, Walkable to Shops, Dining, Grocers, BART",37.84783045,-122.25842735,"Upper Telegraph, Oakland, CA, USA",40,4.8,205,200,225,,125,,1,8,2,1,apartment,Yes,2014,Within 12 hours,100%,"June 6, 2017",apartment,1,850,8,house,Oakland
815324,"Berkeley Craftsman, vegetarian home,  99% Walkability Rating",37.869574,-122.29613,"Northwest Berkeley, Berkeley, CA, USA",15,4.9,170,165,170,,100,,2,6,2,1,house,Yes,2016,Within a few hours,100%,"June 5, 2017",house,,880,6,,Oakland
921181ha,Prime Elmwood District - Quiet and Elegant Private Apartment,37.858294,-122.25109,"Elmwood, Berkeley, CA, USA",12,4.6,135,130,150,,,,3,4,1,1,house,Yes,2011,Within a day,90%,"May 22, 2017",house,,,4,,Oakland
584026,Lovely 2 Bedroom Flat In The Heart Of The Gourmet Ghetto,37.880829,-122.266835,"North Berkeley, Berkeley, CA, USA",16,4.6,199,199,,,,3.0%,3,4,2,1,house,Yes,2013,Within an hour,100%,"June 7, 2017",house,,1100,4,,Oakland
438648,Even More Affordable Vacation Rental In Alameda - Sf Bay Area,37.760435,-122.235758,"Alameda, CA, USA",57,4.9,118,118,,,75,10.0%,2,4,1,1,apartment,Yes,2012,Within a few hours,100%,"June 1, 2017",apartment,,,4,,Oakland
249444,Rockridge Bungalow Outfitted W/Style - Steps to College Ave!,37.83835983,-122.25031281,"Rockridge, Oakland, CA, USA",80,4.7,129,129,,,70,14.0%,3,4,1,1,house,Yes,2009,Within a day,100%,"June 4, 2017",house,,700,4,,Oakland
202715,2BR VINTAGE HOME-RESTORED-CENTRAL BERKELEY,37.861082,-122.273186,"South Berkeley, Berkeley, CA, USA",25,,200,200,,,,,5,6,2,1,house,Yes,2008,Within a few hours,90%,"June 6, 2017",house,,1200,6,,Oakland
884615,"Sunny and lush. 2-BR, 1-BA duplex Close to BART, restaurants, Cal campus",37.8764474,-122.2926245,"Northwest Berkeley, Berkeley, CA, USA",13,4.8,185,185,,,,,3,4,2,1,apartment,Yes,2016,Within an hour,100%,"June 6, 2017",apartment,1,850,4,house,Oakland
816968,"Charming Garden Cottage - Walk To College Ave, Bart, Cal Campus Stadium",37.8597161,-122.2486923,"Claremont, Berkeley, CA, USA",9,4.9,292,350,,,,12.0%,3,5,1,1,cottage,Yes,2016,Within a few days,60%,"June 6, 2017",cottage,,,5,,Oakland
639641,"Rockridge House - Garden, Hot Tub",37.8470023,-122.2587629,"Upper Telegraph, Oakland, CA, USA",24,,200,220,,,,14.0%,3,4,1,1,house,Yes,2008,Within 12 hours,90%,"June 7, 2017",house,,740,4,,Oakland
579645,2 Bedroom Condo Only 1 Block to UCB,37.876411,-122.265074,"North Berkeley, Berkeley, CA, USA",3,4.7,394,525,,,,,2,5,2,1,condo,Yes,2011,Within a few hours,100%,"June 6, 2017",condo,2,,5,,Oakland
855703,Bay Area Charming 1938 Art Deco Duplex,37.76193527,-122.23984187,"East End, Alameda, CA, USA",16,,169,169,,,,10.0%,3,4,1,1,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,650,4,house,Oakland
763831,Cozy Bungalow On The Emeryville Border,37.8375047,-122.2806919,"Oakland, CA, USA",15,4.9,171,179,,,120,17.0%,3,5,2,1,house,Yes,2013,Within an hour,100%,"June 7, 2017",house,,854,5,,Oakland
651062,"A virtual Garden of Eden where it is okay to eat the apple, or orange!",37.800311,-122.197263,"Dimond, Oakland, CA, USA",20,4.8,151,145,159,,75,,3,4,2,1,cottage,Yes,2014,Within an hour,100%,"May 19, 2017",cottage,,690,4,,Oakland
829292,"North Berkeley Bungalow, Cul-De-Sac",37.877836,-122.281995,"North Berkeley, Berkeley, CA, USA",18,4.9,198,220,,,75,13.0%,3,4,2,1,house,Yes,2016,Within a few hours,100%,"May 24, 2017",house,,1100,4,,Oakland
4104340ha,Stunning One Bedroom Apartment With Gorgeous City Views,37.81237808,-122.27512835,"West Oakland, Oakland, CA, USA",0,,121,130,,,125,,2,5,1,1,apartment,Yes,2015,Within a few days,80%,"June 6, 2017",apartment,,,5,,Oakland
158242,Gorgeous Upper Flat in Historic Berkeley Queen Anne Duplex,37.8724098,-122.2719963,"Downtown Berkeley, Berkeley, CA, USA",7,3.9,121,,,,175,,21,4,1,1,apartment,Yes,2007,Within a day,90%,"May 25, 2017",apartment,,,4,,Oakland
367413,"Golden Gate Bridge View from Light, Bright Oakland Hills Home",37.82258224,-122.19966125,"Shepherd Canyon, Oakland, CA, USA",27,4.8,285,310,,,75,,5,6,3,2,house,Yes,2011,Within 12 hours,100%,"May 20, 2017",house,,1400,6,,Oakland
4053221ha,Bright & Spacious 1-Bedroom Apartment,37.8116875,-122.2756919,"West Oakland, Oakland, CA, USA",0,,121,130,,,125,,2,5,1,1,apartment,Yes,2015,Within 2 days,80%,"June 6, 2017",apartment,,900,5,,Oakland
894808,Enjoy The Backyard Full Of Flowers And Fruit Trees,37.77579821,-122.26120817,"West Alameda, Alameda, CA, USA",3,,140,,,,,10.0%,4,4,2,1,house,Yes,2016,Within an hour,90%,"June 6, 2017",house,,850,4,house,Oakland
3730521ha,The Bay Area at Its Best (Unit 3),37.772977,-122.154234,"Sequoyah, Oakland, CA, USA",33,4.7,149,129,149,,99,14.0%,2,4,2,1,apartment,Yes,2010,Within 12 hours,100%,"June 6, 2017",apartment,2,900,4,,Oakland
107682,Luxury View Condo Walking Distance to U.C. Berkeley Campus,37.86819458,-122.24568939,"Berkeley, CA, USA",18,4.8,311,290,330,,110,,3,6,3,2,apartment,Yes,2006,Within a day,90%,"June 5, 2017",apartment,1,,6,building,Oakland
781045,"One Bedroom, Quiet Hidden Haven Close To Downtown Berkeley",37.8702023,-122.2757943,"Central Berkeley, Berkeley, CA, USA",9,4.4,125,139,,,100,3.0%,3,2,1,1,cottage,Yes,2013,Within an hour,100%,"June 7, 2017",cottage,,550,2,,Oakland
854362,Sanctuary in the Oakland Hills,37.844329,-122.217478,"Merriewood, Oakland, CA, USA",1,,200,,,,220,14.0%,14,6,2,2,house,Yes,2016,Within a day,100%,"June 5, 2017",house,,1450,6,,Oakland
315213,Italian Garden Flat with Grand Piano (Sleeps 2),37.83769989,-122.23107147,"Upper Rockridge, Oakland, CA, USA",53,,135,135,,,50,,4,2,1,1,apartment,Yes,2010,Within an hour,100%,"June 6, 2017",apartment,,500,,house,Oakland
509093,Garden Oasis In The Heart Of Berkeley,37.881721,-122.266406,"North Berkeley, Berkeley, CA, USA",6,4.8,114,125,,,75,,5,2,1,1,cottage,Yes,2013,Within a day,100%,"June 3, 2017",cottage,,550,2,,Oakland
3943870ha,The Bay Area at Its Best (Unit 2),37.77305332,-122.15422327,"Sequoyah, Oakland, CA, USA",15,4.5,135,129,149,,99,14.0%,2,4,2,1,apartment,No,2010,Within 12 hours,100%,"June 6, 2017",apartment,,,4,,Oakland
4201895ha,Hillside 3BR Montclair Home W/SF BayViews,,,"Montclair, Oakland, CA, USA",21,4.9,284,,,,,,1,6,3,2,house,Yes,2014,Within an hour,,"June 7, 2017",house,,,6,,Oakland
3997029ha,Lovely 3BD Victorian Flat in Berkeley,37.8502256,-122.2731131,"South Berkeley, Berkeley, CA, USA",20,4.6,275,299,320,,150,,2,5,3,1,house,Yes,2015,Within a day,90%,"June 6, 2017",house,,,5,,Oakland
261295,Sophisticated Flat with Spectacular Bay/Golden Gate/~SF~ Views,37.85904312,-122.23005676,"Claremont Hills, Oakland, CA, USA",49,,325,395,,,150,,3,6,2,2,apartment,Yes,2009,Within a few hours,100%,"May 17, 2017",apartment,1,1500,6,house,Oakland
3529053ha,The Bay's Best Kept Secret!,37.773975,-122.136812,"Sequoyah, Oakland, CA, USA",15,3.9,102,99,,,90,14.0%,2,4,2,1,apartment,Yes,2010,Within a day,100%,"June 6, 2017",apartment,1,900,4,house,Oakland
506738,Spacious 2 Bedroom Flat in the heart of the Gourmet Ghetto,37.88083806,-122.26689068,"North Berkeley, Berkeley, CA, USA",24,4.7,209,209,,,120,3.0%,3,6,2,1,house,Yes,2013,Within 12 hours,100%,"June 7, 2017",house,,1300,6,,Oakland
780523,Beautiful Garden Bungalow,37.84175,-122.285895,"Golden Gate, Oakland, CA, USA",12,4.3,110,110,,,60,14.0%,,2,1,1,bungalow,Yes,2015,Within a few hours,100%,"June 5, 2017",bungalow,,,2,,Oakland
919365,"Sunny loft in Berkeley quiet area near 4th street, restaurants, cafes and shops.",,,"Southwest Berkeley, Berkeley, CA, USA",1,,120,120,,,60,,7,2,1,1,studio,Yes,2016,Within a few days,70%,"June 1, 2017",studio,2,980,2,building,Oakland
383534,Private Retreat in the Heart of Rockridge. Walk to Everything!,37.84790802,-122.25589752,"Upper Telegraph, Oakland, CA, USA",55,,250,250,,,,,3,6,2,2,house,Yes,2011,Within 2 days,100%,"June 3, 2017",house,,,6,,Oakland
