listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
264663,48,1,Roslyn H.,Very Nice,4,2017-05-14T00:00:00.000+0000,VRBO,2017-05-30T15:28:00.000+0000
264663,48,2,Hallie R.,Great studio that was centrally located. All of our needs were taken care of!,5,2017-05-11T00:00:00.000+0000,VRBO,2017-05-19T01:38:00.000+0000
264663,48,3,Alessandro C.,The right place!,5,2017-03-24T00:00:00.000+0000,VRBO,2017-04-14T17:50:00.000+0000
264663,48,4,Ken K.,"Good location, great value",5,2017-02-18T00:00:00.000+0000,VRBO,2017-03-03T23:09:00.000+0000
264663,48,5,Susan S.,Exceeded expectations,5,2017-01-30T00:00:00.000+0000,VRBO,2017-02-24T12:57:00.000+0000
264663,48,6,Annelle H.,Large Comfortable Studio and Well-Equipped,4,2016-12-30T00:00:00.000+0000,VRBO,2017-01-06T06:39:00.000+0000
264663,48,7,Alexander G.,A true bay area experience,4,2016-12-14T00:00:00.000+0000,VRBO,2016-12-22T00:19:00.000+0000
264663,48,8,Anthony P.,We had a fabulous stay. No problems with noise or homeless people.,5,2016-11-16T00:00:00.000+0000,VRBO,2016-11-30T17:47:00.000+0000
264663,48,9,Greg P.,A comfortable interior with outside issues.,3,2016-10-17T00:00:00.000+0000,VRBO,2016-10-31T00:55:00.000+0000
264663,48,10,Jana L.,"Large Studio, gorgeous accommodations! Close to BART",4,2016-10-03T00:00:00.000+0000,VRBO,2016-10-10T17:32:00.000+0000
264663,48,11,Lauren D.,Perfect apartment to explore East Bay and San Francisco,5,2016-09-22T00:00:00.000+0000,VRBO,2016-09-27T15:59:00.000+0000
264663,48,12,Duncan C.,Great stay,5,2016-09-16T00:00:00.000+0000,VRBO,2016-09-26T19:56:00.000+0000
264663,48,13,Carson H.,"Very nice, modern studio apartment had everything I needed for an uneventful business trip.",5,2016-09-19T00:00:00.000+0000,VRBO,2016-09-23T03:02:00.000+0000
264663,48,14,Mj V.,Hidden Gem,4,2016-09-07T00:00:00.000+0000,VRBO,2016-09-13T05:14:00.000+0000
264663,48,15,michael t.,Very pleased overall.,4,2016-07-16T00:00:00.000+0000,VRBO,2016-07-25T08:59:00.000+0000
264663,48,16,Lehea S.,Loft was just as pictured!,4,2016-05-25T00:00:00.000+0000,VRBO,2016-06-23T00:32:00.000+0000
264663,48,17,Valerie S.,Great recently renovated apartment,5,2016-06-05T00:00:00.000+0000,VRBO,2016-06-21T17:08:00.000+0000
264663,48,18,Irina L.,Absolutely lovely and comfortable Loft!,5,2016-04-26T00:00:00.000+0000,VRBO,2016-05-26T20:17:00.000+0000
264663,48,19,David E.,"Functional, spacious, clean and well-equipped",4,2016-05-08T00:00:00.000+0000,VRBO,2016-05-24T12:11:00.000+0000
264663,48,20,Isabel D.,Lovely Retreat in Uptown Oakland!,5,2016-05-13T00:00:00.000+0000,VRBO,2016-05-22T19:32:00.000+0000
264663,48,21,Ed Nanci L.,"Great place, easy access in the Bay Area.",4,2016-01-31T00:00:00.000+0000,VRBO,2016-04-25T15:39:00.000+0000
264663,48,22,Cecilia L.,"Excellent apartment, very well equiped and near to subway, highways, bus stops!",5,2015-12-19T00:00:00.000+0000,VRBO,2016-02-11T20:56:00.000+0000
264663,48,23,Charles C.,A very spacious efficiency; nicely furnished and well appointed. Convenient access to the BART,4,2016-01-19T00:00:00.000+0000,VRBO,2016-01-29T01:45:00.000+0000
264663,48,24,Carey K.,"Comfy, clean, quite. We had a very pleasant stay.",5,2016-01-14T00:00:00.000+0000,VRBO,2016-01-21T23:09:00.000+0000
264663,48,25,Elizabeth W.,Quality property in good location,4,2015-09-20T00:00:00.000+0000,VRBO,2015-10-12T18:29:00.000+0000
264663,48,26,Patricia B.,Patricia,5,2015-08-21T00:00:00.000+0000,VRBO,2015-09-01T12:43:12.647+0000
264663,48,27,Jackie D.,Very good place in Oakland,4,2015-08-12T00:00:00.000+0000,VRBO,2015-08-25T22:32:24.500+0000
264663,48,28,Elise,Disappointing ,1,2015-08-18T00:00:00.000+0000,VRBO,2015-08-21T15:59:09.993+0000
