listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
3708353ha,26,1,christa m i.,Great Stay,5,2017-05-09T00:00:00.000+0000,VRBO,2017-05-29T15:06:00.000+0000
3708353ha,26,2,Jeffrey S.,Better than my own home!,5,2017-03-07T00:00:00.000+0000,VRBO,2017-03-15T17:33:00.000+0000
3708353ha,26,3,M S.,very pleasant,5,2017-02-17T00:00:00.000+0000,VRBO,2017-02-22T15:18:00.000+0000
3708353ha,26,4,christa m i.,Thanksgiving Stay,5,2016-11-22T00:00:00.000+0000,VRBO,2016-12-15T01:14:00.000+0000
3708353ha,26,5,Carolyn A.,"Location, location, location (and charming)",5,2016-11-03T00:00:00.000+0000,VRBO,2016-11-10T00:23:00.000+0000
3708353ha,26,6,John  A.,cottage in Claremont,5,2016-10-05T00:00:00.000+0000,VRBO,2016-10-11T04:22:00.000+0000
3708353ha,26,7,christa m i.,Alway Welcomed,5,2016-08-23T00:00:00.000+0000,VRBO,2016-09-05T14:52:00.000+0000
3708353ha,26,8,James H.,More homey than my home,5,2016-06-17T00:00:00.000+0000,VRBO,2016-06-22T12:23:00.000+0000
3708353ha,26,9,Catherine G.,"Perfect house, perfect location",5,2016-05-17T00:00:00.000+0000,VRBO,2016-05-24T12:34:00.000+0000
3708353ha,26,10,Georgia and Fred F.,Within walking distance to the village,5,2016-03-26T00:00:00.000+0000,VRBO,2016-04-13T00:02:00.000+0000
3708353ha,26,11,Michael S.,Perfect for a clairmont stay,5,2015-12-04T00:00:00.000+0000,VRBO,2015-12-14T13:43:00.000+0000
3708353ha,26,12,Hal C.,Ideal rental,5,2015-11-12T00:00:00.000+0000,VRBO,2015-11-18T13:15:00.000+0000
3708353ha,26,13,L&M Seattle,Hidden Elegance,5,2015-09-18T00:00:00.000+0000,VRBO,2015-10-02T15:01:00.000+0000
3708353ha,26,14,christa m i.,Great Home,5,2015-08-25T00:00:00.000+0000,VRBO,2015-09-03T11:53:33.997+0000
3708353ha,26,15,James H.,Charming Home With All of the Amenities,5,2015-06-13T00:00:00.000+0000,VRBO,2015-06-22T21:56:26.740+0000
3708353ha,26,16,James B.,A very nice place to stay,4,2015-06-03T00:00:00.000+0000,VRBO,2015-06-18T13:05:04.140+0000
3708353ha,26,17,Lisa T.,Great Place!!!,5,2015-05-12T00:00:00.000+0000,VRBO,2015-06-03T15:35:25.577+0000
3708353ha,26,18,Kristen B.,excellent location & welcoming hosts,5,2015-05-29T00:00:00.000+0000,VRBO,2015-06-03T14:35:43.950+0000
3708353ha,26,19,Johanna A.,Everything you need in a great location,5,2015-04-11T00:00:00.000+0000,VRBO,2015-04-24T12:05:40.423+0000
3708353ha,26,20,L&M Seattle,Treated like family!,5,2014-10-24T00:00:00.000+0000,VRBO,2014-10-26T18:29:55.293+0000
3708353ha,26,21,Scott B.,Thank you! Our stay was wonderful!,5,2014-09-26T00:00:00.000+0000,VRBO,2014-10-03T00:04:49.130+0000
3708353ha,26,22,christa m i.,Great Accomodation.,5,2014-08-18T00:00:00.000+0000,VRBO,2014-09-15T19:23:34.863+0000
3708353ha,26,23,Rosemary A.,Wonderful!!!!,5,2014-06-01T00:00:00.000+0000,VRBO,2014-06-11T14:18:01.343+0000
3708353ha,26,24,Anonymous,Top Notch!,5,2014-05-23T00:00:00.000+0000,VRBO,2014-05-29T14:42:59.990+0000
3708353ha,26,25,jack p.,super organized,5,2014-03-14T00:00:00.000+0000,VRBO,2014-04-22T00:00:15.773+0000
3708353ha,26,26,Alyse G.,Beautiful Claremont Hideaway,5,2014-03-04T00:00:00.000+0000,VRBO,2014-03-22T02:31:00.763+0000
4021803ha,5,1,Anonymous,Beautiful home and awesome owners!,5,2017-02-17T00:00:00.000+0000,VRBO,2017-02-23T01:47:00.000+0000
4021803ha,5,2,Stacy ,Beautiful home. Just elegant enough.,5,2016-12-23T00:00:00.000+0000,VRBO,2016-12-30T15:33:00.000+0000
4021803ha,5,3,Juanita O.,"Our stay from beginning to end was awesome!! Very beautiful home, the view, the area was perfect.",5,2016-07-22T00:00:00.000+0000,VRBO,2016-08-28T03:03:00.000+0000
4021803ha,5,4,Stephanie T.,Great experience!,5,2016-07-29T00:00:00.000+0000,VRBO,2016-08-09T06:31:00.000+0000
4021803ha,5,5,Joshua R.,great house!,5,2016-06-24T00:00:00.000+0000,VRBO,2016-06-29T17:58:00.000+0000
4197292ha,7,1,Robbie L.,cozy and good neighbors,4,2017-03-24T00:00:00.000+0000,VRBO,2017-04-23T17:54:00.000+0000
4197292ha,7,2,Francisco M.,"GREAT LOCATION, GREAT ASSISTANCE",5,2017-01-11T00:00:00.000+0000,VRBO,2017-01-29T13:37:00.000+0000
4197292ha,7,3,Kevin W.,Quiet and Comfortable,5,2016-11-02T00:00:00.000+0000,VRBO,2016-11-13T16:32:00.000+0000
4197292ha,7,4,saleh a.,Wonderful house,5,2016-08-06T00:00:00.000+0000,VRBO,2016-08-18T01:20:00.000+0000
4197292ha,7,5,Shane H,great townhome in a great location,5,2016-07-16T00:00:00.000+0000,VRBO,2016-07-28T15:28:00.000+0000
4197292ha,7,6,Steven A.,Good experience,4,2016-07-09T00:00:00.000+0000,VRBO,2016-07-26T18:37:00.000+0000
4197292ha,7,7,Lisa P.,"Nice place, great price.",5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-25T01:49:06.903+0000
717410,10,1,Anonymous,Regret to leave. Wounderful stay,5,2016-12-21T00:00:00.000+0000,VRBO,2017-01-17T12:29:00.000+0000
717410,10,2,Steve,Nice area and fairly close to everything,5,2016-11-02T00:00:00.000+0000,VRBO,2016-12-09T04:42:33.803+0000
717410,10,3,tim c.,WARNING: Worst Stay Ever ,1,2016-09-19T00:00:00.000+0000,VRBO,2016-10-29T20:12:01.313+0000
717410,10,4,Kyle D.,Great experience,5,2016-03-30T00:00:00.000+0000,VRBO,2016-04-17T00:33:00.000+0000
717410,10,5,Shaina W.,Good Property but lacking furniture,3,2015-12-15T00:00:00.000+0000,VRBO,2015-12-27T16:11:00.000+0000
717410,10,6,Acosta Family,Very beautiful home ,5,2015-10-04T00:00:00.000+0000,VRBO,2015-11-09T15:55:16.387+0000
717410,10,7,Carlos B.,A beautiful house with a quiet and lovely community,4,2015-08-08T00:00:00.000+0000,VRBO,2015-08-16T20:49:06.770+0000
717410,10,8,Patrick,Beautiful House !,5,2015-07-31T00:00:00.000+0000,VRBO,2015-08-08T23:47:54.973+0000
717410,10,9,Gaurav B.,Excellent home.,5,2015-07-23T00:00:00.000+0000,VRBO,2015-07-30T17:17:21.893+0000
717410,10,10,Linda G.,Graduation Family Get Together,4,2015-06-12T00:00:00.000+0000,VRBO,2015-06-22T16:24:11.923+0000
4098048ha,4,1,Kathy V.,"Great 3 month stay - Clean, Big, Convenient",4,2016-08-24T00:00:00.000+0000,VRBO,2016-12-12T15:53:00.000+0000
4098048ha,4,2,Aziz A.,  Awesome place,5,2016-07-14T00:00:00.000+0000,VRBO,2016-08-29T13:57:50.193+0000
4098048ha,4,3,Kathy G.,Very nice house,5,2016-01-19T00:00:00.000+0000,VRBO,2016-01-28T16:34:00.000+0000
4098048ha,4,4,roger l.,Home Sweet Home,5,2016-01-10T00:00:00.000+0000,VRBO,2016-01-20T22:36:15.567+0000
677560,13,1,Kathryn C.,Stunning home in a lovely quiet neighborhood.,5,2017-03-04T00:00:00.000+0000,VRBO,2017-03-27T19:43:00.000+0000
677560,13,2,Vickie M.,Great Accommodations for a Bridal Party,4,2016-11-16T00:00:00.000+0000,VRBO,2016-11-26T17:18:00.000+0000
677560,13,3,Rose H.,"Very clean, quiet, great location!",5,2016-10-08T00:00:00.000+0000,VRBO,2016-10-15T16:37:00.000+0000
677560,13,4,California Dreamers,Beautiful well kept home in a fabulous area of Southern California,5,2016-08-09T00:00:00.000+0000,VRBO,2016-09-01T21:54:00.000+0000
677560,13,5,Esther W.,Great House and Location,5,2016-08-02T00:00:00.000+0000,VRBO,2016-08-11T01:06:00.000+0000
677560,13,6,Catherine T.,Comfort and Luxury,5,2016-01-03T00:00:00.000+0000,VRBO,2016-01-20T14:20:48.133+0000
677560,13,7,Julie B.,Very Nice Home,5,2015-12-27T00:00:00.000+0000,VRBO,2016-01-10T22:49:00.000+0000
677560,13,8,Mary N.,A Wonderful Home!,5,2015-12-22T00:00:00.000+0000,VRBO,2015-12-30T21:01:54.913+0000
677560,13,9,Kerianne  D.,Such a Great Help!!!,5,2015-12-05T00:00:00.000+0000,VRBO,2015-12-15T15:44:20.983+0000
677560,13,10,BOBBI O.,Beautiful home,5,2015-11-23T00:00:00.000+0000,VRBO,2015-12-04T17:32:00.000+0000
