listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
821859,13,1,Jackie J.,"Lovely and spacious, perfect for the two of us!",4,2017-04-20T00:00:00.000+0000,VRBO,2017-04-26T00:23:00.000+0000
821859,13,2,Jean G.,Sweet retreat!,5,2017-02-01T00:00:00.000+0000,VRBO,2017-03-03T17:37:00.000+0000
821859,13,3,Gil,Great choice!,5,2017-01-07T00:00:00.000+0000,VRBO,2017-02-01T00:43:00.000+0000
821859,13,4, Suzanne & Jack  N.,Lovely and well thought out accommodations with every detail provided for. Most comfortable bed!,5,2016-12-23T00:00:00.000+0000,VRBO,2017-01-03T01:31:00.000+0000
821859,13,5,Anonymous,great stay and location,4,2016-11-20T00:00:00.000+0000,VRBO,2016-12-02T02:43:00.000+0000
821859,13,6,Ann D.,The Oaks in Cherry Valley PETALUMA ID821859,5,2016-10-10T00:00:00.000+0000,VRBO,2016-10-16T19:24:00.000+0000
821859,13,7,Jaime S.,Quiet clean & cozy,5,2016-10-06T00:00:00.000+0000,VRBO,2016-10-14T03:53:00.000+0000
821859,13,8,Kristi L.,Cozy Cabin in Petaluma,5,2016-09-30T00:00:00.000+0000,VRBO,2016-10-10T05:40:00.000+0000
821859,13,9,Cari G.,Perfect home base for exploring.,5,2016-09-13T00:00:00.000+0000,VRBO,2016-09-26T18:40:00.000+0000
821859,13,10,Constance S.,"Absolutely beautiful setting with first class, artsy appointments. Comfort and privacy at its finest",5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-10T15:40:00.000+0000
821859,13,11,"A guest from ,",My stay in Oaks in Cherry valley,5,2016-08-16T00:00:00.000+0000,VRBO,2016-09-03T17:47:47.877+0000
821859,13,12,PY,Excellent,5,2016-08-02T00:00:00.000+0000,VRBO,2016-08-13T00:02:00.000+0000
821859,13,13,Bob T.,"Beautiful, Clean, and Friendly",5,2016-04-04T00:00:00.000+0000,VRBO,2016-04-14T18:15:00.000+0000
922011,6,1,Marjorie G.,Precious Place,5,2017-05-20T00:00:00.000+0000,VRBO,2017-05-28T18:28:00.000+0000
922011,6,2,Jacqueline M.,House was wonderful. Good location. Well stocked with basics. Every detail thoughtfully taken.,5,2017-04-30T00:00:00.000+0000,VRBO,2017-05-06T15:36:00.000+0000
922011,6,3,Julie B.,Cozy and Well Prepared House in a Nice neighborhood.,5,2017-04-23T00:00:00.000+0000,VRBO,2017-04-30T20:15:00.000+0000
922011,6,4,paul b.,Lovely quiet home on the outskirts of downtown,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-15T16:19:00.000+0000
922011,6,5,Ron B.,Great home in Petaluma,5,2017-03-03T00:00:00.000+0000,VRBO,2017-03-12T01:34:00.000+0000
922011,6,6,Susan P.,Awesome!,5,2017-01-30T00:00:00.000+0000,VRBO,2017-03-02T16:23:00.000+0000
591874,11,1,Sheila S.,"Great location, beautiful outdoor space, clean!",5,2017-04-20T00:00:00.000+0000,VRBO,2017-04-23T13:20:00.000+0000
591874,11,2,Perry H.,Safe quiet neighborhood,4,2017-01-15T00:00:00.000+0000,VRBO,2017-01-21T07:20:00.000+0000
591874,11,3,mollie Sacramento CA,We spent the Thanksgiving holiday in this house and it was awesome.,5,2016-11-24T00:00:00.000+0000,VRBO,2016-11-30T23:44:00.000+0000
591874,11,4,Reuben S.,Great house with a great host!!,5,2016-10-11T00:00:00.000+0000,VRBO,2016-11-14T19:29:00.000+0000
591874,11,5,Jeffrey P.,"Great house, great location",5,2016-05-05T00:00:00.000+0000,VRBO,2016-05-19T18:27:00.000+0000
591874,11,6,Gloria M.,Great hsopitality!,5,2015-10-01T00:00:00.000+0000,VRBO,2015-10-26T16:27:30.690+0000
591874,11,7,Tracy  H.,Perfect location for family for our son's wedding!,5,2015-09-24T00:00:00.000+0000,VRBO,2015-09-29T01:20:09.830+0000
591874,11,8,Vaibhav S.,A perfect getaway place!,5,2015-09-17T00:00:00.000+0000,VRBO,2015-09-24T03:21:16.667+0000
591874,11,9,Walter B.,Great place for production crew!,5,2015-08-12T00:00:00.000+0000,VRBO,2015-08-21T05:51:28.987+0000
591874,11,10,Jennifer R.,"LOVED this beautiful home, location and yard",5,2015-03-20T00:00:00.000+0000,VRBO,2015-04-05T04:45:52.043+0000
591874,11,11,Leslie C.,Great place for families!,5,2014-06-20T00:00:00.000+0000,VRBO,2014-07-09T21:40:16.957+0000
574792,3,1,Bryson B.,Amazing,5,2015-10-07T00:00:00.000+0000,VRBO,2015-10-14T07:11:31.783+0000
574792,3,2,George H.,Terrific place,5,2015-08-13T00:00:00.000+0000,VRBO,2015-08-25T18:15:20.617+0000
574792,3,3,oliver p,pool side paradise,5,2015-08-06T00:00:00.000+0000,VRBO,2015-08-11T17:28:58.080+0000
370130,42,1,Richard H.,Charming retro experience,5,2017-05-17T00:00:00.000+0000,VRBO,2017-05-19T00:21:00.000+0000
370130,42,2,Robyn W.,Charming Cottage,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-03T04:26:00.000+0000
370130,42,3,Sheryl E.,Great house in a quiet old neighborhood,5,2017-03-10T00:00:00.000+0000,VRBO,2017-03-28T13:28:00.000+0000
370130,42,4,Herschel E.,Great Location,5,2016-06-18T00:00:00.000+0000,VRBO,2016-08-29T22:40:56.057+0000
370130,42,5,Robert P.,Perfect,5,2016-08-19T00:00:00.000+0000,VRBO,2016-08-23T17:00:00.000+0000
370130,42,6,Teri B.,Dated but nice,4,2016-07-26T00:00:00.000+0000,VRBO,2016-08-01T18:16:00.000+0000
370130,42,7,Amy S.,Beautiful charming home near dt petaluma,5,2016-07-08T00:00:00.000+0000,VRBO,2016-07-23T17:22:00.000+0000
370130,42,8,William D.,We had a great time in a great home.,5,2016-07-12T00:00:00.000+0000,VRBO,2016-07-22T18:46:00.000+0000
370130,42,9,Joseph S.,Lovely Stay,5,2015-09-12T00:00:00.000+0000,VRBO,2015-09-27T02:27:30.433+0000
370130,42,10,Wendy N.,Fantastic stay,5,2015-07-07T00:00:00.000+0000,VRBO,2015-07-24T19:32:21.557+0000
370130,42,11,Anji,Home Away From Home,5,2015-06-06T00:00:00.000+0000,VRBO,2015-06-16T17:03:24.687+0000
370130,42,12,s,Vintage visit,5,2015-03-15T00:00:00.000+0000,VRBO,2015-04-28T14:51:59.257+0000
370130,42,13,Katie,"Gorgeous Petaluma home, perfect base to see the best of Northern California",5,2014-08-11T00:00:00.000+0000,VRBO,2014-09-13T14:12:06.103+0000
370130,42,14, Suzanne & Jack  N.,Everything needed for your comfort has been provided!,5,2014-07-15T00:00:00.000+0000,VRBO,2014-08-18T17:34:57.207+0000
370130,42,15,Pamela L.,Vintage charmer,5,2014-06-06T00:00:00.000+0000,VRBO,2014-06-11T16:14:26.973+0000
370130,42,16,wayne,quaint and relaxing! family friendly,5,2014-05-18T00:00:00.000+0000,VRBO,2014-06-01T21:38:53.227+0000
370130,42,17,bklyn4eva,Absolutely Perfect!,5,2014-05-03T00:00:00.000+0000,VRBO,2014-05-25T01:30:55.660+0000
370130,42,18,Former Local,Perfect!,5,2013-12-26T00:00:00.000+0000,VRBO,2014-01-04T00:33:12.877+0000
370130,42,19,Rachel B.,Loved it!,5,2013-10-19T00:00:00.000+0000,VRBO,2013-11-05T21:58:01.040+0000
370130,42,20,Dugan,Enjoyed our stay.,5,2013-09-22T00:00:00.000+0000,VRBO,2013-10-13T14:43:09.510+0000
370130,42,21,Wayne H.,"Charming, well equipped, spacious cottage. ",5,2013-09-19T00:00:00.000+0000,VRBO,2013-09-24T12:38:00.067+0000
370130,42,22,Ariel,Charming gem,5,2013-04-29T00:00:00.000+0000,VRBO,2013-07-18T04:00:04.440+0000
370130,42,23,Donella,Could not have been more perfect!,5,2013-04-25T00:00:00.000+0000,VRBO,2013-05-08T23:45:53.060+0000
370130,42,24,Moca,"Beyond my expectations, better than any hotel!",5,2013-02-15T00:00:00.000+0000,VRBO,2013-03-13T20:04:42.470+0000
370130,42,25,Kathy,Feel at home in Petaluma,5,2012-12-20T00:00:00.000+0000,VRBO,2013-01-02T15:41:39.447+0000
370130,42,26,sfkate,Perfect home away from home,5,2012-10-03T00:00:00.000+0000,VRBO,2012-10-12T17:45:22.937+0000
370130,42,27,Anonymous,A little slice of heaven,5,2012-08-25T00:00:00.000+0000,VRBO,2012-09-11T11:20:31.843+0000
370130,42,28,cjvoz,a comfortable home away from home,5,2012-05-09T00:00:00.000+0000,VRBO,2012-09-03T04:51:58.810+0000
370130,42,29,RM,Charming home and a very friendly welcome,5,2012-07-25T00:00:00.000+0000,VRBO,2012-08-06T02:41:19.723+0000
370130,42,30,Nevin,Cheerful and Sunny Home with Lovely Features,5,2012-07-06T00:00:00.000+0000,VRBO,2012-07-12T16:38:31.593+0000
370130,42,31,Anna,A getaway with charm,5,2012-06-21T00:00:00.000+0000,VRBO,2012-06-26T04:00:05.153+0000
370130,42,32,Anonymous,Anniversary weekend,5,2012-03-24T00:00:00.000+0000,VRBO,2012-06-09T04:24:18.120+0000
370130,42,33,Jodi A,Perfect Getaway,5,2012-04-04T00:00:00.000+0000,VRBO,2012-04-25T17:06:01.637+0000
370130,42,34,Pam & Hein,Great Escape From Winter,5,2012-02-21T00:00:00.000+0000,VRBO,2012-03-18T22:22:20.390+0000
370130,42,35,Becca,great accommodations during workshop at Strozzi Institute,5,2012-01-25T00:00:00.000+0000,VRBO,2012-01-30T21:27:23.910+0000
370130,42,36,Rogers,Home for the holidays,5,2011-12-20T00:00:00.000+0000,VRBO,2011-12-30T20:02:31.943+0000
370130,42,37,Claudia,Great Getaway from one West Coast to the other West Coast,5,2011-11-22T00:00:00.000+0000,VRBO,2011-11-30T03:37:03.337+0000
370130,42,38,Anonymous,Perfect Accommodations for a Homecoming,5,2011-10-21T00:00:00.000+0000,VRBO,2011-10-25T17:21:28.050+0000
370130,42,39,Meighan B.,Charming Cottage - perfect Petaluma Getaway,5,2011-10-14T00:00:00.000+0000,VRBO,2011-10-17T03:08:25.990+0000
370130,42,40,Steve and Qin,A BEAUTIFUL HOUSE,5,2011-09-02T00:00:00.000+0000,VRBO,2011-09-06T03:20:02.833+0000
370130,42,41,Michelle,"John,Michelle",5,2011-08-12T00:00:00.000+0000,VRBO,2011-09-05T20:06:51.533+0000
370130,42,42,Ray,Very nice visit,5,2011-08-05T00:00:00.000+0000,VRBO,2011-09-01T21:14:11.227+0000
3678848ha,30,1,Courtney H.,Excellent weekend trip!,5,2017-05-05T00:00:00.000+0000,VRBO,2017-05-08T00:09:00.000+0000
3678848ha,30,2,Anonymous,Perfect location!,5,2017-04-28T00:00:00.000+0000,VRBO,2017-05-01T17:16:00.000+0000
3678848ha,30,3,TERRY H.,Great weekend getaway,5,2017-02-23T00:00:00.000+0000,VRBO,2017-03-03T17:06:00.000+0000
3678848ha,30,4,Bonnie L.,Great place!,5,2016-11-21T00:00:00.000+0000,VRBO,2016-11-28T05:06:53.380+0000
