listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
344836ha,Resort Living at 1/2 the Cost,33.382469,-112.015043,"South Mountain Village, Phoenix, AZ, USA",10,4.9,83,,,,,,30,6,2,2,condo,Yes,2010,Within 12 hours,100%,"June 2, 2017",condo,,1300,6,,Phoenix
3864096ha,"Stunning Home, Gated Community, On Legacy Golf Course,  Community Pool/Spa",33.38397734,-112.015127,"South Mountain Village, Phoenix, AZ, USA",7,4.6,72,,,,,,25,8,3,2,house,Yes,2009,Within an hour,,"June 2, 2017",house,1,1650,8,,Phoenix
765050,Ground Floor Condo In The Foothills+ Putting green+Desert views+near pool,33.306226,-112.013019,"Ahwatukee Foothills Village, Phoenix, AZ, USA",5,4.6,47,97,,,100,,10,4,1,1,condo,Yes,2011,Within an hour,100%,"June 6, 2017",condo,1,800,4,building,Phoenix
3850439ha,"Gorgeous, Private & Relaxing views in the Iconic Arizona Biltmore",33.51208656,-112.01655634,"Biltmore Terrace Condominiums, Phoenix, AZ, USA",32,4.9,104,115,,,125,,3,4,1,1,condo,Yes,2014,Within a day,90%,"June 6, 2017",condo,1,1000,4,,Phoenix
616940,Perfect Place To Enjoy The Sunny Arizona Weather!,33.3016053,-111.999135,"Ahwatukee Foothills Village, Phoenix, AZ, USA",4,,58,,,,115,,30,4,2,2,condo,Yes,2014,Within a few hours,100%,"May 22, 2017",condo,2,1000,4,,Phoenix
655521,It's All Within Reach - And You Are Home!,33.702835,-112.14927,"Deer Valley, Phoenix, AZ, USA",19,4.8,80,150,,,,,1,8,3,2,house,Yes,2014,Within an hour,100%,"June 3, 2017",house,,1950,8,,Phoenix
136554ha,Newest listing -- Elegant Condo,,,"Sherwood Towne, Phoenix, AZ, USA",10,4.3,78,,,,,,7,4,2,2,condo,Yes,2006,Within a day,80%,"April 26, 2017",condo,,982,4,,Phoenix
397840,Phoenix  Condo with a View of South Mountain from 2 Balconies.,33.37890625,-112.00765991,"South Mountain Village, Phoenix, AZ, USA",27,4.6,57,,,,125,2.7%,7,5,2,2,condo,Yes,2012,Within an hour,100%,"June 6, 2017",condo,2,860,5,building,Phoenix
906880,"Ground Floor with King Bed & Dual Sinks by Grocery, Shops, Hiking & Restaurants",33.30200044,-111.9982537,"Ahwatukee Foothills Village, Phoenix, AZ, USA",13,4.6,67,,,,100,,3,4,1,1,condo,Yes,2016,Within an hour,100%,"June 7, 2017",condo,1,,,building,Phoenix
513229,"Remodeled Condo, Breathtaking Views, Great Amenities & Close To Everything!",33.5962729,-111.987099,"Phoenix, AZ, USA",6,,47,,,,125,,30,5,1,1,condo,Yes,2014,Within a day,90%,"June 6, 2017",condo,3,850,5,,Phoenix
