listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
344836ha,10,1,Terry K.,Best vacation location yet!,5,2017-03-01T00:00:00.000+0000,VRBO,2017-04-30T16:15:00.000+0000
344836ha,10,2,Ken P.,The Best!,5,2016-08-14T00:00:00.000+0000,VRBO,2016-11-09T05:50:00.000+0000
344836ha,10,3,Gary G.,The condo was great and the owners are lovely people,5,2016-07-09T00:00:00.000+0000,VRBO,2016-08-16T13:28:00.000+0000
344836ha,10,4,Janet V.,Wonderful AZ getaway and centrally located !,5,2016-03-02T00:00:00.000+0000,VRBO,2016-04-27T18:35:39.560+0000
344836ha,10,5,Linda from Wisconsin,Great stay,5,2015-03-04T00:00:00.000+0000,VRBO,2015-04-15T03:36:19.930+0000
344836ha,10,6,Linda from Wisconsin,Great say,4,2015-03-04T00:00:00.000+0000,VRBO,2015-04-06T01:30:12.417+0000
344836ha,10,7,Robert C.,Excellent Condo in Cachet at Legacy,5,2014-05-01T00:00:00.000+0000,VRBO,2014-07-14T19:51:04.133+0000
344836ha,10,8,Joan C.,Very nice place.  Great Location!,5,2012-01-20T00:00:00.000+0000,VRBO,2012-04-03T23:04:58.667+0000
344836ha,10,9,Nana,super nice place,5,2011-02-02T00:00:00.000+0000,VRBO,2011-03-31T01:19:10.017+0000
344836ha,10,10,Anonymous,Beautiful Accommodations in Great Location!,5,2011-01-05T00:00:00.000+0000,VRBO,2011-01-13T21:21:16.627+0000
3864096ha,7,1,Jody B.,Spacious and Clean!,5,2017-04-15T00:00:00.000+0000,VRBO,2017-04-23T14:58:00.000+0000
3864096ha,7,2,Ross D.,Good location,5,2017-01-25T00:00:00.000+0000,VRBO,2017-03-03T16:43:00.000+0000
3864096ha,7,3,Paul E.,Really Nice Place to Stay,5,2016-12-10T00:00:00.000+0000,VRBO,2016-12-16T00:58:34.593+0000
3864096ha,7,4,Tom and Patti-Jo  H.,Great Vacation,4,2016-10-14T00:00:00.000+0000,VRBO,2016-12-03T19:07:54.380+0000
3864096ha,7,5,Colin L.,"Excellent Experience, Start to Finish",5,2016-07-13T00:00:00.000+0000,VRBO,2016-08-26T15:10:00.000+0000
3864096ha,7,6,Jack B.,My Phoenix accommodations,3,2016-02-22T00:00:00.000+0000,VRBO,2016-04-14T21:18:00.000+0000
3864096ha,7,7,Dave D.,Cachet at the Legacy Phoenix Arizona,5,2016-01-16T00:00:00.000+0000,VRBO,2016-02-18T23:43:00.000+0000
765050,5,1,Denis C.,Wonderful place to stay!,4,2017-04-01T00:00:00.000+0000,VRBO,2017-05-05T16:15:00.000+0000
765050,5,2,Allen W.,Vacation 2017,5,2017-03-10T00:00:00.000+0000,VRBO,2017-04-14T12:46:00.000+0000
765050,5,3,Al  P.,a very pleasant experience,5,2017-02-27T00:00:00.000+0000,VRBO,2017-03-09T17:54:00.000+0000
765050,5,4,Barb G.,Renter,5,2016-12-01T00:00:00.000+0000,VRBO,2017-01-16T23:42:30.017+0000
765050,5,5,Ken S.,I would Recommend Staying at this Condo,4,2016-11-01T00:00:00.000+0000,VRBO,2016-12-06T20:22:00.000+0000
3850439ha,32,1,Sheila S.,Perfect hosts and location!,5,2017-05-15T00:00:00.000+0000,VRBO,2017-06-04T12:19:00.000+0000
