listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
916934,1,1,Ute L.,Staying with friends in a great home,4,2016-12-24T00:00:00.000+0000,VRBO,2017-02-10T11:32:41.223+0000
862744,8,1,Joyce N.,Beautiful place to stay,5,2017-05-30T00:00:00.000+0000,VRBO,2017-06-04T23:40:00.000+0000
862744,8,2,Jennifer R.,Spacious and beautiful retreat,5,2017-05-17T00:00:00.000+0000,VRBO,2017-05-23T03:10:00.000+0000
862744,8,3,Kris J.,Beautiful property,5,2017-05-05T00:00:00.000+0000,VRBO,2017-05-20T16:19:00.000+0000
862744,8,4,Joanne B.,Nice home in a great location!,4,2017-05-12T00:00:00.000+0000,VRBO,2017-05-16T20:01:00.000+0000
862744,8,5,Betsy R.,Happy with our stay.,4,2017-04-26T00:00:00.000+0000,VRBO,2017-05-01T17:36:00.000+0000
862744,8,6,Mark C.,Home,5,2016-08-20T00:00:00.000+0000,VRBO,2016-09-16T05:44:44.833+0000
862744,8,7,jorilyn N.,Perfect House!!,5,2016-07-13T00:00:00.000+0000,VRBO,2016-07-24T19:01:46.663+0000
862744,8,8,Philly,Spectacular,5,2016-07-17T00:00:00.000+0000,VRBO,2016-07-24T16:24:23.103+0000
423184,33,1,Cate L.,Always a pleasure,5,2017-05-15T00:00:00.000+0000,VRBO,2017-06-02T00:16:00.000+0000
423184,33,2,Carolee R.,This property was perfect for our family celebration for my youngest daughters college graduation.,5,2017-05-11T00:00:00.000+0000,VRBO,2017-05-16T01:55:00.000+0000
423184,33,3,donald Kuskie,Breathtaking!!!!!,5,2017-03-19T00:00:00.000+0000,VRBO,2017-03-25T15:08:00.000+0000
423184,33,4,Cate L.,This place was a 10 out of 10!,5,2016-11-09T00:00:00.000+0000,VRBO,2016-12-14T17:28:00.000+0000
423184,33,5,Alisa G.,Wonderful,5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-01T18:22:00.000+0000
423184,33,6,Cassie M.,Excellent Choice!,5,2016-07-27T00:00:00.000+0000,VRBO,2016-07-29T18:03:00.000+0000
423184,33,7,Lisa F.,The pictures don't do it justice!,5,2016-04-21T00:00:00.000+0000,VRBO,2016-05-03T21:41:56.980+0000
423184,33,8,Erica T.,Riverside Vacation Rental ,4,2016-04-17T00:00:00.000+0000,VRBO,2016-04-26T04:01:23.963+0000
423184,33,9,Kimberly B.,Excellent accommodations and a great host!,5,2016-03-25T00:00:00.000+0000,VRBO,2016-04-18T20:23:21.090+0000
423184,33,10,Pete M.,Plan to return here every year!,5,2016-03-13T00:00:00.000+0000,VRBO,2016-03-21T16:28:00.000+0000
423184,33,11,Anonymous,Great place for our family. vacation!,5,2015-06-16T00:00:00.000+0000,VRBO,2015-06-23T05:08:00.000+0000
423184,33,12,la petite,Wedding / Vacation Venue,5,2015-04-07T00:00:00.000+0000,VRBO,2015-04-17T06:42:12.347+0000
423184,33,13,Mark H.,Home owner was great!,5,2015-03-18T00:00:00.000+0000,VRBO,2015-04-06T21:39:56.143+0000
423184,33,14,Diana W.,Great Place. Would stay again.,5,2015-03-01T00:00:00.000+0000,VRBO,2015-03-19T13:27:20.317+0000
423184,33,15,Hosting from Canada,Home away from home,5,2015-03-06T00:00:00.000+0000,VRBO,2015-03-14T19:50:50.343+0000
423184,33,16,Heather G.,Wonderful Vacation Home,5,2015-02-21T00:00:00.000+0000,VRBO,2015-02-25T17:54:00.000+0000
423184,33,17,Stacy W.,best Valentine's ever,5,2015-02-14T00:00:00.000+0000,VRBO,2015-02-16T00:23:00.000+0000
423184,33,18,Fabio Aleixo Dos S.,exceeded by far our expectations,5,2014-10-20T00:00:00.000+0000,VRBO,2014-11-08T19:00:26.790+0000
423184,33,19,Ives V.,Our dream holiday,5,2014-07-26T00:00:00.000+0000,VRBO,2014-10-13T18:20:17.920+0000
423184,33,20,Desertluv,Great property and hospitality ,5,2014-06-01T00:00:00.000+0000,VRBO,2014-06-18T18:01:09.460+0000
423184,33,21,Margaret M.,Great Family Fun Home,5,2014-05-14T00:00:00.000+0000,VRBO,2014-05-23T11:11:33.107+0000
423184,33,22,Bonnie M.,Great Owners! Great Home!,5,2014-03-22T00:00:00.000+0000,VRBO,2014-04-07T02:15:55.753+0000
423184,33,23,Larry U.,Wedding,5,2014-02-19T00:00:00.000+0000,VRBO,2014-03-07T16:58:07.280+0000
423184,33,24,Gabriel M.,Excellent home,5,2013-11-06T00:00:00.000+0000,VRBO,2013-11-18T15:50:10.283+0000
