listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
86973,Beautiful North Raleigh Property,35.901286,-78.595795,"North Raleigh, Raleigh, NC, USA",21,4.3,142,150,,,,13.5%,3,6,3,2,house,No,2005,Within an hour,100%,"June 6, 2017",house,,,6,,Rraleigh
732156,Peaceful Home With Saltwater Pool,35.8996724,-78.700448,"Northwest Raleigh, Raleigh, NC, USA",50,4.9,360,250,400,,100,,2,8,3,2,house,Yes,2015,Within a day,80%,"June 6, 2017",house,,1950,8,,Rraleigh
4016483ha,Comfortable Townhouse In Quiet Neighborhood,35.88415,-78.644235,"North Raleigh, Raleigh, NC, USA",10,4.8,133,150,,,60,13.25%,2,6,3,1,townhome,Yes,2015,Within 2 days,100%,"June 2, 2017",townhome,1,1200,6,house,Rraleigh
907792,Two bedroom Corporate Condo with Month to Month Lease,35.81067728,-78.79149243,"Cary, NC, USA",2,2.5,54,60,,,,,21,4,2,1,condo,Yes,2014,Within a few hours,100%,"April 29, 2017",condo,1,1100,,building,Rraleigh
788698,Newly Renovated Retreat,35.8996724,-78.700448,"Northwest Raleigh, Raleigh, NC, USA",34,,129,125,150,,60,,1,3,1,1,apartment,Yes,2015,Within 12 hours,90%,"June 6, 2017",apartment,,900,,house,Rraleigh
859119,"Lovely 3BR Long Lake Getaway! Peaceful, Private and Convenient Home",35.8862359,-78.731304,"Northwest Raleigh, Raleigh, NC, USA",23,,211,220,240,,100,,3,6,3,2,townhome,Yes,2016,Within an hour,100%,"June 7, 2017",townhome,,2500,6,,Rraleigh
594877,"Fully furnished log cabin, family and pet friendly.",35.7609,-78.90277,"Apex, NC, USA",43,,214,250,,,,12.75%,2,8,3,2,cabin,Yes,2014,Within a day,100%,"June 3, 2017",cabin,,2500,8,,Rraleigh
740551,Beautiful like-new home in sought out North Raleigh,35.8278899,-78.691395,"Northwest Raleigh, Raleigh, NC, USA",39,4.9,245,245,270,,80,9.0%,2,10,4,3,house,Yes,2015,Within a day,90%,"June 6, 2017",house,,3000,10,,Rraleigh
620902,3 Bedroom Retreat Close To Downtown!,35.802952,-78.609516,"East Raleigh, Raleigh, NC, USA",27,,186,199,229,,,6.75%,3,6,3,1,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,1200,6,,Rraleigh
812380,Beautiful & Spacious Raleigh Area Home,35.579475,-78.584311,"Garner, NC, USA",16,4.8,242,295,,,125,,3,12,4,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,3200,,,Rraleigh
919664,"The Cary Cottage - Heart Of Downtown Cary - Walk To Restaurants, Shops.",35.78405436,-78.78270001,"Cary, NC, USA",15,,102,109,,,60,13.25%,2,3,1,1,cottage,Yes,2016,Within an hour,100%,"June 6, 2017",cottage,,853,3,,Rraleigh
731611,GREAT HOME! PERFECT LOCATION!     **** 2 NIGHT MINIMUM - FEBRUARY ****,35.7601579,-78.727845,"Southwest Raleigh, Raleigh, NC, USA",19,4.5,210,210,220,,75,,3,11,5,2,house,Yes,2015,Within 12 hours,100%,"June 5, 2017",house,,2050,,,Rraleigh
4160087ha,Historic Home Near Downtown Raleigh Great For Groups And Business Travel,35.780096,-78.607125,"East Raleigh, Raleigh, NC, USA",14,4.6,128,149,,,125,,2,8,3,2,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,3000,8,,Rraleigh
871594,Beautiful 3BR Deck House on 4 Acres! - N. Raleigh / Airport Area,35.921615,-78.714731,"Raleigh, NC, USA",3,4.7,204,,,,,13.25%,7,7,3,2,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,2200,7,,Rraleigh
3007865ha,$ SPECIAL! Big Beautiful Executive Southern Home in Great Location !,35.826117,-78.547256,"Northeast Raleigh, Raleigh, NC, USA",40,4.8,300,350,,,,5.0%,3,16,4,2,house,Yes,2012,Within 12 hours,100%,"June 7, 2017",house,,5000,16,,Rraleigh
3915121ha,Enchanting Home on Private Lot - No Cleaning Fee,35.784571,-78.742587,"Southwest Raleigh, Raleigh, NC, USA",52,4.9,350,390,,,,,3,16,6,4,house,Yes,2014,Within an hour,100%,"June 5, 2017",house,,3448,16,,Rraleigh
968182,"The Cary House 3BR 2BA - Heart of Downtown Cary - Walk to Restaurants, Shops",35.7839967,-78.7829736,"Cary, NC, USA",13,,121,129,,,95,13.25%,3,6,3,2,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,2000,6,,Rraleigh
983402,Comfort Cove: Our Lovely Private Studio Apartment for Travelling Professionals,35.9784212,-78.4916795,"Wake Forest, NC, USA",3,,75,75,,,,6.75%,,2,1,1,studio,Yes,2016,Within a few hours,100%,"June 6, 2017",studio,1,320,2,house,Rraleigh
3800430ha,Luxury Secluded Family Retreat - No Cleaning Fee,35.690676,-78.895661,"Apex, NC, USA",88,4.8,421,500,,,,,3,13,5,3,house,Yes,2014,Within an hour,100%,"June 5, 2017",house,,4100,13,,Rraleigh
963770,Cozy 3 Bedroom 2.5 Bath on Private 1 Acre Wooded Lot,35.887661,-78.725402,"Northwest Raleigh, Raleigh, NC, USA",14,,179,175,185,,115,13.25%,3,6,3,2,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,2200,6,,Rraleigh
820767,"Cozy, Comfortable, Convenient Condo",35.8118274,-78.78624046,"Cary, NC, USA",0,,50,,,,,6.0%,30,2,1,1,condo,No,2016,Within 12 hours,100%,"June 7, 2017",condo,,,2,,Rraleigh
4226994ha,"Bright 2BR Raleigh Condo w/Wifi, Shared Pool & Tennis Court Access - Fantastic Location Close to Shopping, Dining & Entertainment!",35.83707,-78.71639,"Northwest Raleigh, Raleigh, NC, USA",11,4.9,150,,,,,,3,4,2,2,condo,Yes,1999,Within an hour,,"June 7, 2017",condo,,980,4,,Rraleigh
4206336ha,City living in a Rural community close to NCSU/Downtown Raleigh and Cary,35.712108,-78.722423,"Raleigh, NC, USA",6,,175,165,200,,100,12.0%,3,6,3,2,house,Yes,2016,Within a few hours,100%,"June 2, 2017",house,,2500,6,,Rraleigh
1000570,"Spacious 3Bdrm Condo, Great for Getaways, Close to Downtown Raleigh!",35.817418,-78.612803,"North Hills, Raleigh, NC, USA",8,,110,110,,,100,12.75%,3,6,3,2,condo,Yes,2017,Within an hour,100%,"June 4, 2017",condo,1,1350,,building,Rraleigh
855992,Executive Home In Historic Neighborhood,35.771854,-78.651639,"Southwest Raleigh, Raleigh, NC, USA",6,,456,475,495,,,13.25%,3,10,5,5,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,3200,10,,Rraleigh
1040025,2 Bedroom Corporate Condo Convenient to RTP and Raleigh,35.8129046,-78.7816219,"Cary, NC, USA",0,,57,60,,,,,21,4,2,1,condo,Yes,2014,Within an hour,100%,"June 1, 2017",condo,1,1000,,building,Rraleigh
761312,Whispering Hope Stables Apartment,35.7065943,-78.7255913,"Raleigh, NC, USA",15,4.8,135,135,,,40,13.0%,,4,2,1,apartment,Yes,2015,Within 12 hours,90%,"June 5, 2017",apartment,2,1700,4,,Rraleigh
887595,Modern Suite near Downtown Raleigh,35.84009356,-78.58702964,"Northeast Raleigh, Raleigh, NC, USA",1,,127,125,150,,,6.5%,2,16,3,1,house,Yes,2016,Within an hour,100%,"June 4, 2017",house,,1330,16,,Rraleigh
4141713ha,**Walk  To Everything!**,35.7891817,-78.6459745,"Southwest Raleigh, Raleigh, NC, USA",12,,188,195,215,,95,12.75%,2,6,2,2,townhome,Yes,2016,Within an hour,100%,"May 30, 2017",townhome,,1600,,,Rraleigh
878754,NEW LISTING - Cozy 3BR/2BA home in North Hills!,35.863074,-78.641445,"North Raleigh, Raleigh, NC, USA",0,,164,165,175,,,13.25%,3,6,3,2,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,1200,6,,Rraleigh
997581,We Love This Place You Will Too!,,,"Downtown, Raleigh, NC, USA",4,,222,199,,,65,12.75%,2,4,2,1,house,Yes,2017,Within an hour,100%,"June 4, 2017",house,,,4,,Rraleigh
975553,Pirate's Cove  Private Retreat  *Handicap Access and Bath*,35.921711,-78.48705,"Tuckahoe, Rolesville, NC, USA",9,,60,60,,,50,,,4,2,1,apartment,Yes,2017,Within a day,100%,"May 10, 2017",apartment,1,800,,house,Rraleigh
4312048ha,"All the comforts of home - 6 large bedrooms, new kitchen, big screen TV,  porch.",35.893209,-78.696624,"Northwest Raleigh, Raleigh, NC, USA",7,4.9,343,392,,,100,,2,12,6,3,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,3560,12,,Rraleigh
4354225ha,PERFECT CENTRAL LOCATION! Newly Renovated Home,,,"Cameron Village, Raleigh, NC, USA",2,,155,155,,,50,6.0%,3,4,2,2,house,Yes,2015,Within 12 hours,100%,"June 6, 2017",house,,1700,4,,Rraleigh
967317,Home away from home 3bd/2ba in North Raleigh,,,"North Raleigh, Raleigh, NC, USA",2,,129,129,,,95,,,8,3,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,1800,8,,Rraleigh
977612,"Brand New Luxury Townhome in Heart RTP, Duke, Carolina!",35.90963369,-78.90494191,"Durham, NC, USA",4,,150,150,169,,125,,3,6,3,3,townhome,No,2016,Within 12 hours,100%,"June 3, 2017",townhome,,,,,Rraleigh
4153419ha,3 Bedroom/3.5 Bath/3 Level Townhome,35.895126,-78.510283,"Northeast Raleigh, Raleigh, NC, USA",6,,225,225,,,,12.75%,,6,3,3,townhome,No,2016,Within 12 hours,100%,"June 5, 2017",townhome,,,6,,Rraleigh
4351344ha,Retreat on the Greenway,,,"Wake Forest, NC, USA",1,,875,875,,,170,,2,12,6,4,house,Yes,2016,Within a few hours,100%,"June 6, 2017",house,,5000,12,,Rraleigh
4475544ha,Luxury Country Estate Home w/Private Pond,35.76795,-78.908317,"Apex, NC, USA",0,,455,600,,,250,6.0%,2,10,5,2,house,Yes,2017,Within an hour,100%,"June 5, 2017",house,,3700,,,Rraleigh
1032623,Nicely Kept Townhouse In Quiet Neighborhood; 24 Hour Grocery 2 Blocks Away!,,,"North Raleigh, Raleigh, NC, USA",3,,180,180,,,125,,3,6,2,2,townhome,Yes,2017,Within a few hours,100%,"June 5, 2017",townhome,1,1500,6,building,Rraleigh
4458624ha,"Walk a few blocks to Pullen Park, NC State, Charlie Goodnights, Trophy Brewing",35.7818803,-78.6579214,"Southwest Raleigh, Raleigh, NC, USA",2,,375,375,,,120,12.75%,3,10,3,3,house,Yes,2017,Within a day,100%,"May 30, 2017",house,,2200,10,,Rraleigh
4469067ha,Contemporary Open Concept Home Close to Downtown,35.839791,-78.582081,"Northeast Raleigh, Raleigh, NC, USA",1,,131,125,150,,35,6.0%,2,11,2,2,townhome,Yes,2017,Within an hour,100%,"June 4, 2017",townhome,1,1152,,,Rraleigh
1040254,Very upscale modern luxury 1 bedroom apartment.,35.8318513,-78.6802076,"Northwest Raleigh, Raleigh, NC, USA",2,4.5,,85,95,,45,7.75%,2,3,1,1,apartment,Yes,2017,Within a day,100%,"May 29, 2017",apartment,6,,3,building,Rraleigh
4268558ha,Heart Of Downtown Raleigh - Chutes & Ladders - 2Bedroom,35.7778362,-78.6310014,"Downtown, Raleigh, NC, USA",0,,108,125,,,,12.0%,,4,2,15,townhome,No,2016,Within a few days,30%,"June 4, 2017",townhome,,890,4,,Rraleigh
1084184,Newly Renovated  close to Downtown,,,"Southwest Raleigh, Raleigh, NC, USA",0,,179,179,,,100,6.75%,,8,3,2,house,No,2015,Within 12 hours,100%,"June 6, 2017",house,,,,,Rraleigh
1036632,Spacious townhome with great location by NC State,,,"Southwest Raleigh, Raleigh, NC, USA",2,,142,125,,,60,13.25%,1,6,2,2,townhome,Yes,2017,Within a day,100%,"May 29, 2017",townhome,,1100,,,Rraleigh
4464621ha,Comfy & Spacious House in the RTP,35.820754,-78.838831,"Morrisville, NC, USA",0,,175,175,,,100,4.75%,1,7,4,2,house,Yes,2017,Within an hour,100%,"June 6, 2017",house,,2800,,,Rraleigh
971060,Downtown Retreat-3BR close to everything-Walkable-Newly Renovated-New Everything,35.7957139,-78.6334509,"Downtown, Raleigh, NC, USA",2,,179,209,229,,65,12.75%,3,6,3,1,house,Yes,2016,Within an hour,100%,"May 26, 2017",house,,,6,,Rraleigh
4267565ha,Guest House on Property with Pre-Civil War Farmhouse,35.96739207,-78.56764769,"North Raleigh, Raleigh, NC, USA",0,,175,155,195,,,10.75%,2,5,1,1,apartment,Yes,2016,Within 2 days,80%,"June 5, 2017",apartment,2,1000,5,building,Rraleigh
4509745ha,Charming House Near Downtown,,,"Downtown, Raleigh, NC, USA",1,,104,104,129,,25,4.25%,,4,2,1,townhome,No,2017,Within an hour,100%,"May 31, 2017",townhome,,,,,Rraleigh
1047262,Downtown Oasis - Private Porch - Fence Back Yard - Grill - Newly Renovated,,,"Downtown, Raleigh, NC, USA",2,,159,159,,,75,12.75%,3,4,1,1,house,Yes,2016,,,"May 26, 2017",house,,,,,Rraleigh
4508298ha,Cute Craftsman Cottage convenient to downtown Raleigh,35.7816933,-78.60607,"East Raleigh, Raleigh, NC, USA",0,,250,300,,,75,7.25%,2,8,4,3,house,Yes,2014,,,"June 5, 2017",house,,2050,,,Rraleigh
1060579,Townhouse surrounded by gardens in the middle of the city.,35.7884044,-78.6526034,"Southwest Raleigh, Raleigh, NC, USA",0,,107,100,,,50,6.75%,1,4,3,1,townhome,Yes,2017,Within 12 hours,100%,"June 6, 2017",townhome,2,900,,house,Rraleigh
4547257ha,Perfect Downtown Studio Retreat,35.796087,-78.6357671,"Downtown, Raleigh, NC, USA",0,,75,69,89,,,13.25%,1,4,1,1,guest house,No,2017,Within an hour,100%,"June 6, 2017",guest house,,,,,Rraleigh
4548180ha,Stylish City Townhome Skyline Views,,,"Southwest Raleigh, Raleigh, NC, USA",0,,191,185,,,25,1.0%,2,6,2,2,townhome,No,2017,Within an hour,100%,"June 6, 2017",townhome,,,,,Rraleigh
4561551ha,"Neighborhood Living in Urban Setting!  Sleeps 5,  2 blocks from urban amenities!",,,"Cameron Village, Raleigh, NC, USA",0,,145,145,,,50,6.0%,2,5,3,1,house,Yes,2017,,,"June 5, 2017",house,,1500,,,Rraleigh
1006212,Big Beautiful Home! Close to everything!!,,,"Southwest Raleigh, Raleigh, NC, USA",0,,300,300,,,100,,2,10,5,2,house,Yes,2015,Within 12 hours,100%,"June 6, 2017",house,,3400,10,,Rraleigh
1039734,Gorgeous Spa Retreat in North Hills,,,"North Hills, Raleigh, NC, USA",0,,139,139,,,36,6.0%,,5,1,1,apartment,No,2017,,,"March 28, 2017",apartment,,,,,Rraleigh
4500978ha,Relax and enjoy our 70+ acre farm,35.69325608,-78.46849866,"Clayton, NC, USA",0,,83,100,120,,,9.75%,2,4,2,1,apartment,Yes,2017,,,"June 3, 2017",apartment,2,1300,,building,Rraleigh
1068257,Luxurious 2 BR/2 BA Condo in a high end golf community,35.901997,-78.791738,"Umstead, Raleigh, NC, USA",0,,1,,,,,,0,5,2,2,condo,Yes,2005,Within an hour,,"June 7, 2017",condo,,1450,5,,Rraleigh
4585834ha,Entire tidy and cozy 2/1 home in prime location,,,"Fuquay Varina, NC, USA",0,,80,80,,,,6.0%,2,3,2,1,house,No,2017,,,"June 7, 2017",house,,,,,Rraleigh
4534762ha,Quiet Retreat on Plummer Place,,,"Durham, NC, USA",0,,24,24,,,15,,,1,1,1,hostel,No,2017,,,"May 26, 2017",hostel,,,,,Rraleigh
4061298ha,Luxury Victorian Home,35.991026,-78.573825,"Wake Forest, NC, USA",0,,750,1,1,,,6.0%,2,10,5,4,house,Yes,2015,Within a few days,100%,"June 5, 2017",house,,5300,10,,Rraleigh
454264,Executive Estate located in the heart of the Triangle,35.78157,-78.9083409,"Cary, NC, USA",2,,833,1,,,,13.0%,3,15,4,4,chateau / country house,Yes,2013,Within a few days,40%,"November 12, 2015",chateau / country house,,7500,15,,Rraleigh
4534751ha,Lovely Home in RTP Convenient to RDU and Interstates,,,"Durham, NC, USA",0,,115,115,,,20,,,4,3,2,house,Yes,2017,Within an hour,100%,"June 6, 2017",house,,2000,,,Rraleigh
