listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
400147,34,1,Jason M.,Awesome place! Definitely worth staying at.,5,2016-08-01T00:00:00.000+0000,VRBO,2016-09-05T00:19:00.000+0000
400147,34,2,Eleonora S.,"Overpriced, no privacy, basement.",1,2016-07-01T00:00:00.000+0000,VRBO,2016-07-31T09:30:00.000+0000
400147,34,3,India  H.,"Relaxing, Quiet, and Convenient",5,2016-04-07T00:00:00.000+0000,VRBO,2016-05-10T22:05:00.000+0000
400147,34,4,Megan P.,Relaxing Spot in the Sunset,5,2016-01-03T00:00:00.000+0000,VRBO,2016-03-31T15:26:00.000+0000
400147,34,5,okan o.,Nice location,4,2015-10-26T00:00:00.000+0000,VRBO,2015-12-09T09:16:00.000+0000
400147,34,6,JONATHAN L.,Great place ! ,5,2015-01-18T00:00:00.000+0000,VRBO,2015-03-05T14:56:29.043+0000
400147,34,7,amy2015,Excellent Place!,5,2014-12-06T00:00:00.000+0000,VRBO,2015-01-17T01:29:21.853+0000
400147,34,8,Christ,Good studio well situated,4,2014-10-09T00:00:00.000+0000,VRBO,2014-10-24T03:11:40.143+0000
400147,34,9,Kim, Great location,5,2014-09-27T00:00:00.000+0000,VRBO,2014-10-13T17:22:04.317+0000
400147,34,10,Alex,Great place!,5,2014-08-25T00:00:00.000+0000,VRBO,2014-09-01T20:14:41.987+0000
400147,34,11,Anonymous,Great place to stay,5,2014-08-19T00:00:00.000+0000,VRBO,2014-08-31T12:44:24.957+0000
400147,34,12,Eve and David,Perfect in Every Way!,5,2014-08-14T00:00:00.000+0000,VRBO,2014-08-24T19:08:15.337+0000
400147,34,13,Brandon H.,"Clean, quiet, excellent location.",5,2014-06-14T00:00:00.000+0000,VRBO,2014-06-22T18:47:43.227+0000
400147,34,14,D&K,Servicable.,3,2014-05-21T00:00:00.000+0000,VRBO,2014-05-31T18:16:01.973+0000
400147,34,15,Mallory S.,Loved it!,5,2014-05-14T00:00:00.000+0000,VRBO,2014-05-27T02:13:53.667+0000
400147,34,16,Joan A.,"Clean, functional, bright",5,2014-02-21T00:00:00.000+0000,VRBO,2014-02-28T13:09:54.427+0000
400147,34,17,Midwest travelers,Comfortable and convenient studio for SF visit,4,2014-02-05T00:00:00.000+0000,VRBO,2014-02-15T21:57:58.713+0000
400147,34,18,Beth C.,Outside Lands Fans,5,2013-08-08T00:00:00.000+0000,VRBO,2013-08-16T12:59:39.420+0000
400147,34,19,M & K,Great Rental in Inner Sunset,4,2013-05-26T00:00:00.000+0000,VRBO,2013-06-22T03:50:37.697+0000
400147,34,20,AT3,AT#,4,2013-05-26T00:00:00.000+0000,VRBO,2013-06-10T01:35:06.290+0000
400147,34,21,Anonymous,Visiting friends,5,2013-04-11T00:00:00.000+0000,VRBO,2013-05-28T15:23:30.173+0000
400147,34,22,Cheryl,Cheryl H,5,2013-04-21T00:00:00.000+0000,VRBO,2013-05-05T18:19:43.487+0000
400147,34,23,Pete,"Comfortable, well-located apartment",5,2013-01-16T00:00:00.000+0000,VRBO,2013-02-18T20:56:42.233+0000
400147,34,24,Alec S.,9th Avenue apartment ,4,2013-01-09T00:00:00.000+0000,VRBO,2013-01-30T19:43:45.570+0000
400147,34,25,mnterayjack,Outstanding,5,2012-12-13T00:00:00.000+0000,VRBO,2012-12-20T16:48:20.473+0000
400147,34,26,CarolMc4,studio in inner sunset San Francisco,5,2012-12-11T00:00:00.000+0000,VRBO,2012-12-11T21:48:44.210+0000
400147,34,27,savta,suggestion,5,2012-10-22T00:00:00.000+0000,VRBO,2012-11-05T16:19:46.380+0000
400147,34,28,Sammy,Great Place / Inner Sunset,5,2012-10-22T00:00:00.000+0000,VRBO,2012-11-01T16:31:41.143+0000
400147,34,29,Savta,"Great location, clean and peaceful",5,2012-10-22T00:00:00.000+0000,VRBO,2012-11-01T00:18:50.400+0000
400147,34,30,David,Great place to stay in a wonderful neighborhood.,5,2012-07-21T00:00:00.000+0000,VRBO,2012-08-09T13:18:13.060+0000
400147,34,31,Inner Sunset,"Cute, affordable, and great location ",5,2012-06-26T00:00:00.000+0000,VRBO,2012-07-03T22:07:20.513+0000
400147,34,32,Anonymous,"Nice Location, Average Unit",3,2012-05-17T00:00:00.000+0000,VRBO,2012-05-23T23:56:51.087+0000
400147,34,33,Tracy,Renter,5,2012-05-03T00:00:00.000+0000,VRBO,2012-05-13T17:07:21.860+0000
400147,34,34,Livia M.,Very good!,5,2016-09-08T00:00:00.000+0000,VRBO,2016-11-08T08:30:00.000+0000
