listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
912244,Silicon Valley Central: Westgate Area (Non-Smokers ONLY),37.29331235,-121.98565968,"West San Jose, San Jose, CA, USA",2,,137,135,,,,10.0%,3,3,1,1,apartment,Yes,2015,Within an hour,100%,"June 6, 2017",apartment,1,700,3,building,San Jose
869577,West San Jose Luxury Apartment (Non-Smokers ONLY),37.29404799,-121.98680337,"West San Jose, San Jose, CA, USA",6,,136,135,160,,150,10.0%,3,3,1,1,apartment,Yes,2015,Within a few hours,100%,"June 6, 2017",apartment,1,608,3,building,San Jose
679108,Remodeled 1bd/1ba Westgate Gem (Non-Smokers ONLY),37.29330559,-121.98581783,"West San Jose, San Jose, CA, USA",21,4.9,141,140,170,,,10.0%,3,3,1,1,apartment,Yes,2015,Within 12 hours,100%,"June 6, 2017",apartment,1,608,3,building,San Jose
709190,Just Remodeled West San Jose Gem (Non-Smokers Only),37.29334649,-121.98561677,"West San Jose, San Jose, CA, USA",22,4.8,179,,190,,,10.0%,4,5,2,1,apartment,Yes,2015,Within an hour,100%,"June 6, 2017",apartment,1,831,5,building,San Jose
630245,Great Willow Glen Location  <than 1 mile from the Village of Willow Glen,37.296203,-121.888527,"Central San Jose, San Jose, CA, USA",30,4.9,225,225,,,150,10.0%,4,4,2,3,house,Yes,2014,Within a day,80%,"June 6, 2017",house,,1800,4,,San Jose
492941,* Best Location in Willow Glen * 5 Beds * 2 min Walk to Restaurants/Shops,37.305266,-121.897508,"Central San Jose, San Jose, CA, USA",31,4.7,395,395,,,150,10.0%,2,10,4,2,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1820,10,,San Jose
960871,Beautiful Luxury Silicon Valley Home!,37.2428844,-121.7967308,"Edenvale, San Jose, CA, USA",10,4.8,250,250,,,100,10.0%,,6,3,2,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,1635,6,,San Jose
4541549ha,Gorgeous Modern 1 Bedroom Apt in San Jose,,,"Central San Jose, San Jose, CA, USA",0,,130,,,,,,30,4,1,1,condo,Yes,2014,Within an hour,,"June 6, 2017",condo,,,4,,San Jose
804055,Strategically Located In The Beautiful Neighborhood Of Willow Glen In San Jose,37.305445,-121.891836,"Central San Jose, San Jose, CA, USA",8,4.5,195,195,,,125,,3,6,2,2,townhome,Yes,2016,Within 12 hours,80%,"June 1, 2017",townhome,1,1800,,house,San Jose
935103ha,Deluxe Condo Conveniently Located in San Jose's Upscale Santana Row Neighborhood,37.3222528,-121.9472191,"Central San Jose, San Jose, CA, USA",26,,179,189,,,,,2,4,Studio,1,condo,Yes,2011,Within 12 hours,100%,"May 26, 2017",condo,2,736,4,building,San Jose
652354,Cozy 2br/1ba home away from home,37.320444,-121.926142,"Burbank, San Jose, CA, USA",28,4.9,209,169,,,,8.0%,3,4,2,1,house,Yes,2014,Within a few hours,100%,"June 2, 2017",house,,920,4,,San Jose
