listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4174824ha,Great Entertainment Vacation Home; Great Summer 2017 Discount - 15-25% OFF,,,"Garden Grove, CA, USA",15,4.1,257,270,290,,,15.0%,2,18,5,3,house,Yes,2016,Within 12 hours,100%,"June 4, 2017",house,,2300,18,,Santa Ana
3997911ha,Beautiful & Comfortable  Home. Accommodate 6 People.  Best Offer Now !,33.757246,-117.840339,"Santa Ana, CA, USA",38,4.9,99,119,,,90,11.0%,2,6,1,1,condo,Yes,2015,Within an hour,100%,"June 7, 2017",condo,1,650,6,building,Santa Ana
880372,Charming Craftsman in French Historic District,33.7521414,-117.86523689,"Lacy, Santa Ana, CA, USA",23,4.6,121,125,,,50,,2,6,1,1,house,No,2014,Within a day,90%,"June 6, 2017",house,,,6,,Santa Ana
796206,Cozy Living * High Tech * Comfortable Sleeping Time * Cul-De-Sac,33.765526,-117.93117,"Garden Grove, CA, USA",11,4.3,167,,,,,,31,15,4,3,house,Yes,2015,Within 12 hours,80%,"May 4, 2017",house,,1400,,,Santa Ana
138800ha,Disney area- private fenced pool & spa- All the amenities of HOME,,,"Garden Grove, CA, USA",52,4.8,300,225,,,,,4,12,3,2,house,Yes,2006,Within an hour,100%,"June 6, 2017",house,,1600,,,Santa Ana
3958223ha,"West Coast Gateway, Special Offer! 10-15 minutes to Disney & Beach!",33.756735,-117.842701,"Santa Ana, CA, USA",48,,80,,,,120,11.0%,3,6,2,1,condo,Yes,2015,Within an hour,100%,"June 7, 2017",condo,2,700,,villa,Santa Ana
246509,'Outstanding' Family Pool Home 8 Minutes from Disneyland,33.77196121,-117.939888,"Garden Grove, CA, USA",35,4.5,252,225,225,,,,2,11,3,2,house,No,2007,Within a day,100%,"June 6, 2017",house,,1550,11,,Santa Ana
908660,"NEAR  DISNEYLAND, MALLS, BEACHES, FREEWAYS, KNOTTS, AIRPORT  & MORE!",,,"South Coast Metro, CA, USA",3,,250,250,275,,175,11.0%,2,10,3,2,house,Yes,2016,Within a few days,70%,"May 31, 2017",house,,1450,10,,Santa Ana
3861682ha,"Elegant home, 3 mi. fr. Disneyland- 4 mi. fr. Little Saigon-100% remodeled",33.76774116,-117.92407149,"Garden Grove, CA, USA",34,4.8,222,205,225,,,,3,9,3,2,house,Yes,2014,Within a few hours,100%,"June 7, 2017",house,,1250,,,Santa Ana
380695,Luxurious Family Home Located in the Heart of Orange County.,33.73905182,-117.93740845,"Riverview West, Santa Ana, CA, USA",13,4.9,379,350,,,175,5.0%,3,20,5,4,house,Yes,2011,Within a few days,80%,"June 6, 2017",house,,3200,,,Santa Ana
