listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
659476,"Plush, Furnished 2 BR Silicon Valley Corporate Suite",37.36026516,-121.9867304,"Santa Clara, CA, USA",6,4.5,200,215,,,,,5,5,2,1,apartment,Yes,2009,Within an hour,100%,"May 9, 2017",apartment,3,1050,5,building,Santa Clara
885133,Beautiful Santa Clara Cottage,37.3449273,-121.9453909,"Santa Clara, CA, USA",7,,165,165,,,50,11.5%,2,4,1,1,cottage,Yes,2016,Within a few hours,100%,"June 6, 2017",cottage,,480,4,,Santa Clara
935103ha,Deluxe Condo Conveniently Located in San Jose's Upscale Santana Row Neighborhood,37.3222528,-121.9472191,"Central San Jose, San Jose, CA, USA",26,,179,189,,,,,2,4,Studio,1,condo,Yes,2011,Within 12 hours,100%,"May 26, 2017",condo,2,736,4,building,Santa Clara
4011807ha,LD: Executive Luxury in Santa Clara,37.40077,-121.948002,"North San Jose, San Jose, CA, USA",4,3.8,406,339,,,175,9.5%,3,7,3,3,townhome,Yes,2013,Within an hour,100%,"June 6, 2017",townhome,1,1700,7,house,Santa Clara
894671,Contemporary+Clean 2Br Flat For Biz Or Leisure W/ Pool/Spa/Gym/WiFi & More,37.40494774,-121.93199828,"North San Jose, San Jose, CA, USA",2,,242,269,,,69,14.0%,2,6,2,2,apartment,Yes,2013,Within a few days,30%,"March 21, 2017",apartment,,1100,,building,Santa Clara
895147,Sunnyvale Luxury at Avalon 1042,37.38871036,-121.99423898,"Sunnyvale, CA, USA",0,,190,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,1,1050,6,,Santa Clara
4268871ha,Lovely Studio Apartment,37.3696653,-121.9807777,"Santa Clara, CA, USA",1,,123,100,,,,8.75%,,2,1,1,studio,Yes,2016,Within a few hours,90%,"June 5, 2017",studio,1,300,2,house,Santa Clara
735313,Clean & Bright Biz-Travel Studio Urban Flat @SJ,37.40495,-121.9319956,"North San Jose, San Jose, CA, USA",2,3.5,199,169,189,,79,14.0%,1,2,Studio,1,apartment,Yes,2013,Within a few days,20%,"May 7, 2017",apartment,,500,,building,Santa Clara
735314,Modern & Clean Studio Urban Flat @Aire @SanJose,37.40495,-121.9319956,"North San Jose, San Jose, CA, USA",2,4.5,204,169,,,49,14.0%,2,2,Studio,1,apartment,Yes,2013,Within a few days,60%,"April 8, 2017",apartment,,500,,building,Santa Clara
909817,Newly built modern Santa Clara living in the middle of it all!,37.35293426,-121.9856697,"Santa Clara, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,2,885,6,,Santa Clara
894669,Contemporary + Clean 2Br Flat For Biz Or Leisure W/ Pool/Spa/Gym/Wifi & More,37.40495,-121.9319956,"North San Jose, San Jose, CA, USA",1,,239,219,249,,69,14.0%,2,6,2,2,apartment,Yes,2013,Within a few days,60%,"June 1, 2017",apartment,,1100,,building,Santa Clara
1055395,Fully Furnished Condo,37.3620091,-121.9637889,"North San Jose, San Jose, CA, USA",0,,133,133,,,75,,30,4,2,2,condo,No,2017,,,"June 1, 2017",condo,,,,,Santa Clara
580144,Upscale 3BR Rivermark Home near 49ers Stadium&Convention Center,37.398566,-121.95396,"North San Jose, San Jose, CA, USA",28,4.9,388,388,,,200,10.0%,1,6,3,2,townhome,Yes,2014,Within an hour,100%,"June 4, 2017",townhome,,1716,6,,Santa Clara
894657,"Modern + Clean 2BR/2BA Urban Flat w/ Pool, Hot Tub, AC, Parking & More!",37.40495226,-121.93199761,"North San Jose, San Jose, CA, USA",1,,239,219,239,,99,14.0%,1,6,2,2,apartment,Yes,2013,Within a few days,40%,"June 5, 2017",apartment,,700,6,building,Santa Clara
909835,Newly updated Santa Clara luxury apartment home!,37.39895987,-121.94349623,"North San Jose, San Jose, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,3,950,6,,Santa Clara
894675,New & Spacious 2BR/2BA Urban Flat In SV @SanJose,37.40495452,-121.93199493,"North San Jose, San Jose, CA, USA",4,,239,249,259,,,,2,6,2,2,apartment,Yes,2013,Within a few days,20%,"May 29, 2017",apartment,,1100,,building,Santa Clara
894676,Business Or Leisure 2BR/2BA Urban Flat @SanJose,37.40495151,-121.93198957,"North San Jose, San Jose, CA, USA",1,,245,249,259,,,,2,6,2,2,apartment,Yes,2013,Within a few days,50%,"May 26, 2017",apartment,,1100,,building,Santa Clara
3698315ha,Luxury Condo in San Jose's Upscale Santana Row,37.3219338,-121.9482036,"Central San Jose, San Jose, CA, USA",8,4.8,185,,,,100,,2,4,Studio,1,condo,Yes,2011,Within a few hours,100%,"May 30, 2017",condo,2,,4,building,Santa Clara
867951,"Chic Silicon Valley with pool, fitness and tennis courts",37.4154254,-121.9625374,"North San Jose, San Jose, CA, USA",0,,230,,,,,,30,4,2,2,apartment,Yes,2014,Within 12 hours,,"June 2, 2017",apartment,3,1008,4,,Santa Clara
894668,Stylish 1BR in SV @ Aire - Biz x Leisure Friendly,37.40495,-121.9319956,"North San Jose, San Jose, CA, USA",3,3.7,220,149,159,,49,14.0%,2,4,1,1,apartment,Yes,2013,Within a few days,40%,"May 1, 2017",apartment,,800,,building,Santa Clara
920190,Beautiful 1BR/1BA Private Urban Flat in North San Jose!,37.4032771,-121.9411267,"North San Jose, San Jose, CA, USA",0,,202,199,219,,75,14.0%,2,4,1,1,apartment,No,2013,Within a few days,20%,"May 24, 2017",apartment,,,,,Santa Clara
722424,Santana Row Executive Luxury Condo - Silicon Valley - Levi's Stadium,37.32205805,-121.94769614,"Central San Jose, San Jose, CA, USA",29,,186,189,,,99,10.0%,2,4,Studio,1,condo,Yes,2015,Within an hour,100%,"June 4, 2017",condo,2,740,,building,Santa Clara
3947170ha,"TP: 3/2, Close to SAP Ctr, Levi's (see pics for accurate map location)",37.354336,-121.966993,"North San Jose, San Jose, CA, USA",0,,361,299,,,,9.5%,3,8,3,2,house,Yes,2013,Within a few hours,90%,"June 6, 2017",house,,1140,,,Santa Clara
894660,Awesome Tech-Friendly 1BR/1BA in Heart of @SanJose,37.40508636,-121.93173811,"North San Jose, San Jose, CA, USA",3,4.7,223,199,209,,49,14.0%,2,4,1,1,apartment,Yes,2013,Within a few days,40%,"May 10, 2017",apartment,,800,,building,Santa Clara
3744930ha,Contemporary Santana Row Condo (Facing the Row),,,"Central San Jose, San Jose, CA, USA",15,4.9,150,189,,,,,5,4,Studio,1,condo,Yes,2014,Within an hour,100%,"May 10, 2017",condo,2,738,4,,Santa Clara
1001056,Oversized Santa Clara apartment home in serene Summerwoods.,37.335895,-121.962869,"Santa Clara, CA, USA",0,,,,,,,,4,2,2,1,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,1050,2,,Santa Clara
4424386ha,QL: Luxurious 3brd walk to new Apple,,,"Sunnyvale, CA, USA",0,,375,319,,,175,,3,7,3,2,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,1232,7,,Santa Clara
799207,"Newly Built 2000Sq Ft. Luxury Home Near SJ Airport, SCU, Shopping, Tech Co.",37.336526,-121.942253,"Central San Jose, San Jose, CA, USA",12,4.8,320,286,,,,10.0%,3,6,3,2,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,2000,6,,Santa Clara
449386,Cozy 3BR/2BA House with Outdoor Living Space Ideally Located in Silicon Valley,37.344087,-121.991227,"Santa Clara, CA, USA",48,4.8,300,300,,,,9.5%,3,7,3,2,house,Yes,2007,Within an hour,100%,"June 5, 2017",house,,1200,7,,Santa Clara
894666,Clean & Modern 1BR/1BA In Luxury San Jose Building,37.40494699,-121.93199493,"North San Jose, San Jose, CA, USA",2,,224,199,219,,75,14.0%,2,4,1,1,apartment,Yes,2013,Within a few days,60%,"May 9, 2017",apartment,,,,building,Santa Clara
851798,Santana Row Luxury Executive Loft,37.3222528,-121.9472191,"Central San Jose, San Jose, CA, USA",6,4.8,240,240,,,130,14.0%,2,5,2,1,apartment,Yes,2016,Within a few hours,100%,"June 5, 2017",apartment,3,1300,5,building,Santa Clara
620962,3 Bdrm + 2.5 Bath Luxury Home 1 mile to Super Bowl 50 Levi's Stadium,37.4009929,-121.9523408,"North San Jose, San Jose, CA, USA",44,,413,288,,,200,10.0%,1,6,3,2,house,Yes,2014,Within a few days,80%,"May 4, 2017",house,,1716,6,,Santa Clara
