listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
659476,6,1,Todd M.,Comfortable and spacious home away from home.,5,2017-04-03T00:00:00.000+0000,VRBO,2017-05-08T01:58:00.000+0000
659476,6,2,Melissa n.,Lovely stay,4,2016-12-26T00:00:00.000+0000,VRBO,2017-01-02T07:20:00.000+0000
659476,6,3,Hagar O.,"Great apartment, great location",5,2015-12-27T00:00:00.000+0000,VRBO,2016-02-28T04:57:02.083+0000
659476,6,4,Anonymous,Our stay was amazing!,5,2015-05-15T00:00:00.000+0000,VRBO,2015-08-20T13:28:17.900+0000
659476,6,5,Kathlene C.,Visit to family in the Santa Clara area,4,2015-02-13T00:00:00.000+0000,VRBO,2015-02-23T00:44:21.553+0000
659476,6,6,Catherine,great location,4,2015-02-19T00:00:00.000+0000,VRBO,2015-02-22T02:36:00.000+0000
885133,7,1,Kristen B.,"Beautiful, clean, convenient, and quiet",5,2017-05-16T00:00:00.000+0000,VRBO,2017-05-19T02:16:00.000+0000
885133,7,2,Kalem B.,"Clean, comfortable and all-accommodating",5,2017-04-25T00:00:00.000+0000,VRBO,2017-04-28T21:04:00.000+0000
885133,7,3,Geneva A.,Beautiful and amazing stay!,5,2017-04-14T00:00:00.000+0000,VRBO,2017-04-17T04:13:00.000+0000
885133,7,4,Susana P.,Beautiful cottage!,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-28T03:13:00.000+0000
885133,7,5,John O.,Great place!!!,5,2017-02-23T00:00:00.000+0000,VRBO,2017-02-28T03:53:00.000+0000
885133,7,6,Mark P.,Wonderful stay,5,2016-07-11T00:00:00.000+0000,VRBO,2016-11-11T20:01:41.260+0000
885133,7,7,Karen D.,"Comfortable, clean cottage",5,2016-09-01T00:00:00.000+0000,VRBO,2016-11-11T03:11:00.000+0000
935103ha,26,1,Peter C.,Fantastic property for business professional temporarily in the SJC area.,5,2017-03-20T00:00:00.000+0000,VRBO,2017-04-03T11:42:00.000+0000
935103ha,26,2,Tammy W.,Nicely appointed unit and great central location.,5,2016-09-24T00:00:00.000+0000,VRBO,2016-10-03T18:28:00.000+0000
935103ha,26,3,Maurice W.,Condo in the heart of vibrant Santana Row,5,2016-07-25T00:00:00.000+0000,VRBO,2016-08-01T18:51:00.000+0000
935103ha,26,4,jessica t.,"Great location, nice large space, quiet",5,2016-06-03T00:00:00.000+0000,VRBO,2016-06-26T11:20:00.000+0000
935103ha,26,5,Joe & Elisa,Great property,5,2016-04-30T00:00:00.000+0000,VRBO,2016-05-09T20:57:00.000+0000
935103ha,26,6,Gwyn R.,This is a wonderful condominium right in the heart of Santana Row.,5,2016-04-08T00:00:00.000+0000,VRBO,2016-04-14T00:19:00.000+0000
