listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
690704,Monterey Bay views from second floor bedrooms. Right on WestCliff,36.9532655,-122.0379813,"Westside, Santa Cruz, CA, USA",3,4.7,262,250,,,100,11.0%,3,5,2,1,cottage,Yes,2015,Within an hour,100%,"June 5, 2017",cottage,,100,,,Santa Cruz
351837ha,Hear the ocean waves from this historic Victorian cottage. Almost beachfront!,36.961343,-121.988219,"Santa Cruz, CA, USA",81,4.5,198,189,,,,11.0%,2,6,2,1,house,Yes,2011,Within 12 hours,100%,"June 6, 2017",house,,580,,,Santa Cruz
282007ha,"Casa La Sirena, Charming Mexican Style Beach Cottage on Opal Cliff",36.964407,-121.961939,"Opal Cliffs, CA, USA",63,4.9,276,265,285,,125,11.0%,2,6,3,2,house,Yes,2010,Within 12 hours,90%,"June 6, 2017",house,,1500,6,,Santa Cruz
705954,Oceanside Victorian Cottage Located On Scenic West Cliff Drive,36.9591987,-122.02655355,"Westside, Santa Cruz, CA, USA",28,4.9,189,189,219,,95,11.0%,3,3,1,1,cottage,Yes,2013,Within a few hours,100%,"June 6, 2017",cottage,,500,3,,Santa Cruz
349544,"5bdr + Kids Game Room, Ocean View, Walk to Beach- Hot Tub",36.96074677,-121.96652985,"Opal Cliffs, CA, USA",103,4.8,325,,,,125,11.0%,2,10,5,2,house,Yes,2010,Within a few days,60%,"June 4, 2017",house,,1500,10,,Santa Cruz
224234ha,Charming Romantic Yacht Harbor Beach Cottage,36.966547,-121.997649,"Santa Cruz, CA, USA",39,4.5,238,225,,,135,11.0%,2,4,2,1,cottage,Yes,2007,Within a day,100%,"June 6, 2017",cottage,,800,4,,Santa Cruz
692242,Awesome Beach House!,36.965941,-121.997985,"Santa Cruz, CA, USA",63,4.8,242,225,,,,11.0%,2,6,3,1,house,Yes,2015,Within 12 hours,100%,"May 31, 2017",house,,960,6,,Santa Cruz
188377,"Cowell Beach House - 1/2 Block to Beach, Wharf, Boardwalk, Cowells, Lighthouse",36.9605799,-122.0268491,"Westside, Santa Cruz, CA, USA",26,4.6,295,195,295,,,11.0%,2,6,2,1,house,Yes,2000,Within an hour,100%,"June 6, 2017",house,,1284,6,,Santa Cruz
732048,"Cozy And Private Beach Bungalow, Hot Tub, Dog ok, 3 Short Blocks To Beach.",36.968356,-121.99968,"Santa Cruz, CA, USA",36,4.8,253,225,250,,,11.0%,2,4,1,1,house,Yes,2015,Within a few hours,100%,"June 6, 2017",house,,540,4,,Santa Cruz
719686,"New Modern Luxury, Perfect Oceanview Location!",36.95911,-121.982102,"Opal Cliffs, CA, USA",62,,640,650,,,,11.0%,3,10,4,3,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,2400,10,,Santa Cruz
478294,"3bd/2ba Cottage w Hot Tub/Bikes/Amenities. Walk to Beach, Harbor, Restaurants",36.967846,-121.998877,"Santa Cruz, CA, USA",80,4.6,280,285,,,125,11.0%,2,8,3,2,house,Yes,2013,Within 12 hours,100%,"June 6, 2017",house,,1000,8,,Santa Cruz
112417ha,"Great View of the Ocean, Featured on Architect's Tour",36.950477,-122.047892,"Westside, Santa Cruz, CA, USA",51,,517,450,500,,,11.0%,2,9,4,3,house,Yes,2002,Within a day,90%,"June 7, 2017",house,,2500,9,,Santa Cruz
328256,Mediterranean Paradise - Your Perfect Beach Getaway!,36.95674896,-122.02651978,"Westside, Santa Cruz, CA, USA",98,,750,600,,,170,11.0%,2,12,4,3,house,Yes,2010,Within a day,80%,"June 6, 2017",house,,3000,12,,Santa Cruz
365587ha,Mediterranean Paradise - Your Perfect Beach Getaway,,,"Westside, Santa Cruz, CA, USA",98,,714,600,,,,11.0%,2,12,4,3,house,Yes,2010,Within a day,80%,"June 6, 2017",house,,3000,12,,Santa Cruz
220666ha,Vistamar on Seabright beach,36.964282,-122.0076817,"Seabright, Santa Cruz, CA, USA",35,,,800,1,,,11.0%,3,14,5,4,house,Yes,2005,Within a few days,70%,"May 30, 2017",house,,3400,14,,Santa Cruz
