listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
825749,48,1,Judie Z.,Beautiful home!,5,2017-05-31T00:00:00.000+0000,VRBO,2017-06-03T23:04:00.000+0000
825749,48,2,Anonymous,"Beautiful home, terrific owners, great location... the perfect Santa Rosa getaway!",5,2017-05-26T00:00:00.000+0000,VRBO,2017-05-29T21:59:00.000+0000
825749,48,3,Beth C.,"A beautiful, warm home.",5,2017-05-21T00:00:00.000+0000,VRBO,2017-05-27T04:18:00.000+0000
825749,48,4,Teri J.,Very comfortable and quiet!,5,2017-05-10T00:00:00.000+0000,VRBO,2017-05-14T13:31:00.000+0000
825749,48,5,Tara M.,Perfect house for a girls trip!,4,2017-05-06T00:00:00.000+0000,VRBO,2017-05-10T15:04:00.000+0000
825749,48,6,jane f.,Great!!!   Just Great!!! ,5,2017-05-02T00:00:00.000+0000,VRBO,2017-05-09T14:19:00.000+0000
825749,48,7,Gene B.,"Beautiful home, great location!",5,2017-04-26T00:00:00.000+0000,VRBO,2017-04-30T15:14:00.000+0000
825749,48,8,Andrew B.,Beautifully decorated home with many personal touches!,5,2017-04-19T00:00:00.000+0000,VRBO,2017-04-28T00:43:00.000+0000
825749,48,9,Randi W.,Comfortable home beautifully furnished in a quiet neighborhood.,5,2017-04-15T00:00:00.000+0000,VRBO,2017-04-19T17:01:00.000+0000
825749,48,10,Rosalie A.,Very well maintained house,4,2017-04-10T00:00:00.000+0000,VRBO,2017-04-17T18:33:00.000+0000
825749,48,11,Karen L.,Comfortable and clean VRBO in heart of wine country,5,2017-04-01T00:00:00.000+0000,VRBO,2017-04-08T16:37:00.000+0000
825749,48,12,joe k.,Great neighborhood,5,2017-03-24T00:00:00.000+0000,VRBO,2017-03-29T01:25:00.000+0000
825749,48,13,Larry W.,"Great house, excellent owners,neighborhood just OK",4,2017-03-10T00:00:00.000+0000,VRBO,2017-03-18T01:46:00.000+0000
825749,48,14,Rebecca S.,Home was very comfortable for 4 adults and kitchen was well equipped for entertaining.,5,2017-02-27T00:00:00.000+0000,VRBO,2017-03-08T21:25:00.000+0000
825749,48,15,Linda A.,Loved it!,5,2017-02-16T00:00:00.000+0000,VRBO,2017-02-23T23:54:00.000+0000
825749,48,16,Baseball Fan,Just Perfect!,5,2017-01-25T00:00:00.000+0000,VRBO,2017-02-01T18:34:00.000+0000
825749,48,17,Yu-Ning W.,Great location and property,5,2016-12-26T00:00:00.000+0000,VRBO,2017-01-15T03:09:00.000+0000
825749,48,18,Corinne S.,Beautiful place to stay!,5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-13T17:29:00.000+0000
825749,48,19,Sue B.,Wonderful stay!,5,2016-12-22T00:00:00.000+0000,VRBO,2017-01-06T17:52:00.000+0000
825749,48,20,Kone' N.,Perfect location,4,2016-12-16T00:00:00.000+0000,VRBO,2016-12-19T19:37:00.000+0000
825749,48,21,Keith V.,Beautiful property with great hosts!,5,2016-10-24T00:00:00.000+0000,VRBO,2016-12-11T18:42:00.000+0000
825749,48,22,Lea D.,"Beautiful, spacious, well- appointed",5,2016-12-01T00:00:00.000+0000,VRBO,2016-12-04T21:02:00.000+0000
825749,48,23,Kristin S.,Great home with such attention to detail that made our stay extra enjoyable!,5,2016-10-21T00:00:00.000+0000,VRBO,2016-10-25T20:19:00.000+0000
825749,48,24,Denise S.,"Great Location, Nice Decor, Comfortable and Clean",5,2016-10-02T00:00:00.000+0000,VRBO,2016-10-13T22:23:00.000+0000
825749,48,25,Gerald W.,Very Special House,5,2016-09-15T00:00:00.000+0000,VRBO,2016-10-04T20:07:00.000+0000
825749,48,26,Colleen C.,Wonderful Spot!!!,5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-03T16:53:00.000+0000
825749,48,27,nancy b.,"The home was nicely decorated, well appointed and impeccably clean. Loved the private patio!",5,2016-09-19T00:00:00.000+0000,VRBO,2016-09-27T02:15:00.000+0000
825749,48,28,Wendy H.,Very nice home!,4,2016-09-07T00:00:00.000+0000,VRBO,2016-09-15T18:57:00.000+0000
825749,48,29,John A.,Great Location and Beautiful Home,5,2016-09-01T00:00:00.000+0000,VRBO,2016-09-14T16:10:00.000+0000
825749,48,30,Cindy P.,What a fabulous home you shared with us.,5,2016-08-21T00:00:00.000+0000,VRBO,2016-08-27T15:58:00.000+0000
825749,48,31,Martha G.,"Clean, comfortable , and quiet. Good communication with emails and visual instructions for place.",5,2016-08-05T00:00:00.000+0000,VRBO,2016-08-10T16:27:00.000+0000
825749,48,32,Paul T.,"Great Location, cute and clean house",5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-09T03:40:00.000+0000
825749,48,33,Lien,Cozy getaway,4,2016-07-28T00:00:00.000+0000,VRBO,2016-08-04T14:22:00.000+0000
825749,48,34,bob k.,It was perfect for our needs as 2 couples exploring northern Sonoma county.,5,2016-07-17T00:00:00.000+0000,VRBO,2016-08-03T00:25:00.000+0000
825749,48,35,Anonymous,Sunny & Warm!,5,2016-07-07T00:00:00.000+0000,VRBO,2016-07-25T20:16:00.000+0000
825749,48,36,Michelle F.,Beautiful Santa Rosa Home,5,2016-06-18T00:00:00.000+0000,VRBO,2016-06-28T19:16:00.000+0000
825749,48,37,Kathy C.,"Cozy, roomy, clean house convenient to wine country, the coast & San Francisco",5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-23T01:21:00.000+0000
825749,48,38,Diane M.,Enjoyed our stay in Santa Rosa,4,2016-06-07T00:00:00.000+0000,VRBO,2016-06-21T14:35:00.000+0000
825749,48,39,Mary Ann H.,What a great home!,5,2016-06-04T00:00:00.000+0000,VRBO,2016-06-10T14:52:00.000+0000
825749,48,40,Jason P.,Perfect,5,2016-05-31T00:00:00.000+0000,VRBO,2016-06-07T13:59:00.000+0000
825749,48,41,Michon O.,The Best Vacation Home,5,2016-05-19T00:00:00.000+0000,VRBO,2016-06-03T16:36:00.000+0000
825749,48,42,Joseph V.,Perfect Weekend Getaway House,5,2016-05-27T00:00:00.000+0000,VRBO,2016-06-02T03:56:00.000+0000
825749,48,43,Lisa V.,Gorgeous Home Great Location,5,2016-04-28T00:00:00.000+0000,VRBO,2016-05-04T15:38:00.000+0000
825749,48,44,Cliff C.,"Very nice house, nice location, well appointed",5,2016-04-22T00:00:00.000+0000,VRBO,2016-05-03T01:38:00.000+0000
825749,48,45,Sally E.,Cozy and comfy ,5,2016-04-01T00:00:00.000+0000,VRBO,2016-04-09T15:38:47.120+0000
825749,48,46,Jody H.,"Clean, beautiful home. Awesome wine weekend.",5,2016-03-10T00:00:00.000+0000,VRBO,2016-04-08T20:11:04.783+0000
825749,48,47,Mat,loved our stay,5,2016-03-25T00:00:00.000+0000,VRBO,2016-04-07T06:36:00.000+0000
