listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
220461,23,1,Carla B.,Excellent,5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-23T04:11:00.000+0000
220461,23,2,Annegret S.,Wedding weekend 4-22-17,4,2017-04-21T00:00:00.000+0000,VRBO,2017-04-24T17:21:00.000+0000
220461,23,3,Amanda M.,It was great! Townhome was very nice!,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-15T16:07:00.000+0000
220461,23,4,Michael S.,The property is amazing and very comfortable,5,2017-04-03T00:00:00.000+0000,VRBO,2017-04-08T12:25:00.000+0000
220461,23,5,John L.,Wonderful!,5,2017-03-26T00:00:00.000+0000,VRBO,2017-03-29T10:01:00.000+0000
220461,23,6,Harry M.,The property itself was superb from every perspective.,4,2017-02-13T00:00:00.000+0000,VRBO,2017-03-20T12:40:00.000+0000
220461,23,7,james P.,Lovely!,4,2016-12-26T00:00:00.000+0000,VRBO,2016-12-29T20:40:00.000+0000
220461,23,8,Elizabeth H.,Beautiful and spacious condo,5,2016-11-13T00:00:00.000+0000,VRBO,2016-11-24T21:48:00.000+0000
220461,23,9,Lorraine H.,Weekend Stay,5,2016-10-28T00:00:00.000+0000,VRBO,2016-11-04T19:47:00.000+0000
220461,23,10,Sheryl 1,Loved this place.,5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-06T02:24:31.700+0000
220461,23,11,Wanda  T.,Needs some TLC,3,2016-07-17T00:00:00.000+0000,VRBO,2016-07-23T19:25:00.000+0000
220461,23,12,Badr A.,Amazing.,5,2016-07-11T00:00:00.000+0000,VRBO,2016-07-16T15:09:00.000+0000
220461,23,13,Anonymous,Perfect condo for couples or individuals.,5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-17T18:19:00.000+0000
220461,23,14,Mary M.,"Nice, roomy townhouse.",4,2016-04-22T00:00:00.000+0000,VRBO,2016-04-27T17:35:00.000+0000
220461,23,15,T. Barry L.,A perfect winter get-away,5,2015-12-01T00:00:00.000+0000,VRBO,2016-04-04T01:47:00.000+0000
220461,23,16,Eastern Vacationers,Great Location,4,2015-11-12T00:00:00.000+0000,VRBO,2015-11-30T00:41:00.000+0000
220461,23,17,Great Weekend Getaway,Private and Quiet!,4,2015-07-24T00:00:00.000+0000,VRBO,2015-07-30T19:32:52.500+0000
220461,23,18,Wyndy,A great place to stay,5,2015-06-22T00:00:00.000+0000,VRBO,2015-07-09T13:10:31.327+0000
220461,23,19,Eric,nice place,5,2015-05-15T00:00:00.000+0000,VRBO,2015-06-03T22:25:39.347+0000
220461,23,20,Bogey ,landings visit,5,2015-04-18T00:00:00.000+0000,VRBO,2015-04-26T15:52:29.797+0000
220461,23,21,Debra,Beautiful Condo / Lack of Facilities,3,2015-04-03T00:00:00.000+0000,VRBO,2015-04-20T22:10:16.193+0000
220461,23,22,Tammy,New Year's Week,4,2014-12-28T00:00:00.000+0000,VRBO,2015-01-04T23:49:20.337+0000
220461,23,23,Betsy S.,Great Week on Skidaway Island,5,2014-12-21T00:00:00.000+0000,VRBO,2015-01-03T21:49:19.880+0000
447610,124,1,Karen T.,Everything you need,5,2017-05-26T00:00:00.000+0000,VRBO,2017-05-29T14:24:00.000+0000
447610,124,2,Sue B.,Great location,5,2017-05-10T00:00:00.000+0000,VRBO,2017-05-21T16:16:00.000+0000
447610,124,3,Grace H.,Great stay in Savannah,5,2017-04-20T00:00:00.000+0000,VRBO,2017-05-11T12:18:00.000+0000
447610,124,4,Carey H.,"Hip Furnishings, Well-Appointed Kitchen & Walking Distance to all things Savannah!",4,2017-04-13T00:00:00.000+0000,VRBO,2017-04-26T16:56:00.000+0000
447610,124,5,Carla C.,Great Place!,5,2017-04-11T00:00:00.000+0000,VRBO,2017-04-24T11:39:00.000+0000
447610,124,6,Robert K.,A Little Slice of the South,5,2017-03-22T00:00:00.000+0000,VRBO,2017-04-19T23:39:00.000+0000
447610,124,7,Kathy N.,Great Location!,5,2017-04-04T00:00:00.000+0000,VRBO,2017-04-19T12:51:00.000+0000
447610,124,8,Audrey S.,Charming and clean place,5,2016-05-05T00:00:00.000+0000,VRBO,2017-04-08T22:06:00.000+0000
447610,124,9,Patrick C.,Walk to Everything - Cozy and Clean Apartment,5,2017-04-02T00:00:00.000+0000,VRBO,2017-04-04T16:49:00.000+0000
447610,124,10,Jill J.,Great location,4,2017-03-24T00:00:00.000+0000,VRBO,2017-03-26T16:34:00.000+0000
447610,124,11,Claudia H.,Everything You Need and a Great Location!,5,2017-03-19T00:00:00.000+0000,VRBO,2017-03-22T15:56:00.000+0000
447610,124,12,Andrew C.,Wonderful vacation!,5,2017-02-18T00:00:00.000+0000,VRBO,2017-03-06T04:23:00.000+0000
447610,124,13,Patricia V.,This review is regards to my experience with Jennifer,1,2016-10-15T00:00:00.000+0000,VRBO,2017-03-03T16:40:00.000+0000
447610,124,14,Cathy B.,Perfect little getaway.,5,2017-02-22T00:00:00.000+0000,VRBO,2017-02-27T00:47:00.000+0000
447610,124,15,benton w.,Great location-we loved walking around Savannah,5,2017-01-25T00:00:00.000+0000,VRBO,2017-02-09T07:00:00.000+0000
447610,124,16,Patrick D.,Cozy Condo near all the action,4,2017-02-03T00:00:00.000+0000,VRBO,2017-02-05T19:44:00.000+0000
447610,124,17,Caroline D.,"Convenient location, fully equipped condo",5,2016-12-26T00:00:00.000+0000,VRBO,2017-01-03T03:03:00.000+0000
447610,124,18,T S.,Great Stay!!!,5,2016-12-23T00:00:00.000+0000,VRBO,2016-12-27T15:17:00.000+0000
447610,124,19,Kim S.,Awesome visit!,5,2016-12-19T00:00:00.000+0000,VRBO,2016-12-22T01:43:00.000+0000
447610,124,20,Wendy W.,"Well appointed,clean and comfortable.",5,2016-11-03T00:00:00.000+0000,VRBO,2016-11-07T17:14:00.000+0000
447610,124,21,Anonymous,Perfect Couples Apartment,5,2016-10-17T00:00:00.000+0000,VRBO,2016-10-28T20:50:00.000+0000
447610,124,22,Cynthia J.,"Clean, warm and cozy, street level entry apartment!",5,2016-10-04T00:00:00.000+0000,VRBO,2016-10-08T00:35:00.000+0000
447610,124,23,Sara U.,Quaint apartment & great location,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-07T11:55:00.000+0000
447610,124,24,Elizabeth W.,Great central location,4,2016-09-28T00:00:00.000+0000,VRBO,2016-09-30T20:42:00.000+0000
447610,124,25,Angie K.,Clean and easy walk to restaurants,5,2016-09-22T00:00:00.000+0000,VRBO,2016-09-27T01:59:00.000+0000
447610,124,26,Debbie L.,Loved the location!,5,2016-09-15T00:00:00.000+0000,VRBO,2016-09-19T13:15:00.000+0000
447610,124,27,Sarah T.,Long weekend in Savannah,5,2016-08-20T00:00:00.000+0000,VRBO,2016-09-05T14:27:00.000+0000
447610,124,28,Christopher P.,Great apartment,5,2016-08-25T00:00:00.000+0000,VRBO,2016-08-27T18:56:00.000+0000
447610,124,29,Kimberly S.,Had a special time in Savannah celebrating our 20th wedding anniversary! Love this place!,5,2016-08-16T00:00:00.000+0000,VRBO,2016-08-19T12:13:00.000+0000
447610,124,30,Rose M.,Great location ,5,2016-08-10T00:00:00.000+0000,VRBO,2016-08-12T14:08:49.140+0000
447610,124,31,Lesia S.,Perfect stay,5,2016-08-01T00:00:00.000+0000,VRBO,2016-08-06T02:08:00.000+0000
447610,124,32,Emily F.,Awesome location!,5,2016-07-29T00:00:00.000+0000,VRBO,2016-08-03T11:25:00.000+0000
447610,124,33,robin f.,Very clean and. On convenient location.,4,2016-07-24T00:00:00.000+0000,VRBO,2016-07-31T16:03:00.000+0000
447610,124,34,Vickie B.,Perfect location! Beautiful unit!,5,2016-07-11T00:00:00.000+0000,VRBO,2016-07-17T13:05:00.000+0000
447610,124,35,Brandy B.,Great stay!,5,2016-06-19T00:00:00.000+0000,VRBO,2016-07-10T16:29:00.000+0000
447610,124,36,Stephanie M.,"Fantastic location, great property.",5,2016-06-24T00:00:00.000+0000,VRBO,2016-06-28T10:48:00.000+0000
447610,124,37,Anonymous,Great location and awesome apt!,5,2016-06-16T00:00:00.000+0000,VRBO,2016-06-23T13:38:00.000+0000
447610,124,38,David V.,Perfect!,5,2016-05-25T00:00:00.000+0000,VRBO,2016-06-03T12:39:52.733+0000
447610,124,39,Lacey M.,"Vacation was great, thanks to this rental!",5,2016-05-19T00:00:00.000+0000,VRBO,2016-05-26T02:56:28.117+0000
447610,124,40,Kelly B.,Cozy and clean,4,2016-04-10T00:00:00.000+0000,VRBO,2016-04-26T12:30:00.000+0000
447610,124,41,Bryan S.,Perfect place for a couple to get away!,4,2016-04-17T00:00:00.000+0000,VRBO,2016-04-25T10:28:00.000+0000
447610,124,42,Courtney G.,"Location, location, location",5,2016-04-15T00:00:00.000+0000,VRBO,2016-04-18T17:58:17.203+0000
447610,124,43,Linda D.,"Cozy street level condo, close to Savannah happenings.",5,2016-03-31T00:00:00.000+0000,VRBO,2016-04-07T18:59:00.000+0000
447610,124,44,Randy H.,Great condo stay in Savannah historic district,5,2016-03-26T00:00:00.000+0000,VRBO,2016-04-01T15:48:51.460+0000
447610,124,45,Frank  W.,Great location!,5,2016-03-05T00:00:00.000+0000,VRBO,2016-03-25T21:39:00.000+0000
447610,124,46,mark h.,Great Property! Great Location!,5,2016-03-16T00:00:00.000+0000,VRBO,2016-03-22T15:06:00.000+0000
447610,124,47,Rosie S.,Perfect Location!!!,5,2016-03-11T00:00:00.000+0000,VRBO,2016-03-16T12:56:00.000+0000
447610,124,48,angie k.,"Clean, comfortable and convenient",5,2016-02-18T00:00:00.000+0000,VRBO,2016-02-28T20:51:00.000+0000
