listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4045083ha,"GD: Quaint 2 bedroom, 2 bath",37.333179,-122.043809,"Cupertino, CA, USA",4,4.3,272,229,,,,,3,5,2,2,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1100,5,,Sunnyvale
3786673ha,"WH: Prime location by Google, Symantec, and downtown Mt. View",37.398846,-122.059448,"North Whisman, Mountain View, CA, USA",5,4.6,367,359,,,,,3,9,4,2,house,Yes,2013,Within a day,100%,"June 6, 2017",house,,2032,9,,Sunnyvale
659476,"Plush, Furnished 2 BR Silicon Valley Corporate Suite",37.36026516,-121.9867304,"Santa Clara, CA, USA",6,4.5,200,215,,,,,5,5,2,1,apartment,Yes,2009,Within an hour,100%,"May 9, 2017",apartment,3,1050,5,building,Sunnyvale
259493,Experience Best of SF Bay Area! Sunnyvale 3/2 Furn House + Outdoor Living Space,37.36200714,-122.03639221,"Sunnyvale West, Sunnyvale, CA, USA",68,4.9,267,275,,,,10.5%,2,6,3,2,house,Yes,2007,Within an hour,100%,"June 6, 2017",house,,1950,6,,Sunnyvale
4278788ha,ST: 4 Bedroom/3.5 Bath near Apple HQ,37.33571117,-122.04265432,"Cupertino, CA, USA",2,,472,379,,,175,,3,9,4,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,1927,9,,Sunnyvale
960648,3 Beds/1 Bath Beautiful Single Family Home in Sunnyvale,37.377342,-122.019127,"Sunnyvale, CA, USA",0,,150,150,,,150,,31,6,3,1,house,Yes,2016,Within a day,80%,"March 30, 2017",house,,1009,6,,Sunnyvale
895147,Sunnyvale Luxury at Avalon 1042,37.38871036,-121.99423898,"Sunnyvale, CA, USA",0,,190,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,1,1050,6,,Sunnyvale
771594,Central Sunnyvale with Resort Living Amenities,37.3533409,-122.010979,"Ponderosa Park, Sunnyvale, CA, USA",1,,182,,,,,,2,4,2,2,apartment,Yes,2014,Within 12 hours,,"June 2, 2017",apartment,2,950,4,,Sunnyvale
909817,Newly built modern Santa Clara living in the middle of it all!,37.35293426,-121.9856697,"Santa Clara, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,2,885,6,,Sunnyvale
817723,Private Cottage in Cupertino,37.333532,-122.060365,"Cupertino, CA, USA",6,,145,145,,,50,,2,4,2,1,cottage,Yes,2016,Within an hour,100%,"June 1, 2017",cottage,,1000,4,,Sunnyvale
