listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4045083ha,4,1,Jim A.,As advertised.,5,2017-03-11T00:00:00.000+0000,VRBO,2017-03-29T15:25:00.000+0000
4045083ha,4,2,Melissa P.,Comfortable quiet home convenient to stores and freeways,4,2017-01-23T00:00:00.000+0000,VRBO,2017-02-07T18:22:00.000+0000
4045083ha,4,3,Scott B.,Bright and cheery but....,3,2016-12-30T00:00:00.000+0000,VRBO,2017-01-03T00:16:00.000+0000
4045083ha,4,4,Jay F.,Nice and clean rental,5,2016-08-12T00:00:00.000+0000,VRBO,2016-08-17T19:54:05.420+0000
3786673ha,5,1,Linda F.,Perfect location for our needs!,3,2017-01-13T00:00:00.000+0000,VRBO,2017-01-18T21:04:00.000+0000
3786673ha,5,2,Karen,Fabulous stay at this home!,5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-21T17:19:15.563+0000
3786673ha,5,3,Bryan L.,WELL MAINTAINED AND COMFORTABLE PROPERTY,5,2014-10-02T00:00:00.000+0000,VRBO,2014-11-10T14:23:27.053+0000
3786673ha,5,4,Bryan L.,WELL MAINTAINED AND COMFORTABLE PROPERTY,5,2014-10-02T00:00:00.000+0000,VRBO,2014-11-10T14:15:36.283+0000
3786673ha,5,5,brett s.,"Great stay, fast Internet!",5,2014-10-15T00:00:00.000+0000,VRBO,2014-10-20T19:23:19.027+0000
659476,6,1,Todd M.,Comfortable and spacious home away from home.,5,2017-04-03T00:00:00.000+0000,VRBO,2017-05-08T01:58:00.000+0000
659476,6,2,Melissa n.,Lovely stay,4,2016-12-26T00:00:00.000+0000,VRBO,2017-01-02T07:20:00.000+0000
659476,6,3,Hagar O.,"Great apartment, great location",5,2015-12-27T00:00:00.000+0000,VRBO,2016-02-28T04:57:02.083+0000
659476,6,4,Anonymous,Our stay was amazing!,5,2015-05-15T00:00:00.000+0000,VRBO,2015-08-20T13:28:17.900+0000
659476,6,5,Kathlene C.,Visit to family in the Santa Clara area,4,2015-02-13T00:00:00.000+0000,VRBO,2015-02-23T00:44:21.553+0000
659476,6,6,Catherine,great location,4,2015-02-19T00:00:00.000+0000,VRBO,2015-02-22T02:36:00.000+0000
259493,68,1,Sandra V.,Perfect for our family!,5,2017-04-26T00:00:00.000+0000,VRBO,2017-05-02T03:02:00.000+0000
259493,68,2,Daniel P.,Worked out great for San Jose trip,5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-20T14:25:00.000+0000
259493,68,3,Robby,This is an excellent villa and includes the home comfort you would need for a great holiday.,4,2016-10-03T00:00:00.000+0000,VRBO,2016-10-25T08:23:00.000+0000
259493,68,4,Di-Son N.,"Spacious, clean, and incredibly comfortable!",5,2016-10-21T00:00:00.000+0000,VRBO,2016-10-23T21:51:00.000+0000
259493,68,5,Doris H.,Great place in Sunnyvale!,4,2016-09-20T00:00:00.000+0000,VRBO,2016-10-06T16:51:00.000+0000
259493,68,6,Maryann Y.,Perfect place for a family!,5,2016-09-30T00:00:00.000+0000,VRBO,2016-10-04T20:04:00.000+0000
259493,68,7,Hilary G.,Wonderful house in lovely quiet neighbourhood,5,2016-08-22T00:00:00.000+0000,VRBO,2016-09-20T20:19:10.917+0000
259493,68,8,Robert A.,Very nice comfy home,4,2016-08-31T00:00:00.000+0000,VRBO,2016-09-02T13:03:00.000+0000
259493,68,9,Nicole G.,Very nice and comfortable home,5,2016-07-30T00:00:00.000+0000,VRBO,2016-08-26T03:25:39.567+0000
259493,68,10,Jll m.,Unfortunately not what we hoped for,1,2016-07-22T00:00:00.000+0000,VRBO,2016-07-27T22:19:00.000+0000
259493,68,11,Nita S.,Quiet oasis close to SF and Palo Alto,5,2016-06-10T00:00:00.000+0000,VRBO,2016-06-17T13:44:00.000+0000
259493,68,12,Georgina V.,Great Place to Stay,5,2016-05-19T00:00:00.000+0000,VRBO,2016-06-01T17:12:00.000+0000
259493,68,13,Raul F.,Excellent option,5,2016-04-07T00:00:00.000+0000,VRBO,2016-04-16T13:30:00.000+0000
259493,68,14,Shila C.,"Comfortable, clean, quiet, and great location for us",5,2016-04-02T00:00:00.000+0000,VRBO,2016-04-14T20:26:00.297+0000
259493,68,15,Marcus S.,Couldn't have been better!!!,5,2016-03-17T00:00:00.000+0000,VRBO,2016-03-21T02:12:00.000+0000
