listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
3597231ha,Direct Waterfront Lake Home on Tranquil Harwinton Lake,41.7856171,-73.0816187,"Northwest Harwinton, Harwinton, CT, USA",41,4.9,214,250,,,100,,3,4,2,1,cottage,Yes,2013,Within a few hours,100%,"June 6, 2017",cottage,,1000,4,,Torrington
594844,Historic Ice House At Highland Lake In Winsted!,41.8906435,-73.0880408,"Winchester, CT, USA",11,4.4,150,,,,120,,7,6,2,1,house,Yes,2014,Within a few days,60%,"May 31, 2017",house,,,6,,Torrington
4231080ha,Charming Victorian Lakefront - Central air - State-of-art period rebuild 2016,41.8907298,-73.09463364,"Winchester, CT, USA",4,,200,225,,,100,,2,7,3,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,,7,,Torrington
997342ha,Elegant private waterfront home with peaceful sunset view from deck and dock,41.8908784,-73.0903992,"Winchester, CT, USA",10,4.6,399,400,,,150,,3,7,3,3,house,Yes,2012,Within 12 hours,100%,"June 6, 2017",house,,,7,,Torrington
299027,Lakeridge Litchfield Resort Townhome  Pool  Tennis  Skiing,41.87789917,-73.10681152,"Winchester, CT, USA",4,4.8,100,,,,,,30,6,2,2,townhome,Yes,2010,Within 12 hours,100%,"June 3, 2017",townhome,,1154,6,,Torrington
4564977ha,Waterfront 4 Bedroom/1.5 Bath Quaint Cottage with Amazing Views on Highland Lake,41.8912473,-73.0906568,"Winchester, CT, USA",0,,248,,,,125,,3,7,4,1,house,Yes,2017,Within a day,100%,"June 5, 2017",house,,1840,,,Torrington
3011802ha,Spacious Restored Barn on 700 acre Estate with Magnficent Views,41.7004013,-73.13424784,"Thomaston, CT, USA",14,4.5,560,1,750,,,,2,12,6,6,barn,Yes,2012,Within a day,100%,"June 1, 2017",barn,,6000,12,,Torrington
585115,"Pet & Kid Friendly, Solar, 13 Acres, Salt Water Pool, River Views",41.8137018,-73.3745918,"Cornwall Bridge, Cornwall, CT, USA",9,4.3,364,300,,,,,2,9,3,1,house,Yes,2014,Within an hour,100%,"June 3, 2017",house,,2000,9,,Torrington
4153303ha,"Rustic Streamside Cabin, Quiet Escape near Fly fishing,  hiking, and kayaking",41.858248,-73.380135,"Cornwall, CT, USA",5,,125,159,,,,,2,3,1,1,cabin,No,2016,Within a few hours,100%,"May 24, 2017",cabin,,,3,,Torrington
572212,Modern Dwell-published home - available throughout the year,41.82132,-73.431806,"Sharon, CT, USA",12,,212,200,235,,125,15.0%,3,6,3,2,house,Yes,2014,Within 2 days,100%,"June 4, 2017",house,,2000,6,,Torrington
864246,Charming Lakefront Cabin And Guest Cottage With Spectacular View,41.6975253,-73.2276937,"Morris, CT, USA",5,,538,500,,,,6.0%,3,10,5,2,cabin,Yes,2016,Within an hour,100%,"June 4, 2017",cabin,,2500,10,,Torrington
4221688ha,The Beehive Cottage in Cornwall Bridge MONTHLY RENTAL,41.8011441,-73.3617904,"Cornwall Bridge, Cornwall, CT, USA",0,,70,70,,,,,20,9,4,1,cottage,No,2016,Within a day,100%,"June 1, 2017",cottage,,1400,9,,Torrington
3546389ha,Beautiful Cottage and Waterfront Access,41.704989,-73.3702239,"New Preston, CT, USA",9,,220,200,250,,,,2,4,2,2,cottage,Yes,2013,Within 12 hours,100%,"June 2, 2017",cottage,,,4,,Torrington
3778159ha,1770 Colonial 5 Bedrooms 4 1/2 Baths Sleeps 9,41.69517496,-73.13648123,"Thomaston, CT, USA",7,,300,300,475,,,,2,9,5,4,house,Yes,2012,Within 12 hours,100%,"May 21, 2017",house,,2900,9,,Torrington
143286,"Peaceful, Secluded Brookside Home in Litchfield County",,,"Sharon, CT, USA",13,4.9,173,200,,,,,2,8,3,1,house,Yes,2007,Within 2 days,100%,"June 3, 2017",house,,2000,8,,Torrington
