listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4061618ha,Charming Private Old Farmhouse - South Jersey,39.9799,-74.9044,"Moorestown, NJ, USA",11,4.6,200,200,,,,,,4,2,2,farmhouse,Yes,2015,Within a few hours,100%,"June 2, 2017",farmhouse,,,4,,Trenton
4431803ha,Beautiful Home in The Heart of Princeton for Your Adventures :),,,"Princeton, NJ, USA",2,,229,225,250,,85,,2,6,2,1,condo,Yes,2017,Within an hour,100%,"June 4, 2017",condo,2,1300,6,building,Trenton
612371,"Country Home & Studio/Pool House nestled in a 1,000 acre Nature Reserve",40.14461278,-75.07847852,"Huntingdon Valley, Bryn Athyn, PA, USA",13,,719,699,749,,125,3.07%,2,8,4,3,chateau / country house,Yes,2014,Within a few days,70%,"June 4, 2017",chateau / country house,,3500,8,,Trenton
751059,"Guest house on the Delaware river close to New Hope, Lambertville + Princeton!",40.2189831,-74.7839701,"Morrisville, Bucks County, PA, USA",23,,250,250,,,,11.0%,2,6,3,2,lodge,Yes,2015,Within 12 hours,100%,"June 1, 2017",lodge,,1800,,,Trenton
380738ha,"Romantic English Cottage in New Hope, Pa",40.38489924,-74.96235609,"New Hope, PA, USA",41,,171,200,,,,9.0%,2,2,1,1,cottage,Yes,2010,Within an hour,100%,"June 6, 2017",cottage,,,2,,Trenton
4448534ha,Princeton Home Walking Distance to Town,40.368611,-74.66032,"Princeton, NJ, USA",2,,180,175,195,,85,,2,7,3,1,house,No,2017,Within an hour,100%,"June 4, 2017",house,,,,,Trenton
239400,Garden Apartment/Great View-Bridge/Stream Down Town New Hope,40.36224365,-74.95430756,"New Hope, PA, USA",53,4.9,159,159,179,,,11.0%,2,4,1,1,apartment,Yes,2009,Within an hour,100%,"June 6, 2017",apartment,1,,4,house,Trenton
388947ha,In Princeton Borough for Family,40.3584119,-74.6513614,"Princeton, NJ, USA",9,3.7,180,180,,,,,,5,2,1,house,Yes,2011,Within a few hours,100%,"June 6, 2017",house,,950,5,,Trenton
7951,Romantic Getaway Cottage. River Views. Bike to Town/Starbucks on Canal Towpath.,40.23012924,-74.80185699,"Morrisville, Bucks County, PA, USA",54,,200,215,,,,11.0%,2,4,1,1,cottage,Yes,2001,Within an hour,100%,"June 4, 2017",cottage,,750,4,,Trenton
266171,Historic Country Storybook Cottage,40.2415977,-75.05183703,"Jamison, PA, USA",15,4.7,130,130,150,,,11.0%,2,6,2,1,cottage,No,2009,Within a few days,80%,"June 6, 2017",cottage,,,6,,Trenton
836689,Historic estate between Phil. and NY for family gatherings and sporting friends,40.24450643,-74.82447049,"Trenton, NJ, USA",5,,750,750,780,,175,,3,10,6,3,estate,Yes,2016,Within 12 hours,100%,"May 22, 2017",estate,,,10,,Trenton
1000372,Peaceful Getaway in New Hope on 12+ Acres. Perfect for wedding stays!,,,"New Hope, PA, USA",6,,240,240,,,100,9.0%,,9,3,1,townhome,Yes,2017,Within an hour,100%,"June 6, 2017",townhome,,,,,Trenton
562669,Quaker Farm House On Delaware River,,,"New Hope, PA, USA",4,4.3,284,225,250,,100,7.0%,2,5,3,2,house,Yes,2008,,,"June 5, 2017",house,,1700,5,,Trenton
4269701ha,Sunny Room + Private Bath Lawrenceville Princeton,,,"Lawrence Township, NJ, USA (Mercer County)",2,,77,77,,,,,1,2,1,1,house,Yes,2014,Within 12 hours,100%,"May 22, 2017",house,,,2,,Trenton
775593,"1704 English Stone Cottage On Secluded 50 Acre Farm Outside Of New Hope, PA",,,"New Hope, PA, USA",5,,229,250,,,50,9.0%,2,2,1,1,cottage,Yes,2015,Within a few days,100%,"April 28, 2017",cottage,,,2,,Trenton
643254,Lovely 2 bedroom guest cottage on the grounds of 25 acre estate near Princeton,40.352509,-74.8237537,"Hopewell Township, NJ, USA",4,,167,225,250,,75,,2,4,2,1,cottage,Yes,2014,Within a few hours,100%,"May 27, 2017",cottage,,,4,,Trenton
852781,Historic Downtown Updated Apartment 3BR Sleeps 6,40.1436994,-74.7101563,"Bordentown, NJ, USA",2,,133,150,,,100,,3,6,3,1,house,Yes,2016,Within a few days,60%,"April 9, 2017",house,,1500,6,,Trenton
3749092ha,"Walk to all! Surf City 2 Bedroom, Sunday to Sunday and miss all the traffic!!",40.262908,-74.581722,"Hightstown, NJ, USA",0,,211,,,,,,7,6,2,1,house,Yes,2014,Within a few days,30%,"April 4, 2017",house,,,6,,Trenton
3902429ha,Private upstairs room(s) and bath in Levittown house,40.1497427,-74.8736653,"Levittown, PA, USA",16,4.8,61,72,,,,6.0%,3,4,2,2,house,Yes,2015,Within an hour,100%,"June 5, 2017",house,,2000,4,,Trenton
1076763,3-Bedroom Bucks County Carpenter's Retreat with Contemporary Flair,,,"Wrightstown, PA, USA",1,,283,325,,,125,5.0%,,6,3,2,house,Yes,2017,Within a few hours,100%,"June 6, 2017",house,,2100,,,Trenton
756817,Charming Private Farmhouse,39.9799,-74.9044,"Moorestown, NJ, USA",3,,200,200,,,,7.0%,,5,2,2,farmhouse,No,2015,Within 12 hours,90%,"June 6, 2017",farmhouse,,,5,,Trenton
867440,Designer Treehouse Artist Studio,40.296711,-74.733513,"Lawrenceville, Lawrence Township, NJ, USA",0,,171,175,,,,,2,2,1,1,studio,Yes,2016,Within 12 hours,100%,"May 26, 2017",studio,2,500,2,cottage,Trenton
319924,"Captivating 14 Acre Estate, Great for Vacations, Sm company off-site,sm wedding",40.38971329,-74.90690613,"Lambertville, NJ, USA",27,,,2,2,,250,,1,20,7,7,chateau / country house,Yes,2010,Within an hour,100%,"June 3, 2017",chateau / country house,,,20,,Trenton
4487904ha,"Swim, fish or kayak from the dock - cozy fireplace",,,"Pemberton Township, NJ, USA",0,,139,139,,,30,,3,4,2,1,house,No,2017,Within a few days,88%,"June 5, 2017",house,,,,,Trenton
1041855,The Cottage Left of Knowhere Farm,40.10982333,-74.61829037,"Burlington County, NJ, USA",1,,197,197,,,100,7.0%,,6,3,1,cottage,No,2017,Within a day,100%,"June 1, 2017",cottage,,,6,,Trenton
747806,Bridgetown Mill House Inn,40.18988,-74.9261063,"Langhorne, PA, USA",0,,215,215,,,,9.0%,,2,1,1,lodge,Yes,2015,Within a few days,60%,"February 21, 2017",lodge,,300,2,,Trenton
4483474ha,Private In Town Apartment On Main Street,40.31616288,-74.51477969,"Cranbury, NJ, USA",0,,119,115,,,10,7.0%,,2,1,1,studio,Yes,2017,,,"June 6, 2017",studio,1,,,,Trenton
4021301ha,Bridgetown Mill House Inn,40.18976722,-74.92647623,"Langhorne, PA, USA",0,,215,215,,,,9.0%,,2,1,1,lodge,Yes,2015,Within a few days,70%,"May 20, 2017",lodge,,300,2,,Trenton
