listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4080928ha,1890 Victorian Flat (with WiFi) - Topley Estate,38.1012141,-122.2528151,"Vallejo, CA, USA",31,4.8,184,110,125,,,,2,7,2,1,house,Yes,2015,Within 12 hours,100%,"June 6, 2017",house,,1800,,,Vallejo
789014,"""Rosie the Riveter"" Apt w/WiFi Internet -  San Francisco Bay Area",38.1015413,-122.2527142,"Vallejo, CA, USA",28,4.9,105,60,75,,,,2,6,1,1,apartment,Yes,2016,Within a few hours,100%,"June 6, 2017",apartment,3,700,,house,Vallejo
968706,Charming Arts & Crafts House,,,"Vallejo, CA, USA",0,,100,,,,175,,60,6,3,2,house,Yes,2016,Within 12 hours,100%,"June 5, 2017",house,,1750,6,,Vallejo
1039804,"Boutique Bungalow by Waterfront, Walk to Vallejo Ferry to SF and Winetrain",38.10743,-122.263575,"Vallejo, CA, USA",3,,150,135,,,75,13.0%,2,4,1,1,house,Yes,2017,Within a few hours,100%,"June 5, 2017",house,,700,,,Vallejo
4500999ha,Napa Valley Gateway Home,38.105725,-122.198402,"Vallejo, CA, USA",0,,457,500,,,300,11.0%,3,12,5,3,house,Yes,2017,Within an hour,100%,"June 6, 2017",house,,2547,,,Vallejo
4115020ha,Historic District Flat ~ RA66973,38.105245,-122.248373,"Vallejo, CA, USA",3,,115,,,,,,2,6,1,1,apartment,No,2012,Within an hour,,"June 7, 2017",apartment,,,,,Vallejo
4327259ha,1890 Vistorian Flat (Fast Wifi) - Topley Estate ~ RA128188,38.101214,-122.252815,"Vallejo, CA, USA",0,,215,,,,,,2,7,2,1,house,Yes,2012,Within an hour,,"June 6, 2017",house,,,7,,Vallejo
1015939,"Cute 1930's Home, Newly Remodeled",38.1174057,-122.2332065,"Vallejo, CA, USA",0,,62,70,,,100,,30,2,2,1,house,No,2008,,,"February 24, 2017",house,,,,,Vallejo
631343,"2 Br. House 1 block from Solano Ave Near Shopping,Restaurants, And U.C Berkeley",37.89257,-122.28583,"Thousand Oaks, Berkeley, CA, USA",26,4.6,195,175,195,,95,9.5%,3,4,2,1,house,Yes,2014,Within a day,100%,"June 5, 2017",house,,1000,4,,Vallejo
4146987ha,"Silverado Trail Vacation House: Stroll To Dining, Nightlife, Wine Tasting & more",,,"Alta Heights, Napa, CA, USA",25,4.9,295,295,,,150,12.0%,2,4,2,1,house,Yes,2007,Within a few hours,100%,"June 5, 2017",house,,1000,,,Vallejo
151803,Casa Alta with Hot Tub ~ OPEN 1 NIGHT SATURDAY 6/3 NO CLEANING FEE!!!!!,38.3032341,-122.27362061,"Alta Heights, Napa, CA, USA",80,4.8,295,,,,125,12.0%,2,6,3,2,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,1260,6,,Vallejo
559049,"Gorgeous, Brand New, Fully Equipped Studio In North Berkeley, Fabulous Bay View",,,"Berkeley Hills, Berkeley, CA, USA",110,4.9,125,125,,,80,12.0%,2,2,Studio,1,studio,Yes,2014,Within 12 hours,100%,"June 6, 2017",studio,,,2,,Vallejo
4096551ha,Stunning 3BD/2BA Home Just 30 Minutes To SF And 20 Minutes To Wine Country,38.112363,-122.585153,"Novato, CA, USA",18,,250,300,,,,10.0%,3,6,3,2,house,Yes,2015,Within a few days,80%,"June 4, 2017",house,,1800,6,,Vallejo
564881,"Recently remodeled, Near-Everything 2 Story, 3BR/2Bath Cozy Craftman",37.885216,-122.276937,"North Berkeley, Berkeley, CA, USA",79,4.9,299,299,310,,,,3,8,3,2,house,Yes,2014,Within 12 hours,100%,"June 5, 2017",house,,1700,8,,Vallejo
844366,Suburban Country Home With Private Park,,,"Pleasant Hill, CA, USA",7,4.6,136,165,,,,,3,6,2,2,house,Yes,2016,Within a day,100%,"June 6, 2017",house,,1800,6,,Vallejo
511073,Beautiful Benicia! Hidden Treasure Of The San Francisco Bay Area!,38.052768,-122.14793,"Benicia, CA, USA",31,4.9,207,205,,,,8.0%,4,6,2,2,house,Yes,2014,Within 12 hours,90%,"April 17, 2017",house,,1400,6,,Vallejo
3630074ha,Quaint Berkeley Craftsman House & Centrally Located,37.86008,-122.2835135,"Southwest Berkeley, Berkeley, CA, USA",19,4.5,157,155,165,,80,,3,5,2,1,house,Yes,2012,Within an hour,100%,"June 5, 2017",house,,1000,5,,Vallejo
473341,"Historic Bungalow 3 Blocks to Sonoma Plaza, Highend Finishes.  Bikes Included",38.285744,-122.459189,"Sonoma, CA, USA",99,,450,350,395,,125,12.0%,2,4,2,2,bungalow,Yes,2010,Within 12 hours,90%,"June 4, 2017",bungalow,,1300,,,Vallejo
136969,Berkeley Elegant Short Term Rental - Gorgeous Yard with Deck,37.86687851,-122.27690887,"Central Berkeley, Berkeley, CA, USA",7,4.7,118,,,,,,21,4,1,1,condo,Yes,2007,Within 12 hours,100%,"June 3, 2017",condo,,750,4,,Vallejo
623815,"Private, Studio Apartment in Gorgeous Berkeley Hills (MAY SPECIAL)",,,"Kensington, CA, USA",24,4.3,75,80,,,60,,3,4,1,1,studio,Yes,2014,Within a few hours,100%,"June 6, 2017",studio,1,600,,house,Vallejo
108750,Spanish Bungalow with Hot Tub ~ Close to downtown!,38.30225754,-122.29486084,"Napa, CA, USA",56,4.8,225,,,,125,12.0%,2,6,2,1,house,Yes,2006,Within a day,100%,"June 6, 2017",house,,800,6,,Vallejo
627914,Berkeley Charmer in coveted Elmwood. Close to UCB and transportation,37.854434,-122.255177,"Elmwood, Berkeley, CA, USA",64,4.7,105,120,,,,,2,2,Studio,1,apartment,Yes,2014,Within a day,100%,"June 5, 2017",apartment,1,,2,house,Vallejo
430123,Stunning 1 Bedroom Near the North Berkeley Bart,37.871648,-122.285801,"Northwest Berkeley, Berkeley, CA, USA",55,,146,170,,,85,,3,3,1,1,apartment,Yes,2012,Within a few hours,100%,"May 24, 2017",apartment,,,3,,Vallejo
149091,"Napa Vacation Bungalow Stroll to Dining, Nightlife, Wine Tasting, theater & more",,,"Napa, CA, USA",50,,495,495,,,200,12.0%,2,8,3,2,bungalow,Yes,2007,Within a few hours,100%,"May 31, 2017",bungalow,,,8,,Vallejo
758790,Brand New Cottage In Great Berkeley Neighborhood.,37.854434,-122.255177,"Elmwood, Berkeley, CA, USA",27,,220,220,,,,,3,4,2,1,cottage,Yes,2014,Within 12 hours,100%,"June 6, 2017",cottage,,640,4,,Vallejo
133751ha,3 Bedroom /3 Bath w/ Pool  on 2 Acres. Midway between Napa and Yountville.,38.316589,-122.332414,"Browns Valley, Napa, CA, USA",73,4.8,695,695,695,,250,12.0%,2,8,3,3,house,Yes,2006,Within 12 hours,100%,"June 2, 2017",house,,2400,8,,Vallejo
413477,Elegant Berkeley  Hills Retreat,37.89982605,-122.26326752,"Berkeley Hills, Berkeley, CA, USA",46,4.9,161,175,,,100,,3,4,1,1,apartment,Yes,2012,Within an hour,100%,"June 2, 2017",apartment,1,800,4,,Vallejo
493340,Upper-Rockridge Hilltop Gem!,37.845805,-122.231629,"Upper Rockridge, Oakland, CA, USA",42,,229,250,,,100,,3,6,2,1,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1100,6,,Vallejo
441504,Wonderful House in the Bay Area-Where you get more housing for 50% less than S F,37.961923,-122.010611,"Concord, CA, USA",50,,365,,,,200,,5,12,4,3,house,Yes,2012,Within 12 hours,100%,"June 5, 2017",house,,2400,12,,Vallejo
926500ha,"Luxury 3B/3B Tiburon w/jacuzzi, spectacular, Bay Views & glass foldimg doors",37.901896,-122.473722,"Tiburon, Belvedere Tiburon, CA, USA",62,,550,525,,,200,,3,8,3,3,house,Yes,2009,Within 12 hours,100%,"June 5, 2017",house,,,8,,Vallejo
478838,San Francisco Gateway,37.9511794,-122.5136889,"Greenbrae, Kentfield, CA, USA",14,4.8,150,185,205,,85,,5,4,1,1,apartment,Yes,2008,Within 12 hours,90%,"June 6, 2017",apartment,1,900,4,,Vallejo
4284136ha,Unwind at RiverPointe Napa Valley,38.3109557,-122.2787835,"Napa, CA, USA",6,4.8,125,125,195,,,,3,4,1,1,cottage,Yes,2016,Within a day,90%,"June 6, 2017",cottage,,400,4,,Vallejo
314974,"Private Hot Tub, 2.6 miles to Sonoma Plaza and Wineries, Bikes Included",38.31259155,-122.47218323,"Sonoma, CA, USA",150,,295,155,225,,75,12.0%,2,2,1,1,cottage,Yes,2010,Within a few hours,100%,"June 6, 2017",cottage,,,,,Vallejo
4211095ha,"Mi Casa Su Casa, Napa Valley Vacation Rental",38.332125,-122.313908,"Napa, CA, USA",32,4.9,320,320,,,40,20.0%,2,4,2,2,house,Yes,2016,Within a few hours,90%,"June 5, 2017",house,,,4,,Vallejo
246222ha,Adorable cottage for two,37.888479,-122.282989,"Thousand Oaks, Berkeley, CA, USA",24,4.7,114,140,140,,125,,2,2,1,1,cottage,Yes,2009,Within 12 hours,100%,"May 31, 2017",cottage,,400,2,,Vallejo
4059094ha,"Beautiful, Sunny And Private 1 Bd Cottage.  Perfect Location In Central Marin!",37.9576383,-122.5443584,"Kentfield, CA, USA",16,4.7,127,130,140,,,10.0%,2,4,1,1,cottage,Yes,2014,Within 2 days,100%,"June 6, 2017",cottage,,800,,,Vallejo
275070,Beautiful Large Mid-Century Flat with Views,37.88762283,-122.25671387,"Berkeley Hills, Berkeley, CA, USA",39,,150,150,,,,,4,3,1,1,apartment,Yes,2009,Within 12 hours,90%,"June 3, 2017",apartment,,,3,,Vallejo
113823,The Napa Art House - Old Town Napa,38.29314804,-122.29782867,"Napa, CA, USA",62,4.8,550,550,,,120,12.0%,3,8,3,2,house,Yes,2007,Within an hour,100%,"June 6, 2017",house,,2000,,,Vallejo
157437ha,Finest Victorian Retreat In the Heart of Downtown Napa - License #VR09-0045,38.297605,-122.296261,"Napa, CA, USA",59,4.5,300,300,350,,,12.0%,2,4,2,1,house,Yes,2005,Within an hour,100%,"June 6, 2017",house,,1400,4,,Vallejo
150140ha,Peace and Quiet Walking Distance from Sonoma Square,38.3033934,-122.4725133,"Sonoma, CA, USA",101,4.9,338,315,,,,12.0%,2,8,3,2,cottage,Yes,2005,Within an hour,100%,"June 7, 2017",cottage,,1300,,,Vallejo
603075,"Ultra convenient 2br, 2ba with easy access to San Francisco",37.930677,-122.056823,"Walnut Creek, CA, USA",15,4.5,113,,,,,,30,6,2,2,condo,Yes,2014,Within 12 hours,90%,"June 7, 2017",condo,1,1200,6,,Vallejo
4210985ha,Paradise Resort on Paradise Drive,38.3376386,-122.3126328,"Napa, CA, USA",29,,420,380,,,45,20.0%,2,4,2,2,house,Yes,2016,Within 12 hours,100%,"June 6, 2017",house,,1900,4,,Vallejo
592622,"Modern 2BR  in Rockridge / Berkeley, Walkable to Shops, Dining, Grocers, BART",37.84783045,-122.25842735,"Upper Telegraph, Oakland, CA, USA",40,4.8,205,200,225,,125,,1,8,2,1,apartment,Yes,2014,Within 12 hours,100%,"June 6, 2017",apartment,1,850,8,house,Vallejo
815324,"Berkeley Craftsman, vegetarian home,  99% Walkability Rating",37.869574,-122.29613,"Northwest Berkeley, Berkeley, CA, USA",15,4.9,170,165,170,,100,,2,6,2,1,house,Yes,2016,Within a few hours,100%,"June 5, 2017",house,,880,6,,Vallejo
928839,Just Listed! Napa furnished vacation rental house,,,"Napa, CA, USA",0,,150,150,,,150,,30,6,3,2,house,Yes,2016,Within a few days,50%,"June 1, 2017",house,,2106,6,,Vallejo
432175,"Silverado Prime Location, Lovely Condo!",38.34745883,-122.26609283,"Silverado Resort, Napa, CA, USA",53,4.7,375,,,,125,12.07%,2,6,2,2,condo,Yes,2012,Within 12 hours,100%,"June 5, 2017",condo,1,,,,Vallejo
921181ha,Prime Elmwood District - Quiet and Elegant Private Apartment,37.858294,-122.25109,"Elmwood, Berkeley, CA, USA",12,4.6,135,130,150,,,,3,4,1,1,house,Yes,2011,Within a day,90%,"May 22, 2017",house,,,4,,Vallejo
491438,"Gorgeous, Fully-furnished Studio In Berkeley Hills With Incredible Bay View",37.891531,-122.264607,"Berkeley Hills, Berkeley, CA, USA",46,,120,135,,,50,12.0%,5,2,Studio,1,studio,Yes,2013,Within a few hours,80%,"June 5, 2017",studio,1,400,2,,Vallejo
475164,"Elegant Townhouse  2 blocks from Sonoma Plaza, from $229/night Off Season",38.292688,-122.463166,"Sonoma, CA, USA",57,4.8,299,299,349,,,12.0%,2,4,1,1,townhome,Yes,2013,Within an hour,100%,"June 6, 2017",townhome,,650,4,,Vallejo
498954,"Wine Country Retreat With Pool & Spa, 1.5 miles from Sonoma Square, 10 Bikes",,,"Sonoma, CA, USA",66,,695,595,,,,12.0%,3,10,4,2,house,Yes,2009,Within a few hours,100%,"May 25, 2017",house,,2800,10,,Vallejo
281991ha,Sunny Garden Studio in great North Berkeley location,37.888622,-122.282919,"Thousand Oaks, Berkeley, CA, USA",41,4.9,135,135,,,,,3,2,Studio,1,cottage,Yes,2010,Within 12 hours,90%,"June 6, 2017",cottage,,,2,,Vallejo
751934,"🌻$275 ON ANY OPEN NIGHTS IN JUNE ! hot tub, BBQ, next to wineries",38.31157,-122.3094112,"Browns Valley, Napa, CA, USA",18,4.6,550,249,,,,12.0%,,8,3,2,house,Yes,2010,Within a few hours,100%,"June 1, 2017",house,,2000,8,,Vallejo
132828,Napa Valley Getaway with Spa & Gazebo (City of Napa Permitted Vacation Rental),38.30184555,-122.29469299,"Napa, CA, USA",105,4.8,363,300,400,,,12.0%,2,6,3,2,house,Yes,2007,Within 12 hours,100%,"June 6, 2017",house,,1200,6,,Vallejo
584026,Lovely 2 Bedroom Flat In The Heart Of The Gourmet Ghetto,37.880829,-122.266835,"North Berkeley, Berkeley, CA, USA",16,4.6,199,199,,,,3.0%,3,4,2,1,house,Yes,2013,Within an hour,100%,"June 7, 2017",house,,1100,4,,Vallejo
711285,Sunny Marin House Ideally Located Between San Francisco & The Wine Country,38.121964,-122.52302,"Bahia, Novato, CA, USA",29,4.8,240,240,,,140,10.0%,2,6,3,2,house,Yes,2015,Within a few hours,100%,"June 3, 2017",house,,1400,6,,Vallejo
493311,Beautiful Home Just Steps Away From Tilden Park,37.904243,-122.270095,"Berkeley Hills, Berkeley, CA, USA",24,4.8,200,225,,,125,,3,5,2,1,house,Yes,2013,Within a few hours,100%,"June 6, 2017",house,,1200,5,,Vallejo
562907,"Elegance and Charm Two blocks from Sonoma Square, rates from $229 (Off Season)",38.29264615,-122.46307148,"Sonoma, CA, USA",43,4.7,299,299,349,,,12.0%,2,4,1,1,townhome,Yes,2013,Within a few hours,100%,"June 6, 2017",townhome,2,800,4,,Vallejo
732692,Charming Berkeley Craftsman Cottage,37.872562,-122.289591,"Northwest Berkeley, Berkeley, CA, USA",9,4.4,160,150,175,,125,,3,4,2,1,cottage,Yes,2015,Within a few hours,100%,"June 6, 2017",cottage,,1000,4,,Vallejo
177139,Stoddard House ~ Walk to Downtown Napa ~ Beautiful Gardens,38.2983284,-122.29787445,"Napa, CA, USA",26,4.8,308,295,345,,125,12.0%,2,4,2,1,house,Yes,2008,Within a few hours,90%,"June 6, 2017",house,,1900,4,,Vallejo
185515ha,Stoddard House ~ Walk to Downtown Napa ~ Beautiful Gardens,38.29802022,-122.29791641,"Napa, CA, USA",26,4.8,305,295,345,,,12.0%,2,4,2,1,house,Yes,2008,Within a few hours,90%,"June 6, 2017",house,,2500,4,,Vallejo
718662,Executive Living In Walnut Creek,37.90493153,-122.0274164,"Walnut Creek, CA, USA",10,4.9,125,,,,,,30,2,2,1,house,Yes,2015,Within a few days,90%,"June 3, 2017",house,,1400,2,,Vallejo
718883,"4 acres of wine country living with pond, windmill, vineyards, pool & more..",38.2735569,-122.433679,"Sonoma, CA, USA",41,4.9,703,630,700,,250,12.0%,2,10,4,3,estate,Yes,2015,Within 12 hours,100%,"June 5, 2017",estate,,2700,10,,Vallejo
249444,Rockridge Bungalow Outfitted W/Style - Steps to College Ave!,37.83835983,-122.25031281,"Rockridge, Oakland, CA, USA",80,4.7,129,129,,,70,14.0%,3,4,1,1,house,Yes,2009,Within a day,100%,"June 4, 2017",house,,700,4,,Vallejo
447081,Beautiful Modern European Style in-Law Unit-Albany/Tropical Yard,37.885826,-122.29536,"Albany, CA, USA",23,4.9,134,159,,,65,,3,2,Studio,1,studio,Yes,2012,Within 12 hours,100%,"June 6, 2017",studio,1,420,2,,Vallejo
202715,2BR VINTAGE HOME-RESTORED-CENTRAL BERKELEY,37.861082,-122.273186,"South Berkeley, Berkeley, CA, USA",25,,200,200,,,,,5,6,2,1,house,Yes,2008,Within a few hours,90%,"June 6, 2017",house,,1200,6,,Vallejo
251050ha,"Amadora (Gift of Love) on 1/2 Acre, Private Spacious Outdoors, Near Sonoma Plaza",38.3026054,-122.4740225,"Sonoma, CA, USA",58,4.9,458,550,,,150,12.0%,2,6,3,2,house,Yes,2009,Within an hour,100%,"June 6, 2017",house,,2200,,,Vallejo
607664,Luxury Sonoma Cottage: Sanctuary with Pool! Close to Square & Wineries,38.2746502,-122.4625471,"Sonoma, CA, USA",40,4.8,425,375,425,,125,12.0%,2,4,2,1,cottage,Yes,2014,Within a few days,80%,"June 6, 2017",cottage,,,4,,Vallejo
884615,"Sunny and lush. 2-BR, 1-BA duplex Close to BART, restaurants, Cal campus",37.8764474,-122.2926245,"Northwest Berkeley, Berkeley, CA, USA",13,4.8,185,185,,,,,3,4,2,1,apartment,Yes,2016,Within an hour,100%,"June 6, 2017",apartment,1,850,4,house,Vallejo
413078,"Luxury, modern, renovated Sonoma Escape - Pool, Walk/Bike to Plaza",38.2746304,-122.4623631,"Sonoma, CA, USA",47,,411,395,495,,,12.0%,2,6,3,1,cottage,Yes,2012,Within a day,80%,"June 6, 2017",cottage,,1000,6,,Vallejo
611999,"Downtown Napa Cottage for 1 Person, Short Term Lease Corporate/Nurses/Relocation",,,"Napa, CA, USA",44,4.8,68,70,,,89,,30,1,1,1,apartment,Yes,2014,Within a few hours,100%,"May 23, 2017",apartment,,,,house,Vallejo
363090ha,Exclusive Home on a Vineyard with Gourmet Kitchen & Privacy,,,"Sonoma, CA, USA",44,,450,350,395,,100,14.0%,2,4,2,1,house,Yes,2011,Within a day,100%,"June 6, 2017",house,,1000,4,,Vallejo
338486,Farmhouse Cottage on a Vineyard with Gourmet Kitchen & Privacy,,,"Sonoma, CA, USA",44,,450,350,395,,100,14.0%,2,4,2,1,cottage,Yes,2011,Within a day,100%,"June 6, 2017",cottage,,1000,4,,Vallejo
563437,Silverado Resort 1 Bedroom Guest Suite With Mountain Views,38.3487278,-122.2657807,"Silverado Resort, Napa, CA, USA",37,4.7,283,225,275,,,14.07%,2,3,1,1,condo,Yes,2014,Within a few hours,100%,"June 6, 2017",condo,2,676,3,,Vallejo
174511ha,"Free Night Special Pay for 2, 3rd is Free June-Sept. New Bookings Only",38.329922,-122.338273,"Napa, CA, USA",102,4.9,595,595,,,250,12.0%,2,10,4,3,house,Yes,2006,Within a few hours,100%,"June 6, 2017",house,,2300,10,,Vallejo
879227,Downtown Napa-Walk to Everything Unit A,38.294917,-122.283626,"Napa, CA, USA",16,4.9,299,299,359,,125,12.0%,2,4,2,2,condo,Yes,2007,Within a few hours,100%,"June 6, 2017",condo,1,1100,4,,Vallejo
