listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4080928ha,31,1,Christa C.,"Antiques, Art, Atmosphere",5,2017-05-02T00:00:00.000+0000,VRBO,2017-05-05T13:21:00.000+0000
4080928ha,31,2,Charlotte S.,"Perfect Location, Beautiful House",5,2017-04-08T00:00:00.000+0000,VRBO,2017-04-18T16:25:00.000+0000
4080928ha,31,3,MVK,Exceeded my expectations!!,5,2017-04-06T00:00:00.000+0000,VRBO,2017-04-13T16:10:00.000+0000
4080928ha,31,4,Moudy Y.,"This house exceeded our expectations. Felt like home, hospitality is above and beyond.",5,2017-03-29T00:00:00.000+0000,VRBO,2017-04-01T20:14:00.000+0000
4080928ha,31,5,Tami S.,Great!,5,2017-03-27T00:00:00.000+0000,VRBO,2017-03-29T17:20:00.000+0000
4080928ha,31,6,Anonymous,Great Place,4,2017-02-14T00:00:00.000+0000,VRBO,2017-03-19T23:14:00.000+0000
4080928ha,31,7,Maureen F.,Perfect place to stay!,5,2017-02-23T00:00:00.000+0000,VRBO,2017-03-03T15:56:00.000+0000
4080928ha,31,8,chuck o.,Absolutely amazing property,5,2017-01-30T00:00:00.000+0000,VRBO,2017-02-13T06:01:00.000+0000
4080928ha,31,9,Hannah W.,Excellent stay in Vallejo!,5,2017-02-03T00:00:00.000+0000,VRBO,2017-02-07T18:39:00.000+0000
4080928ha,31,10,Jian K.,Perfect Christmas Getaway,5,2016-12-23T00:00:00.000+0000,VRBO,2017-01-07T22:55:00.000+0000
4080928ha,31,11,Rita V.,Beautiful home away from home,5,2016-10-08T00:00:00.000+0000,VRBO,2016-10-11T17:11:00.000+0000
4080928ha,31,12,David B.,A step back in time.,5,2016-09-26T00:00:00.000+0000,VRBO,2016-10-01T14:56:00.000+0000
4080928ha,31,13,Sharron H.,Perfectly suited for a weekend escape!,5,2016-09-16T00:00:00.000+0000,VRBO,2016-09-19T23:31:00.000+0000
4080928ha,31,14,Rayan A.,Awsome,5,2016-08-19T00:00:00.000+0000,VRBO,2016-09-02T07:45:00.000+0000
4080928ha,31,15,Tracy A.,Beautiful Victorian house. Amazing owner.,5,2016-08-22T00:00:00.000+0000,VRBO,2016-08-28T08:48:00.000+0000
