listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
837207,A charming 1+1 located on the hillside of Ventura w/ Ocean View,34.2809839,-119.260229,"Ventura, CA, USA",2,,100,,,,,,30,4,1,1,house,Yes,2016,Within 2 days,80%,"May 23, 2017",house,,,4,,Ventura
275283ha,California Coastal Cottage - Steps to Beach,34.261405,-119.271639,"Pierpont Bay, Ventura, CA, USA",22,4.8,243,225,300,,,10.0%,2,6,2,1,cottage,Yes,2006,Within 12 hours,100%,"May 29, 2017",cottage,,1200,6,,Ventura
821803,Ventura Beach Retreat-- Steps From the Sand,34.2597003,-119.2683453,"Pierpont Bay, Ventura, CA, USA",13,4.8,144,,,,,10.0%,5,3,2,1,townhome,Yes,2016,Within a day,90%,"June 6, 2017",townhome,,,3,,Ventura
418154,OCEANFRONT beach house **SUMMER OPEN**,34.319899,-119.370658,"Ventura, CA, USA",66,,517,450,550,,,8.0%,3,10,4,2,house,Yes,2012,Within 12 hours,100%,"June 5, 2017",house,,,10,,Ventura
306184,Ocean Views- Steps to the Sand  2 living areas,34.2596211,-119.270444,"Pierpont Bay, Ventura, CA, USA",17,4.8,381,390,,,,10.0%,4,9,4,3,house,Yes,2010,Within an hour,100%,"June 6, 2017",house,,2000,9,,Ventura
286596,Wonderful Faria Beach Oceanfront Home,34.32071,-119.3725523,"Ventura, CA, USA",33,4.7,300,250,300,,,,2,6,3,2,house,Yes,2010,Within a day,100%,"May 26, 2017",house,,,6,,Ventura
862663,Charming Ocean Block Beach Duplex with Awesome Outdoor Living,34.2617305,-119.2710827,"Pierpont Bay, Ventura, CA, USA",32,4.8,180,175,,,,10.0%,3,4,1,1,townhome,Yes,2015,Within an hour,100%,"June 5, 2017",townhome,1,600,,house,Ventura
86974,"Ventura Beach Cottage Shangri-La, Sun and Surf. Private Garden",,,"Pierpont Bay, Ventura, CA, USA",9,4.8,214,350,,,,10.0%,3,6,3,1,house,Yes,2006,Within a day,100%,"May 9, 2017",house,,,6,,Ventura
721885,Newly Remodeled Pierpont Beach Bungalow just 10 Houses from the Beach,34.2589533,-119.2694283,"Pierpont Bay, Ventura, CA, USA",37,,238,230,,,150,10.0%,3,6,2,2,bungalow,Yes,2015,Within an hour,100%,"June 6, 2017",bungalow,,1800,6,,Ventura
856231,"WINTER PRICES "" Queen of The Coast"" Rincon Point, Santa Barbara area, CA",34.374896,-119.475633,"Rincon Point Community (Carpinteria, CA, USA)",17,,650,650,,,,8.0%,3,12,5,2,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,2500,12,,Ventura
876771,Ocean Front Beach Cottage,34.3203094,-119.3714172,"Ventura, CA, USA",22,4.9,500,,,,100,8.0%,5,6,3,2,cottage,Yes,2016,Within 12 hours,100%,"June 7, 2017",cottage,,,,,Ventura
629707,Steps From The Sand- 3BR,34.264569,-119.275187,"Pierpont Bay, Ventura, CA, USA",15,4.8,362,365,,,150,10.0%,3,8,3,2,house,Yes,2014,Within a day,100%,"May 7, 2017",house,,1300,8,,Ventura
105308,"Family Beach House, Steps 2 Sand, Big Yard, Pets, Summer Avail",,,"Pierpont Bay, Ventura, CA, USA",18,4.8,243,225,,,150,10.0%,3,9,3,,cottage,Yes,2006,Within a few days,50%,"May 21, 2017",cottage,,,9,,Ventura
316300,Beach House on the Water Between Santa Barbara and Ventura,34.35718536,-119.44368744,"Ventura, CA, USA",65,4.8,525,525,525,,200,8.0%,2,8,3,2,house,Yes,2009,Within a few hours,100%,"June 5, 2017",house,,1818,8,,Ventura
387316,Summer Open! Escape to Faria Beach!,34.31785202,-119.38847351,"Ventura, CA, USA",38,4.8,417,425,,,,8.0%,3,6,2,2,house,Yes,2011,Within a day,100%,"June 6, 2017",house,,1447,6,,Ventura
553665,Relaxing Faria Beach Family House -  Gated Community,34.3182026,-119.3882806,"Ventura, CA, USA",17,4.7,369,300,,,300,,3,8,3,2,house,Yes,2014,Within a day,100%,"June 5, 2017",house,,2000,8,,Ventura
679806,"Relax & enjoy ocean breezes, steps to the sand and beautful sunsets on the beach",34.2611694,-119.2711798,"Pierpont Bay, Ventura, CA, USA",4,,100,,,,175,,30,4,2,1,bungalow,Yes,2013,Within a day,100%,"April 12, 2017",bungalow,,,4,,Ventura
261558,Darling Beach Cottage Off Pierpont - 1/2 Block from Sand,34.2555275,-119.26882172,"Pierpont Bay, Ventura, CA, USA",20,4.4,197,225,,,125,10.0%,3,8,3,1,house,Yes,2009,Within a few days,40%,"June 6, 2017",house,,980,8,,Ventura
842476,Charming 1BR Ventura Cottage with Cute Backyard Patio,34.280643,-119.28651,"Ventura, CA, USA",10,4.9,112,,,,,,2,3,1,1,cottage,Yes,2006,Within an hour,,"June 7, 2017",cottage,,400,3,,Ventura
