listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
573177,"-Beautiful Ocean Front Condo, Ocean View From Every Room, Pool+Roof Top Sundeck-",36.832403,-75.970355,"Northeast Virginia Beach, Virginia Beach, VA, USA",38,4.9,197,,,,,14.0%,3,6,2,2,condo,Yes,2014,Within 2 days,100%,"June 6, 2017",condo,8,,6,,Virginia Beach
406824,"Beautiful Luxury Condo, Best Location at Va Beach Oceanfront",36.8557663,-75.97957611,"Northeast Virginia Beach, Virginia Beach, VA, USA",30,4.7,151,,,,,14.0%,7,6,2,2,condo,Yes,2012,Within a day,100%,"June 6, 2017",condo,2,,,building,Virginia Beach
424783,"Luxury Condo, Prime location 1.5 Blocks From Ocean, Handicap Access",36.85630897,-75.97911792,"Northeast Virginia Beach, Virginia Beach, VA, USA",32,4.7,139,,,,,14.0%,7,6,2,2,condo,Yes,2012,Within a day,100%,"June 5, 2017",condo,3,,,building,Virginia Beach
729906,"Ocean View Luxury Penthouse Style Condo, Top Floor",36.85601794,-75.97903586,"Northeast Virginia Beach, Virginia Beach, VA, USA",13,4.8,173,,,,,14.0%,7,6,1,2,condo,Yes,2012,Within a few hours,100%,"June 6, 2017",condo,3,1000,,building,Virginia Beach
568748,"Cozy, Dog-friendly Duplex At The North End Short Walk To The Beach!",36.909439,-75.993602,"Northeast Virginia Beach, Virginia Beach, VA, USA",71,4.9,143,,,,100,8.0%,3,4,2,1,condo,Yes,2014,Within an hour,100%,"June 6, 2017",condo,1,950,4,,Virginia Beach
619834,This Condo Is Located 5 Minutes From The Virgina Beach Board Walk And Beach,36.8327545,-75.9740791,"Northeast Virginia Beach, Virginia Beach, VA, USA",21,4.9,102,,,,,14.0%,7,6,2,1,condo,Yes,2014,Within 2 days,90%,"June 3, 2017",condo,1,,6,building,Virginia Beach
780420,Luxury Two Bedroom Cottage,36.8495519,-75.9793288,"Northeast Virginia Beach, Virginia Beach, VA, USA",8,4.9,263,250,,,150,8.3%,2,4,2,2,cottage,Yes,2015,Within a few hours,100%,"June 6, 2017",cottage,,1300,4,,Virginia Beach
4216224ha,Dog Friendly North End Beach Cottage - Private Walkway To The Beach!,36.910607,-75.99265,"Northeast Virginia Beach, Virginia Beach, VA, USA",21,,295,275,,,,14.0%,3,10,4,3,cottage,Yes,2016,Within a few hours,100%,"June 7, 2017",cottage,,1750,10,,Virginia Beach
98786,"Resort/Beach/Boardwalk/Convention Center Area, 3 short blocks to Beach, Con. Cen",36.84353256,-75.97938538,"Northeast Virginia Beach, Virginia Beach, VA, USA",26,4.7,211,95,,,100,10.0%,1,5,2,2,house,Yes,2006,Within an hour,100%,"June 1, 2017",house,,1800,5,,Virginia Beach
165005ha,"4 Bedroom, Cape Cod with Pool, 100 yds to beach/ A 100 metres de la plage",36.725164,-75.9379697,"Sandbridge Beach, Virginia Beach, VA, USA",59,4.8,242,195,,,,15.5%,3,8,4,2,house,Yes,2007,Within a day,100%,"June 6, 2017",house,,1500,8,,Virginia Beach
903196,"Home at the VB Oceanfront! Walk to the Beach, Convention Center, Dining, Markets",36.852483,-75.983621,"Northeast Virginia Beach, Virginia Beach, VA, USA",20,4.8,300,300,,,,14.0%,2,10,3,3,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,2600,10,,Virginia Beach
4089378ha,Lovely Original Sandbridge Beach Cottage-Sleeps 14,36.752474,-75.948693,"Sandbridge Beach, Virginia Beach, VA, USA",27,4.9,365,225,,,,15.5%,3,14,6,4,house,Yes,2007,Within a day,100%,"June 6, 2017",house,,2500,14,,Virginia Beach
570381,Resort Style Condo on the Beach!,36.697275,-75.925477,"Sandbridge Beach, Virginia Beach, VA, USA",12,4.9,114,125,,,,,4,7,2,2,condo,Yes,2014,Within a few hours,100%,"June 6, 2017",condo,4,1500,7,building,Virginia Beach
985848ha,Remodeled Surfside Ave Virginia Beach 1 Block from Beach,36.8202039,-75.969874,"Dam Neck, Virginia Beach, VA, USA",33,4.5,239,,,,,10.0%,2,16,5,3,house,Yes,2012,Within a few hours,100%,"June 6, 2017",house,,3000,,,Virginia Beach
3528871ha,"Oceanfront Complex, Modern Studio on VA Beach's Famous Boardwalk",36.868258,-75.980175,"Northeast Virginia Beach, Virginia Beach, VA, USA",32,4.8,128,,,,,14.0%,3,4,Studio,1,studio,Yes,2013,Within 12 hours,100%,"June 6, 2017",studio,2,400,4,,Virginia Beach
