listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
4251178ha,"Location, Location, Location",38.892957,-77.001774,"Northeast Washington, Washington, DC, USA",26,4.8,125,125,,,,10.0%,,5,1,1,townhome,Yes,2016,Within an hour,100%,"June 6, 2017",townhome,1,,5,house,Washington
449777,"Dupont, Close To Metro, Best Location,within Walking Distance",38.913837,-77.040738,"Dupont Circle, Washington, DC, USA",21,,110,110,,,,14.5%,3,3,1,1,townhome,Yes,2012,Within a few days,10%,"June 6, 2017",townhome,1,600,3,,Washington
4055097ha,Amazing M Street Apartment,38.90601,-77.0298862,"Logan Circle, Washington, DC, USA",36,4.6,294,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,1020,5,,Washington
197087,Penthouse with Lush Garden in the Sky!,38.92209244,-77.0450592,"Adams Morgan, Washington, DC, USA",24,4.9,179,,,,100,,2,2,1,1,condo,Yes,2003,Within 2 days,80%,"June 2, 2017",condo,3,725,2,,Washington
4213897ha,"The Space You Need, Unbeatable Location",38.89620793,-76.97454975,"Northeast Washington, Washington, DC, USA",2,,100,100,,,,,30,7,4,1,house,Yes,2016,Within a day,80%,"May 3, 2017",house,,1300,,,Washington
4088901ha,Amazing Massachusetts Avenue Apartment,38.8995499,-77.0158474,"Mount Vernon Triangle, Washington, DC, USA",21,4.4,282,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,1315,5,,Washington
453512,"Capitol Hill/Eastern Market Stunner, Walk to Metro, 1,000sqft, FREE Parking",38.881115,-77.000337,"Capitol Hill, Washington, DC, USA",110,4.9,189,189,,,75,14.5%,,6,1,1,house,Yes,2013,Within an hour,100%,"June 7, 2017",house,,1000,6,,Washington
4058061ha,Amazing 8th Street Apartment,38.895654,-77.022662,"Chinatown, Washington, DC, USA",36,4.7,516,,,,,,1,5,2,2,apartment,Yes,2011,Within an hour,,"June 6, 2017",apartment,,983,5,,Washington
471027,Welcome to the best block on the Hill.,38.892224,-76.993295,"Northeast Washington, Washington, DC, USA",79,4.9,115,125,125,,60,14.5%,2,4,1,1,apartment,Yes,2013,Within a day,90%,"June 6, 2017",apartment,1,660,4,house,Washington
3583114ha,Modern English Basement Apartment In Washington's Most Trendy Neighborhood,38.914704,-77.030028,"Cardozo, Washington, DC, USA",45,4.7,155,155,,,,,3,3,1,1,apartment,Yes,2012,Within 12 hours,90%,"June 4, 2017",apartment,0,900,3,,Washington
228440,Capitol Hill Rowhouse - Best Location to See D.C.!,38.89687347,-77.00229645,"Northeast Washington, Washington, DC, USA",135,4.9,375,375,,,150,14.5%,3,8,3,2,house,Yes,2009,Within a few hours,100%,"June 6, 2017",house,,1850,8,,Washington
453903,"New Studio Apartment In Heart Of Adams Morgan Washington, DC.",38.9200469,-77.0410696,"Adams Morgan, Washington, DC, USA",11,4.7,110,,,,60,,7,2,1,1,studio,Yes,2013,Within a few days,60%,"May 23, 2017",studio,1,400,2,house,Washington
