listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
459194,Modern Pajaro Dunes Condo at a Great Price (Monthly Rates Available),36.871876,-121.822472,"Watsonville, CA, USA",31,4.5,234,230,,,,11.0%,2,6,2,2,condo,No,2013,Within 12 hours,80%,"May 31, 2017",condo,1,1100,6,,Watsonville
473428,Magical Place By The Sea.,36.8696939,-121.8205934,"Watsonville, CA, USA",64,,211,200,200,,,11.0%,2,4,1,1,condo,Yes,2013,Within a few hours,100%,"May 31, 2017",condo,2,900,4,building,Watsonville
77788,Pajaro Dunes Beachfront,36.86894989,-121.81640625,"Watsonville, CA, USA",78,4.8,195,195,,,,,2,4,1,1,condo,Yes,2005,Within a few hours,100%,"May 30, 2017",condo,2,,4,building,Watsonville
660066,"Ocean Front Pajaro Dunes Shorebirds Condo, Sleeps 6, Views of Monterey Bay",36.87271697,-121.82110736,"Watsonville, CA, USA",68,4.9,235,225,,,,11.0%,2,6,2,2,condo,Yes,2015,Within a few hours,100%,"June 4, 2017",condo,2,1100,6,building,Watsonville
838245,BEST OF DUNES:  The Amazing HOUSE 15 - UNDER NEW MANAGEMENT!,36.862921,-121.817296,"Watsonville, CA, USA",21,4.8,867,,,,,11.0%,2,14,5,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,2726,,,Watsonville
903538,Private Piece of Paradise,36.87256194,-121.82291986,"Watsonville, CA, USA",14,4.8,240,235,255,,125,11.0%,2,5,2,2,condo,Yes,2016,Within 12 hours,80%,"May 24, 2017",condo,2,,5,building,Watsonville
242639,Pajaro Dunes: Luxury Beach Condo in Monterey Bay,36.8743894,-121.82354242,"Watsonville, CA, USA",29,4.7,450,475,,,,11.0%,2,8,3,2,condo,Yes,2008,Within a few hours,100%,"June 7, 2017",condo,1,1500,8,,Watsonville
559417,Magnificent Ocean front condo!  Just steps from the beach! Sleeps 5-6.,36.872557,-121.8196854,"Watsonville, CA, USA",50,4.7,250,230,,,105,11.0%,2,6,2,2,condo,Yes,2014,Within 12 hours,100%,"June 6, 2017",condo,2,1200,6,,Watsonville
454477,"Cozy, Ocean Front Condo NEW Pickleball Courts",36.8696939,-121.8205934,"Watsonville, CA, USA",57,4.7,221,220,225,,,11.0%,2,6,2,2,condo,Yes,2013,Within a few hours,90%,"June 1, 2017",condo,1,1080,6,,Watsonville
939370,BEST OF DUNES:  SPECTACULAR OCEANFRONT HOME - 5-6 BEDROOMS ~ 4 1/2 BATH,,,"Watsonville, CA, USA",6,,900,900,,,400,11.0%,2,16,6,4,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,4000,,,Watsonville
905626,BEST OF DUNES:   HOUSE 60 - ROUND OCEANFRONT HOUSE HAS ALL THE VIEWS!,36.864156,-121.818073,"Watsonville, CA, USA",11,4.7,718,,,,,11.0%,2,12,4,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,1962,,,Watsonville
740081,European Luxury In A Beachfront Condo Equally Romantic And Family-Friendly,36.852911,-121.809881,"Watsonville, CA, USA",24,,300,300,325,,130,11.0%,2,5,1,1,condo,Yes,2015,Within an hour,100%,"June 6, 2017",condo,1,800,,building,Watsonville
844476,Shangri La Pajaro Dunes Ocean Front Condo Midway Between Monterey And Santa Cruz,36.85389874,-121.81074729,"Watsonville, CA, USA",19,4.9,213,225,,,,11.0%,2,3,1,1,condo,Yes,2016,Within an hour,100%,"June 6, 2017",condo,2,825,3,building,Watsonville
405211,Your Beach Home (not a condo!) Away from Home...,36.85823,-121.814057,"Watsonville, CA, USA",36,4.8,350,300,,,210,11.0%,2,8,3,3,house,Yes,2012,Within an hour,100%,"June 5, 2017",house,,,8,,Watsonville
438706,Pet Friendly Solar Beach House @ Sunset State Beach,36.89378,-121.83475,"Watsonville, CA, USA",68,4.8,285,265,,,,11.0%,2,10,3,2,house,Yes,2012,Within a few hours,100%,"June 3, 2017",house,,1700,10,,Watsonville
669290,BEST OF DUNES:  Amazing oceanfront HOUSE with gorgeous whitewater view!,36.8566209,-121.813746,"Watsonville, CA, USA",57,4.9,633,,,,,11.0%,2,12,4,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,2304,,,Watsonville
3022453ha,Pajaro Dunes Condo. 5* REVIEWS - Views to Monterey. Ground Floor.,36.85266845,-121.81069851,"Watsonville, CA, USA",48,4.9,275,275,,,,11.0%,2,6,2,2,condo,Yes,2012,Within a day,90%,"June 6, 2017",condo,1,,6,,Watsonville
575248,BEST OF DUNES:  EVERYTHING for adults and kids in this home!!,36.854981,-121.811959,"Watsonville, CA, USA",46,4.8,675,,,,,11.0%,2,12,4,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,2000,,,Watsonville
286322,Ocean View Beach House in the Sand Dunes on Monterey Bay,36.86315918,-121.81643677,"Watsonville, CA, USA",27,,365,365,,,185,,2,8,3,2,house,Yes,2010,Within a day,100%,"June 6, 2017",house,,,8,,Watsonville
553399,Ocean Front Condo With Wonderful 180 Degree View From Santa Cruz To Monterey,36.872557,-121.8196854,"Watsonville, CA, USA",127,,202,215,,,100,11.0%,2,4,1,1,condo,Yes,2014,Within a few hours,100%,"June 6, 2017",condo,2,850,4,building,Watsonville
574330,"Pajaro Dunes Get Away - Relax, as well as enjoy some adventure!!",36.87240745,-121.81976558,"Watsonville, CA, USA",26,4.8,220,220,225,,,11.0%,2,5,2,2,condo,Yes,2014,Within 12 hours,90%,"June 6, 2017",condo,1,1080,5,,Watsonville
585291,4TH OF JULY STILL AVAILABLE,36.872557,-121.8196854,"Watsonville, CA, USA",30,4.9,248,220,,,115,11.0%,2,4,2,2,condo,Yes,2014,Within a few hours,100%,"June 5, 2017",condo,2,,,,Watsonville
856666,BEST OF DUNES:  Crisp clean beach house with 360-degree views,36.8586269,-121.8142542,"Watsonville, CA, USA",7,4.6,520,400,500,,,11.0%,2,10,4,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,1989,,,Watsonville
270006,Oceanview at a Discount: Pajaro Dunes Shorebirds Condo,36.86975861,-121.82043457,"Watsonville, CA, USA",49,4.9,280,280,,,,11.0%,1,7,2,2,condo,Yes,2006,Within 12 hours,100%,"June 6, 2017",condo,2,,7,,Watsonville
904377ha,"Stunning Oceanfront Condo, unobstructed view, relax elegant, wheelchair access",36.852934,-121.809867,"Watsonville, CA, USA",21,4.3,384,330,480,,,11.0%,2,11,4,2,condo,Yes,2011,Within a few hours,90%,"June 3, 2017",condo,,1500,11,building,Watsonville
251931,Beautiful Waterfront  4B4BA ON the beach Cypress Grove! Last June weekend Open,,,"Watsonville, CA, USA",30,4.7,563,500,,,,11.0%,2,10,4,4,townhome,Yes,2007,Within 12 hours,100%,"June 5, 2017",townhome,,2300,10,,Watsonville
458947,Family Getaway To The Beach!,36.871876,-121.822472,"Watsonville, CA, USA",17,4.5,239,290,,,140,11.0%,2,8,2,2,condo,Yes,2013,Within a few hours,100%,"June 6, 2017",condo,3,1400,8,building,Watsonville
452376,Carefree Days at The Beach - Newly Refurbished,36.8529106,-121.81044913,"Watsonville, CA, USA",22,,283,300,400,,140,11.0%,2,6,2,1,condo,Yes,2013,Within an hour,100%,"June 5, 2017",condo,2,1050,6,,Watsonville
4440989ha,Pajaro Dunes Ultimate Beach House,36.862596,-121.815876,"Watsonville, CA, USA",4,4.8,600,,,,220,11.0%,2,10,5,2,house,Yes,2017,Within an hour,100%,"June 6, 2017",house,,1623,10,,Watsonville
170453,Pajaro Dunes - Beach Front + High Speed WIFI,36.8689515,-121.8164035,"Watsonville, CA, USA",14,4.6,340,300,350,,,11.0%,2,6,3,2,condo,Yes,2008,Within an hour,100%,"June 6, 2017",condo,1,1280,6,,Watsonville
4140344ha,Pelican Point - Beachfront Condo!,36.85275,-121.810782,"Watsonville, CA, USA",9,4.7,394,395,,,150,11.0%,2,8,3,2,condo,Yes,2011,Within 12 hours,100%,"June 5, 2017",condo,1,1250,8,building,Watsonville
679000,Panoramic Ocean Views for 12!,36.854526,-121.811675,"Watsonville, CA, USA",18,,700,600,700,,250,11.0%,2,12,5,3,house,Yes,2015,Within 12 hours,100%,"June 7, 2017",house,,2300,12,,Watsonville
727329,1st Class 3 Bedroom Family Beach Home - Newly Updated!,36.8746524,-121.8213515,"Watsonville, CA, USA",4,,368,350,,,,11.25%,2,7,3,2,condo,Yes,2014,Within a day,100%,"June 6, 2017",condo,1,,7,building,Watsonville
361385,Ocean front home with direct beach access!,36.89345551,-121.83472443,"Watsonville, CA, USA",52,4.6,273,300,,,150,11.0%,2,8,2,2,house,Yes,2011,Within a day,90%,"June 6, 2017",house,,,8,,Watsonville
675291,Ocean view and bird watching 3 FOR 2 SPECIAL,36.85257313,-121.81044918,"Watsonville, CA, USA",2,4.5,335,309,,,,11.0%,2,10,3,2,condo,Yes,2012,,,"June 5, 2017",condo,2,,10,building,Watsonville
665059,Book Now! Enjoy Beautiful Ocean Views In a Bright and Open Family Friendly Home,36.8673534,-121.8182807,"Watsonville, CA, USA",31,4.9,451,500,550,,300,11.0%,2,10,4,3,house,Yes,2015,Within an hour,100%,"June 6, 2017",house,,1800,10,,Watsonville
943694ha,Pajaro Dunes -180° Ocean View  Santa Cruz to Monterey (Shorebirds)-#CO00459,36.87060845,-121.82208653,"Watsonville, CA, USA",56,4.7,225,225,250,,90,11.0%,2,2,1,1,condo,Yes,2010,Within a few days,70%,"March 20, 2017",condo,2,800,2,building,Watsonville
433876,180 degrees views of the Monterey Bay. If you were any closer to the ocean you would be swimming.,36.85850015,-121.81475892,"Watsonville, CA, USA",5,4.8,586,512,,,,11.0%,2,8,4,4,house,Yes,2012,,,"June 6, 2017",house,,,8,,Watsonville
867513,Private Beach Front Paradise at the center of Monterey Bay.,36.87317846,-121.82211206,"Watsonville, CA, USA",1,,261,242,,,,11.0%,2,5,2,2,condo,Yes,2016,Within a day,80%,"June 6, 2017",condo,2,,5,building,Watsonville
620335,Third level condo with ocean front views facing Monterey.,36.87241193,-121.82264979,"Watsonville, CA, USA",4,3.8,233,212,,,,11.0%,2,6,2,2,condo,Yes,2012,,,"June 5, 2017",condo,3,,6,,Watsonville
439351,"Indoor heated pool, hot tub, pool table, air hockey table all located in a private entertainment room.",36.861342,-121.815849,"Watsonville, CA, USA",2,,600,512,,,,11.0%,2,10,4,5,house,Yes,2012,,,"June 5, 2017",house,,,10,,Watsonville
909884,Charming And Quiet Studio Getaway Located Between  Monterey And Santa Cruz,36.943009,-121.7914793,"Watsonville, CA, USA",3,,86,100,,,25,,2,2,1,1,studio,Yes,2016,Within a few hours,100%,"June 4, 2017",studio,,,2,,Watsonville
